"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
288,"BALMLAWRIE","BALMLAWRIE","SMALL_CAP",232.81,5.86,6.5,NA,66.7,69.1,"STRONG_BULLISH",18.32,14,18,20,68.31,483635336.01,"BUY",2025-09-02
195,"ASTERDM","ASTERDM","SMALL_CAP",632.05,4.44,5.17,NA,64,63.2,"STRONG_BULLISH",16.89,10,18,20,60.89,785490825.8,"HOLD",2025-09-02
1140,"BVCL","BVCL","MICRO_CAP",47.96,10.08,12.06,NA,64,63.8,"STRONG_BULLISH",32.26,16,12,20,69.53,25258367.8,"HOLD",2025-09-02
26,"APOLLOTYRE","APOLLOTYRE","LARGE_CAP",487.8,4.32,6.84,NA,62.7,68.5,"BEARISH",14.69,14,20,15,53.44,3369497067.5,"HOLD",2025-09-02
323,"BAJAJCON","BAJAJCON","MICRO_CAP",242.47,1.7,5.65,NA,62,66.7,"STRONG_BULLISH",47.04,14,11,20,61.4,422009155.96,"HOLD",2025-09-02
690,"ASKAUTOLTD","ASKAUTOLTD","MICRO_CAP",509.65,1.67,3.24,NA,62,56.2,"BULLISH",11.92,8,17,25,71.28,113806121.55,"HOLD",2025-09-02
19,"DABUR","DABUR","LARGE_CAP",544.6,4,4.25,NA,61.3,64.3,"STRONG_BULLISH",20.42,11,18,15,51.29,4866940025.1,"HOLD",2025-09-02
1734,"COUNCODOS","COUNCODOS","MICRO_CAP",7.13,9.36,7.54,NA,60,54.5,"BEARISH",25.04,12,10,25,72.44,1711404.55,"HOLD",2025-09-02
714,"DAVANGERE","DAVANGERE","MICRO_CAP",4,2.3,20.85,NA,59.3,77,"BEARISH",27.62,16,10,20,60.57,105973938.13,"HOLD",2025-09-02
1417,"ASTRON","ASTRON","MICRO_CAP",16.18,9.99,26.9,NA,59.3,63.4,"BEARISH",32.29,16,10,20,67.82,8546250.12,"HOLD",2025-09-02
111,"DALBHARAT","DALBHARAT","MID_CAP",2402.2,-0.05,1.87,NA,58,70.9,"STRONG_BULLISH",21.52,9,12,20,68.15,1329846596.5,"HOLD",2025-09-02
767,"ANDHRSUGAR","ANDHRSUGAR","MICRO_CAP",77.5,3.36,1.57,NA,57.3,46.7,"BEARISH",7.74,7,18,20,60.88,87301896.42,"HOLD",2025-09-02
2,"APOLLO","APOLLO","LARGE_CAP",292.7,9.79,20.3,NA,56.7,86.3,"STRONG_BULLISH",54.23,16,12,15,54.74,18166000931.15,"HOLD",2025-09-02
296,"BLUESTARCO","BLUESTARCO","SMALL_CAP",1940.3,-0.41,4.04,NA,56.7,63.7,"STRONG_BULLISH",24.3,12,12,25,72.84,463118980,"HOLD",2025-09-02
981,"CARRARO","CARRARO","MICRO_CAP",433.1,4.29,2.22,NA,56.7,49.9,"BEARISH",10.52,6,18,20,61.57,41835695.4,"HOLD",2025-09-02
136,"CHAMBLFERT","CHAMBLFERT","MID_CAP",559.05,2.61,1.15,NA,56,55.2,"BEARISH",5.27,4,20,20,62.55,1083635088.2,"HOLD",2025-09-02
556,"CARYSIL","CARYSIL","MICRO_CAP",904.25,4.83,6.36,NA,55.3,59.6,"BULLISH",8.64,5,18,15,52.42,173168263.55,"HOLD",2025-09-02
257,"EVEREADY","EVEREADY","SMALL_CAP",448.8,3.64,7.46,NA,54.7,65.3,"STRONG_BULLISH",44.03,14,20,0,NA,573399583.9,"HOLD",2025-09-02
643,"AVL","AVL","MICRO_CAP",489.6,-1.83,-4.12,NA,54.7,63,"STRONG_BULLISH",41.46,12,6,25,73.11,133140909.4,"HOLD",2025-09-02
1006,"BALAJEE","BALAJEE","MICRO_CAP",57.54,-1.13,10.61,NA,54.7,68.8,"STRONG_BULLISH",33.9,14,4,20,61.51,37923865.23,"HOLD",2025-09-02
312,"ANANDRATHI","ANANDRATHI","MICRO_CAP",2936.7,0.56,4.82,NA,54,73.4,"STRONG_BULLISH",45.88,12,12,15,50.33,439628935.1,"HOLD",2025-09-02
8,"CGPOWER","CGPOWER","LARGE_CAP",739.65,3.13,10.18,NA,53.3,73.3,"STRONG_BULLISH",11.25,13,6,15,55.37,7604084467.1,"HOLD",2025-09-02
272,"BIKAJI","BIKAJI","SMALL_CAP",789.2,-0.99,-0.6,NA,53.3,58.7,"STRONG_BULLISH",15.27,9,12,15,52.34,532911138.65,"HOLD",2025-09-02
557,"ARVINDFASN","ARVINDFASN","MICRO_CAP",528.55,0.44,0.48,NA,53.3,56.4,"STRONG_BULLISH",11.47,6,15,15,50.43,172560173.85,"HOLD",2025-09-02
1578,"RHL","RHL","MICRO_CAP",305.4,3.04,4.82,NA,53.3,69.9,"STRONG_BULLISH",20.9,14,18,0,NA,4128735,"HOLD",2025-09-02
155,"CARTRADE","CARTRADE","SMALL_CAP",2465,-1.4,3.45,NA,52.7,63.1,"STRONG_BULLISH",53.98,12,8,15,52.67,1002392780.5,"HOLD",2025-09-02
464,"BORORENEW","BORORENEW","MICRO_CAP",582.95,1.41,6,NA,52.7,53.6,"BULLISH",12.87,6,10,20,63.2,243633744.45,"HOLD",2025-09-02
921,"BCLIND","BCLIND","MICRO_CAP",40.76,1.7,1.22,NA,52.7,42.6,"BEARISH",2.69,5,15,25,72.93,50820977.32,"HOLD",2025-09-02
966,"COMSYN","COMSYN","MICRO_CAP",145.4,1.42,7.84,NA,52.7,63.5,"BULLISH",12.43,9,8,25,71.65,44472195.76,"HOLD",2025-09-02
1642,"CENTEXT","CENTEXT","MICRO_CAP",22.28,1.36,4.36,NA,52.7,50.5,"BEARISH",14.68,7,11,20,62.09,2935353.76,"HOLD",2025-09-02
65,"QPOWER","QPOWER","MID_CAP",865.45,6.87,11.15,NA,52,63.6,"STRONG_BULLISH",54.99,16,14,0,NA,2070487093.25,"HOLD",2025-09-02
86,"BOSCHLTD","BOSCHLTD","MID_CAP",41315,1.3,4.57,NA,52,69.2,"STRONG_BULLISH",31.73,9,10,15,53.48,1580572160,"HOLD",2025-09-02
431,"SBC","SBC","MICRO_CAP",19.83,2.59,5.31,NA,52,73.4,"STRONG_BULLISH",40.07,14,18,0,NA,276726568,"HOLD",2025-09-02
1570,"AVTNPL","AVTNPL","MICRO_CAP",73.67,1.71,0.9,NA,52,56.1,"STRONG_BULLISH",16.77,6,17,15,51.56,4257606.31,"HOLD",2025-09-02
180,"CHENNPETRO","CHENNPETRO","SMALL_CAP",699.6,1.83,7.65,NA,51.3,59,"BULLISH",14.31,10,4,20,68.3,876508593.1,"HOLD",2025-09-02
240,"CUPID","CUPID","SMALL_CAP",181.02,4.87,6.51,NA,51.3,78.5,"STRONG_BULLISH",98.59,12,8,15,52.86,606798188.92,"HOLD",2025-09-02
292,"AWL","AWL","SMALL_CAP",257.4,2.98,2.16,NA,51.3,50.1,"BEARISH",4.05,6,14,20,63.12,469017892.85,"HOLD",2025-09-02
396,"CREDITACC","CREDITACC","MICRO_CAP",1391.9,-0.81,2.12,NA,51.3,62.2,"STRONG_BULLISH",28.8,12,10,15,53.16,322303243,"HOLD",2025-09-02
433,"CRAFTSMAN","CRAFTSMAN","MICRO_CAP",6967,-2.69,-2.67,NA,51.3,57,"STRONG_BULLISH",38.8,10,12,15,54.65,273924303.5,"HOLD",2025-09-02
609,"CENTURYPLY","CENTURYPLY","MICRO_CAP",774.25,1.19,4.68,NA,51.3,64.7,"BULLISH",8.14,5,13,15,53,145104911.15,"HOLD",2025-09-02
876,"DECCANCE","DECCANCE","MICRO_CAP",1086.1,1.07,3.94,NA,51.3,60.2,"STRONG_BULLISH",51.28,10,6,25,70.52,61122749.9,"HOLD",2025-09-02
1431,"CHEMCON","CHEMCON","MICRO_CAP",217.11,4.01,0.79,NA,51.3,47.8,"BULLISH",18.06,6,9,25,71.15,8015883.97,"HOLD",2025-09-02
53,"JAICORPLTD","JAICORPLTD","MID_CAP",142.42,14.66,16.26,NA,50.7,72.9,"STRONG_BULLISH",34.46,16,14,0,NA,2255961108.04,"HOLD",2025-09-02
69,"TEGA","TEGA","MID_CAP",1995.6,3.2,8.28,NA,50.7,65.4,"STRONG_BULLISH",36.04,14,14,0,NA,1993473854.2,"HOLD",2025-09-02
189,"IOB","IOB","SMALL_CAP",40,2.91,4.77,NA,50.7,70.6,"BULLISH",11.25,11,20,0,NA,821722277.18,"HOLD",2025-09-02
281,"CELLO","CELLO","SMALL_CAP",568.75,6.31,4.67,NA,50.7,53.2,"BEARISH",3.34,5,18,15,54.29,495063260.15,"HOLD",2025-09-02
461,"UNIECOM","UNIECOM","MICRO_CAP",149.09,6.91,10.8,NA,50.7,68.1,"BULLISH",23.28,14,16,0,NA,247600240.74,"HOLD",2025-09-02
582,"STOVEKRAFT","STOVEKRAFT","MICRO_CAP",669.8,6.44,1.6,NA,50.7,60.7,"STRONG_BULLISH",22.7,10,18,0,NA,155203362.5,"HOLD",2025-09-02
1601,"CHEVIOT","CHEVIOT","MICRO_CAP",1226.1,-0.02,-0.35,NA,50.7,58.6,"STRONG_BULLISH",16.31,7,10,15,50.23,3587088.5,"HOLD",2025-09-02
1700,"BHANDARI","BHANDARI","MICRO_CAP",5.07,1.81,1,NA,50.7,46.3,"BULLISH",0.35,3,13,25,70.62,2039276.13,"HOLD",2025-09-02
16,"MRF","MRF","LARGE_CAP",153885,6.25,8.08,NA,50,64.2,"BULLISH",18.25,12,16,0,NA,4946087920,"HOLD",2025-09-02
443,"CHALET","CHALET","MICRO_CAP",1004.1,-1.53,-0.3,NA,50,62.3,"STRONG_BULLISH",15.65,10,10,20,66.69,258340395.5,"HOLD",2025-09-02
448,"MAHSCOOTER","MAHSCOOTER","MICRO_CAP",16373,1.53,5,NA,50,66.9,"STRONG_BULLISH",21.78,10,17,0,NA,256870013,"HOLD",2025-09-02
1142,"NILASPACES","NILASPACES","MICRO_CAP",14.97,8.4,9.91,NA,50,63.2,"BULLISH",31.29,16,14,0,NA,25148118.43,"HOLD",2025-09-02
1516,"SANDESH","SANDESH","MICRO_CAP",1268.9,4.27,4.67,NA,50,55.8,"BULLISH",14.49,10,18,0,NA,5391662.6,"HOLD",2025-09-02
15,"NATIONALUM","NATIONALUM","LARGE_CAP",200.53,4.56,7.8,NA,49.3,65,"BULLISH",12.77,13,14,0,NA,4972626581.1,"WEAK_HOLD",2025-09-02
