"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"20MICRONS",186.11,196.4345,199.265,212.6176,217.89065,FALSE,FALSE,FALSE,FALSE
"21STCENMGM",43.76,45.454,44.2834,48.6658,54.90685,FALSE,FALSE,FALSE,FALSE
"3IINFOLTD",15.18,16.1605,17.1276,19.8334000000001,21.896,FALSE,FALSE,FALSE,FALSE
"3MINDIA",35250,35030.75,34224.6,32247.1,30782.3885,TRUE,TRUE,TRUE,TRUE
"3PLAND",36.33,37.5795,39.592,42.5042,45.52755,FALSE,FALSE,FALSE,FALSE
"5PAISA",374.7,345.8725,329.584,343.879,364.903749999999,TRUE,TRUE,TRUE,TRUE
"63MOONS",678.7,732.28,758.130000000001,834.6095,843.669249999999,FALSE,FALSE,FALSE,FALSE
"A2ZINFRA",15.1,15.111,16.1364,16.1621,13.9169,FALSE,FALSE,FALSE,TRUE
"AAATECH",124.76,93.4125000000001,86.6918,86.6432,86.7524000000001,TRUE,TRUE,TRUE,TRUE
"AAKASH",8.55,8.6945,8.85580000000001,8.8991,9.0887,FALSE,FALSE,FALSE,FALSE
"AAREYDRUGS",64.17,61.9055,55.9982000000001,50.4495,46.1039,TRUE,TRUE,TRUE,TRUE
"AARON",164.36,173.149,186.21,225.5266,299.3173,FALSE,FALSE,FALSE,FALSE
"AARTIDRUGS",385.3,399.3575,442.111,468.968,448.85975,FALSE,FALSE,FALSE,FALSE
"AARTIIND",354.6,364.47,376.596,379.535499999999,409.307249999999,FALSE,FALSE,FALSE,FALSE
"AARTISURF",382.45,389.17,429.995,460.936000000001,515.766,FALSE,FALSE,FALSE,FALSE
"AARVEEDEN",38.05,33.6735,29.065,27.756,28.2495,TRUE,TRUE,TRUE,TRUE
"AARVI",125.38,127.06,126.399,123.0062,115.40555,FALSE,FALSE,TRUE,TRUE
"AAVAS",1435.6,1479.095,1573.9,1605.773,1754.48425,FALSE,FALSE,FALSE,FALSE
"ABAN",44.96,45.034,48.7762,49.0404999999999,59.4667,FALSE,FALSE,FALSE,FALSE
"ABB",4872.5,5123.975,5131.53000000001,5147.644,5407.36874999999,FALSE,FALSE,FALSE,FALSE
"ABBOTINDIA",27755,28347,29111.3,30198.2,30910.9515,FALSE,FALSE,FALSE,FALSE
"ABCAPITAL",362,358.035,341.151,314.1685,268.93345,TRUE,TRUE,TRUE,TRUE
"ABFRL",71.3,75.6805000000001,78.2356000000004,80.606,122.8387,FALSE,FALSE,FALSE,FALSE
"ABSLAMC",831.95,789.205000000001,774.92,808.041499999999,767.146750000001,TRUE,TRUE,TRUE,TRUE
"ABSLBANETF",61.34,60.8265,60.1916,58.3351,56.8659,TRUE,TRUE,TRUE,TRUE
"ABSLNN50ET",71.98,72.176,72.4681999999999,71.6401,69.9689500000001,FALSE,FALSE,TRUE,TRUE
"ACC",1755.6,1759.885,1816.51,1826.787,1872.119,FALSE,FALSE,FALSE,FALSE
"ACCELYA",1352.2,1314.08,1340.552,1389.675,1377.82475,TRUE,TRUE,FALSE,FALSE
"ACCURACY",5.36,5.60450000000002,6.07299999999995,6.54249999999998,7.36049999999998,FALSE,FALSE,FALSE,FALSE
"ACE",848.15,929.8025,990.37,1031.273,1119.4715,FALSE,FALSE,FALSE,FALSE
"ACEINTEG",20.11,21.649,22.6858,23.566,24.3705,FALSE,FALSE,FALSE,FALSE
"ACI",546.3,522.34,570.333000000001,621.522500000001,618.755999999999,TRUE,FALSE,FALSE,FALSE
"ADANIENT",2157.3,2225.34,2345.38,2375.409,2416.51725,FALSE,FALSE,FALSE,FALSE
"ADANIGREEN",930.1,995.665,1032.29,1011.4165,988.881500000001,FALSE,FALSE,FALSE,FALSE
"ADANIPORTS",1421.9,1475.615,1475.16,1427.166,1378.76125,FALSE,FALSE,FALSE,TRUE
"ADANIPOWER",142.63,143.725,150.415,302.4129,428.07145,FALSE,FALSE,FALSE,FALSE
"ADFFOODS",193.11,202.393,209.9892,216.4944,232.84365,FALSE,FALSE,FALSE,FALSE
"ADORWELD",852.45,866.085,898.242000000001,1018.372,1184.2225,FALSE,FALSE,FALSE,FALSE
"ADROITINFO",9.84,10.0605,10.6252,10.6888,11.1908,FALSE,FALSE,FALSE,FALSE
"ADSL",128.34,148.9315,162.8852,169.0431,178.43915,FALSE,FALSE,FALSE,FALSE
"ADVANIHOTR",54.91,56.7080000000001,56.8986,58.2541000000002,59.4723500000002,FALSE,FALSE,FALSE,FALSE
"ADVENZYMES",276.35,301.74,310.294,316.8165,311.24275,FALSE,FALSE,FALSE,FALSE
"AEGISCHEM",791.15,670.215,579.103,490.14,414.735749999999,TRUE,TRUE,TRUE,TRUE
"AETHER",984.65,919.5825,853.965,800.5555,800.00225,TRUE,TRUE,TRUE,TRUE
"AFFLE",1723.5,1722.055,1757.544,1865.612,1799.42125,TRUE,FALSE,FALSE,FALSE
"AGARIND",688.8,712.3775,781.298,837.7055,911.193499999999,FALSE,FALSE,FALSE,FALSE
"AGI",669.95,726.4175,767.601,826.637,820.44025,FALSE,FALSE,FALSE,FALSE
"AGRITECH",129.53,125.102000000001,128.8774,135.3151,143.46975,TRUE,TRUE,FALSE,FALSE
"AGROPHOS",38.91,38.7125,40.0474,37.7563,36.3025,TRUE,FALSE,TRUE,TRUE
"AGSTRA",51.06,61.106,70.235,83.3204,83.9111000000002,FALSE,FALSE,FALSE,FALSE
"AHL",192.5,221.225,283.126,338.7575,412.911500000001,FALSE,FALSE,FALSE,FALSE
"AHLADA",51.32,51.3530000000001,54.21,57.2587,61.2614499999999,FALSE,FALSE,FALSE,FALSE
"AHLEAST",138.17,138.7305,141.712,147.1715,145.86845,FALSE,FALSE,FALSE,FALSE
"AHLUCONT",909,949.137499999999,948.086999999999,953.4105,933.864500000001,FALSE,FALSE,FALSE,FALSE
"AIAENG",3948,3905.335,3695.04,3410.159,3350.34175,TRUE,TRUE,TRUE,TRUE
"AIRAN",16.32,17.646,20.1656,22.8615,25.4776,FALSE,FALSE,FALSE,FALSE
"AIROLAM",92.58,100.1805,102.4672,105.4775,103.4185,FALSE,FALSE,FALSE,FALSE
"AJANTPHARM",2680.9,2741.945,2599.94,2571.805,2597.775,FALSE,TRUE,TRUE,TRUE
"AJMERA",182.75,893.344999999999,966.599,964.142000000001,917.8145,FALSE,FALSE,FALSE,FALSE
"AJOONI",4.03,4.33700000000001,4.7126,4.9931,5.4437,FALSE,FALSE,FALSE,FALSE
"AKASH",26.5,26.4315,26.8382,27.4569,27.58015,TRUE,FALSE,FALSE,FALSE
"AKG",12.75,12.3155,12.553,12.6658,13.068,TRUE,TRUE,TRUE,FALSE
"AKSHARCHEM",220.77,239.1935,252.9134,261.6832,255.6968,FALSE,FALSE,FALSE,FALSE
"AKSHOPTFBR",5.95,6.2785,6.8288,7.3132,8.51475,FALSE,FALSE,FALSE,FALSE
"AKZOINDIA",3088.8,3307.58,3319.462,3366.289,3410.14725,FALSE,FALSE,FALSE,FALSE
"ALANKIT",10.1,10.6485,11.1776,12.4558,13.75705,FALSE,FALSE,FALSE,FALSE
"ALBERTDAVD",704.75,748.9375,792.523000000001,797.138,824.61275,FALSE,FALSE,FALSE,FALSE
"ALEMBICLTD",96.17,99.8524999999999,100.0642,102.1977,105.3233,FALSE,FALSE,FALSE,FALSE
"ALICON",737.7,823.33,870.600999999998,859.5005,832.116250000001,FALSE,FALSE,FALSE,FALSE
"ALKALI",76.87,78.82,83.3996,87.0024,89.7025,FALSE,FALSE,FALSE,FALSE
"ALKEM",5836.5,5683.525,5656.05000000001,5505.835,5234.68274999999,TRUE,TRUE,TRUE,TRUE
"ALKYLAMINE",1595.2,1602.43,1718.842,1873.589,1905.52475,FALSE,FALSE,FALSE,FALSE
"ALLCARGO",10.08,11.5715000000002,22.6506000000001,28.0253999999998,29.9538,FALSE,FALSE,FALSE,FALSE
"ALLSEC",1084.2,1120.8825,1087.716,1088.8965,909.0595,FALSE,FALSE,FALSE,TRUE
"ALMONDZ",16.19,17.2315,17.4212,18.5334,20.1690000000001,FALSE,FALSE,FALSE,FALSE
"ALPA",71.33,77.9790000000001,81.7956,87.8975,96.1543499999999,FALSE,FALSE,FALSE,FALSE
"ALPHAGEO",216.23,223.7755,237.2366,243.7019,290.29945,FALSE,FALSE,FALSE,FALSE
"ALPSINDUS",2.87,2.037,2.2274,2.2292,1.9926,TRUE,TRUE,TRUE,TRUE
"AMARAJABAT",604.15,635.9325,636.369,640.1955,615.28375,FALSE,FALSE,FALSE,FALSE
"AMBER",6145,6497.74999999999,7154.53,7486.935,7127.0605,FALSE,FALSE,FALSE,FALSE
"AMBICAAGAR",25.03,25.335,25.5414,25.9955,27.1729,FALSE,FALSE,FALSE,FALSE
"AMBIKCO",1188.3,1231.965,1285.87,1367.508,1426.2115,FALSE,FALSE,FALSE,FALSE
"AMBUJACEM",553.75,546.175,553.18,564.59,560.67,TRUE,TRUE,FALSE,FALSE
"AMDIND",43.17,48.0475,52.9816,53.4164,51.1223000000001,FALSE,FALSE,FALSE,FALSE
"AMIORG",1176.3,1169.58,1742.847,1986.0235,1880.37525,TRUE,FALSE,FALSE,FALSE
"AMJLAND",50.47,50.8824999999999,52.6192,54.1632,54.9381,FALSE,FALSE,FALSE,FALSE
"AMRUTANJAN",610.4,647.620000000001,683.757999999999,701.1055,693.02325,FALSE,FALSE,FALSE,FALSE
"ANANDRATHI",3092.2,3030.765,3034.50599999999,2961.171,2476.5355,TRUE,TRUE,TRUE,TRUE
"ANANTRAJ",551.55,550.0725,590.040999999999,591.662500000001,556.143,TRUE,FALSE,FALSE,FALSE
"ANDHRAPAP",64.13,66.1679999999999,70.3538000000002,74.3232000000001,75.6181000000001,FALSE,FALSE,FALSE,FALSE
"ANDHRSUGAR",71.51,74.4215,77.6546,77.6815000000001,76.38475,FALSE,FALSE,FALSE,FALSE
"ANDREWYU",31.35,34.68,31.948,28.3095,25.55825,FALSE,FALSE,TRUE,TRUE
"ANGELONE",2752.2,2493.705,2585.57399999999,2478.844,2551.00350000001,TRUE,TRUE,TRUE,TRUE
"ANIKINDS",46.07,50.984,63.7013999999999,72.1755,84.00685,FALSE,FALSE,FALSE,FALSE
"ANMOL",13.26,13.8334999999999,14.5826000000001,15.1894999999999,16.0668,FALSE,FALSE,FALSE,FALSE
"ANTGRAPHIC",0.99,0.988,1.01,1.0574,1.08705,TRUE,FALSE,FALSE,FALSE
"ANUP",1972.7,2182.4,2275.9,2309.13,2619.27175,FALSE,FALSE,FALSE,FALSE
"ANURAS",1316.2,1304.86,1197.188,1153.415,1060.24625,TRUE,TRUE,TRUE,TRUE
"APARINDS",7410.5,8351.2,8675.42,8550.155,7863.96825000002,FALSE,FALSE,FALSE,FALSE
"APCL",137.25,127.059,125.1734,129.953,134.46035,TRUE,TRUE,TRUE,TRUE
"APCOTEXIND",349.85,368.43,378.244,386.6175,372.29725,FALSE,FALSE,FALSE,FALSE
"APEX",280.35,277.52,271.8982,251.1319,239.4908,TRUE,TRUE,TRUE,TRUE
"APLAPOLLO",1940.7,1856.95,1798.628,1733.712,1702.25825,TRUE,TRUE,TRUE,TRUE
"APLLTD",774.9,845.355,887.047,915.903499999999,927.446250000002,FALSE,FALSE,FALSE,FALSE
"APOLLO",245.85,254.465,268.149,272.0339,213.38925,FALSE,FALSE,FALSE,TRUE
"APOLLOHOSP",7235.5,7188.075,7430.1,7555.21,7265.95075,TRUE,FALSE,FALSE,FALSE
"APOLLOPIPE",286.6,293.6,300.498999999999,340.436,374.543250000002,FALSE,FALSE,FALSE,FALSE
"APOLLOTYRE",508.55,514.82,515.341,492.9855,473.2265,FALSE,FALSE,TRUE,TRUE
"APOLSINHOT",1302.5,1247.325,1282.444,1328.347,1322.178,TRUE,TRUE,FALSE,FALSE
"APTECHT",87.65,93.9900000000001,101.536799999999,120.3956,134.83415,FALSE,FALSE,FALSE,FALSE
"APTUS",270,281.805,289.684000000001,310.5,316.47625,FALSE,FALSE,FALSE,FALSE
"ARCHIDPLY",85.98,89.1285,93.4195999999999,97.7903000000002,97.4411999999999,FALSE,FALSE,FALSE,FALSE
"ARCHIES",17.26,18.2445,19.0592,19.6185,20.71395,FALSE,FALSE,FALSE,FALSE
"ARENTERP",44.32,47.7325,48.198,48.1935,48.66975,FALSE,FALSE,FALSE,FALSE
"ARIES",310.9,324.2375,350.406,375.174000000001,346.37045,FALSE,FALSE,FALSE,FALSE
"ARIHANTCAP",87.76,92.5185,97.6726000000001,102.399,89.5739500000001,FALSE,FALSE,FALSE,FALSE
"ARIHANTSUP",311.95,325.5875,364.116,386.885,388.1085,FALSE,FALSE,FALSE,FALSE
"ARMANFIN",1488.4,1521.415,1603.038,1542.787,1545.835,FALSE,FALSE,FALSE,FALSE
"AROGRANITE",28.8,30.33,32.7914,34.9477999999999,36.2791000000001,FALSE,FALSE,FALSE,FALSE
"ARROWGREEN",475.05,504.575000000001,547.579,571.088,691.448999999999,FALSE,FALSE,FALSE,FALSE
"ARTEMISMED",259.55,268.8,265.0966,251.1195,254.0112,FALSE,FALSE,TRUE,TRUE
"ARTNIRMAN",45.87,47.4635,51.054,49.6397,56.05735,FALSE,FALSE,FALSE,FALSE
"ARVIND",298.6,315.91,327.112,314.3415,332.397250000001,FALSE,FALSE,FALSE,FALSE
"ARVINDFASN",461.1,486.27,500.716,515.4575,480.08525,FALSE,FALSE,FALSE,FALSE
"ARVSMART",564.25,589.485,601.299,611.028000000001,643.25925,FALSE,FALSE,FALSE,FALSE
"ASAHIINDIA",947.3,990.185,981.129,924.019,826.093249999999,FALSE,FALSE,TRUE,TRUE
"ASAHISONG",241.15,251.4625,261.034000000001,285.87,310.451,FALSE,FALSE,FALSE,FALSE
