"symbol","current_price","momentum","rsi","rsi_status","pattern","relative_strength","technical_score","market_cap_category"
"BVCL",47.02,15.56,60.7,"Normal","Momentum Breakout",31.9,74.7,"MICRO_CAP"
"BATAINDIA",1245.5,15.39,65.9,"Normal","Momentum Breakout",6.44,68.7,"MID_CAP"
"UNIECOM",151.74,14.26,69.9,"Normal","Bullish Channel",24.1,66.7,"MICRO_CAP"
"ASHAPURMIN",551.35,14.15,60.8,"Normal","Bullish Channel",33.14,70.7,"MICRO_CAP"
"COMSYN",152.88,14.08,70.4,"Overbought","Bullish Channel",17.72,76.7,"MICRO_CAP"
"BESTAGRO",405.75,13.99,52,"Normal","Bullish Channel",28.57,66,"MICRO_CAP"
"CARTRADE",2556.4,12.54,65.9,"Normal","Bullish Channel",61.02,75.3,"MID_CAP"
"INDOFARM",243.12,11,63.9,"Normal","Bullish Channel",43.77,70,"SMALL_CAP"
"DOMS",2692.2,10.14,69.8,"Normal","Bullish Channel",10.54,68.7,"LARGE_CAP"
"SINCLAIR",106.35,9.09,63.3,"Normal","Bullish Channel",24.67,72.7,"MICRO_CAP"
"COLPAL",2464.6,8.92,66.8,"Normal","Bullish Channel",4.44,70,"LARGE_CAP"
"EIHAHOTELS",411.45,8.89,61.2,"Normal","Bullish Channel",13.77,68.7,"MICRO_CAP"
"ASKAUTOLTD",520,8.1,59.9,"Normal","Bullish Channel",10.97,86,"MICRO_CAP"
"BECTORFOOD",1472,8.06,59.3,"Normal","Bullish Channel",11.6,72.7,"SMALL_CAP"
"CENTURYPLY",788.2,7.83,69,"Normal","Support Bounce",10.35,75.3,"MICRO_CAP"
"DABUR",552.7,7.56,67.1,"Normal","Support Bounce",19.13,83.3,"LARGE_CAP"
"BHAGERIA",200.85,7.56,64.8,"Normal","Support Bounce",9.85,73.3,"MICRO_CAP"
"BALAJEE",55.29,7.36,60.3,"Normal","Support Bounce",26.6,70.7,"MICRO_CAP"
"METROBRAND",1226.7,7.17,64.6,"Normal","Support Bounce",10.29,66.7,"MICRO_CAP"
"CEIGALL",264.27,7.14,59.3,"Normal","Support Bounce",9.57,72.7,"MICRO_CAP"
"ASTERDM",635.5,6.91,62.2,"Normal","Support Bounce",13.42,75.3,"SMALL_CAP"
"DECCANCE",1090.5,6.8,59.6,"Normal","Support Bounce",36.07,72,"MICRO_CAP"
"ANANDRATHI",2956.2,6.79,73.6,"Overbought","Support Bounce",44.81,72,"MICRO_CAP"
"KEI",4125.8,6.79,68,"Normal","Support Bounce",10.25,71.3,"MID_CAP"
"DIFFNKG",381.35,6.61,67.1,"Normal","Support Bounce",24.17,70.7,"SMALL_CAP"
"CARYSIL",894.4,6.5,57.1,"Normal","Support Bounce",3.6,65.3,"MICRO_CAP"
"STOVEKRAFT",680.5,6.34,62.5,"Normal","Support Bounce",24.11,76,"MICRO_CAP"
"APOLLOTYRE",485.5,6.11,66.6,"Normal","Support Bounce",11.54,74,"SMALL_CAP"
"M&M",3481.5,5.65,63.1,"Normal","Support Bounce",13.31,72.7,"LARGE_CAP"
"PARAGMILK",243.46,5.6,57.2,"Normal","Support Bounce",16.9,67.3,"SMALL_CAP"
"BALMLAWRIE",228.93,5.33,62.6,"Normal","Support Bounce",12.88,69.3,"MICRO_CAP"
"ARVINDFASN",540.45,5.23,61.4,"Normal","Support Bounce",17.16,72,"MICRO_CAP"
"THYROCARE",1340.8,4.9,57.9,"Normal","Support Bounce",42.96,72.7,"MICRO_CAP"
"APOLSINHOT",1425.3,4.88,55.8,"Normal","Support Bounce",16.02,87.3,"MICRO_CAP"
"YATRA",153.88,4.87,67.4,"Normal","Support Bounce",80.85,66,"SMALL_CAP"
"KRSNAA",830.45,4.83,57.6,"Normal","Support Bounce",21.69,73.3,"MICRO_CAP"
"CENTUM",2817.3,4.81,65.9,"Normal","Support Bounce",24.54,78,"MICRO_CAP"
"DDEVPLSTIK",322.7,4.57,59.2,"Normal","Support Bounce",22.07,76.7,"MICRO_CAP"
"ESCORTS",3633.3,4.55,60.8,"Normal","Support Bounce",12.91,71.3,"LARGE_CAP"
"AVL",517.1,4.1,64.8,"Normal","Support Bounce",34.44,92,"LARGE_CAP"
"CUPID",179.02,4.09,73.7,"Overbought","Support Bounce",89.45,66.7,"SMALL_CAP"
"DATAMATICS",1016.4,3.94,58.9,"Normal","Support Bounce",69.97,66.7,"MICRO_CAP"
