INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty 50,61.98,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty 50,61.98,89,BPCL,BHARAT PETROLEUM CORP  LT,MID_CAP,371.15,-1.01,1.09,9.84,66,66.6,STRONG_BULLISH,14.31,13,12,20,62.6,70,56,58.64,59.17,2552597083.75,BUY,2025-11-14
Nifty 50,61.98,24,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2906.4,0.94,11.19,22.37,61.3,85.1,STRONG_BULLISH,9.28,14,4,20,62.21,68.26,60,57.05,56.67,7230241805.2,HOLD,2025-11-14
Nifty 50,61.98,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty 50,61.98,11,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2100.7,0.43,4.97,6.72,56,61.2,STRONG_BULLISH,5.1,9,11,15,52.75,50.65,51,54.32,59.17,13193910899.9,HOLD,2025-11-14
Nifty 200,59.72,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty 200,59.72,24,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2906.4,0.94,11.19,22.37,61.3,85.1,STRONG_BULLISH,9.28,14,4,20,62.21,68.26,60,57.05,56.67,7230241805.2,HOLD,2025-11-14
Nifty 200,59.72,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty 200,59.72,11,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2100.7,0.43,4.97,6.72,56,61.2,STRONG_BULLISH,5.1,9,11,15,52.75,50.65,51,54.32,59.17,13193910899.9,HOLD,2025-11-14
Nifty 200,59.72,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty 500,59.72,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty 500,59.72,24,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2906.4,0.94,11.19,22.37,61.3,85.1,STRONG_BULLISH,9.28,14,4,20,62.21,68.26,60,57.05,56.67,7230241805.2,HOLD,2025-11-14
Nifty 500,59.72,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty 500,59.72,11,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2100.7,0.43,4.97,6.72,56,61.2,STRONG_BULLISH,5.1,9,11,15,52.75,50.65,51,54.32,59.17,13193910899.9,HOLD,2025-11-14
Nifty 500,59.72,51,ADANIGREEN,ADANI GREEN ENERGY LTD,MID_CAP,1068.8,-0.74,0.85,2.4,54.7,52.3,STRONG_BULLISH,10.89,9,10,0,10,10,10,10,10,3859402226.1,HOLD,2025-11-14
Nifty Bank,59.6,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty Bank,59.6,132,BANKBARODA,BANK OF BARODA,MID_CAP,286.75,1.24,-0.8,6.84,62.7,64.6,STRONG_BULLISH,17.04,13,12,15,53.65,55.48,47,57.94,54.17,1646200960.5,HOLD,2025-11-14
Nifty Bank,59.6,52,CANBK,CANARA BANK,MID_CAP,146.07,1.83,3.84,13.75,58,81.6,STRONG_BULLISH,34.57,15,10,15,54.62,54.05,47,56.76,66,3847268871.36,HOLD,2025-11-14
Nifty Bank,59.6,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty Bank,59.6,206,PNB,PUNJAB NATIONAL BANK,SMALL_CAP,122.21,0.94,-0.14,4.99,50.7,60.3,STRONG_BULLISH,15.03,11,12,0,NA,NA,NA,NA,NA,918567793.83,HOLD,2025-11-14
Nifty Auto,59.46,71,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,148.26,-1.43,4.94,9.26,69.3,63.3,BULLISH,10.64,12,10,25,71.08,74.57,82,59.41,59.17,3103809083.15,BUY,2025-11-14
Nifty Auto,59.46,129,BHARATFORG,BHARAT FORGE LTD,MID_CAP,1396.7,0.57,6.04,13.31,65.3,72.2,STRONG_BULLISH,20.09,16,11,15,54.83,55.22,53,56.82,54.17,1703418884,BUY,2025-11-14
Nifty Auto,59.46,243,APOLLOTYRE,APOLLO TYRES LTD,SMALL_CAP,518.7,-3.39,0.64,6.55,62.7,56.2,STRONG_BULLISH,6.11,10,10,15,53.44,54.57,51,53.68,54.17,687841091.7,HOLD,2025-11-14
Nifty Auto,59.46,21,MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,LARGE_CAP,109.84,0.65,5.82,4.83,54.7,62.7,BEARISH,12.31,14,9,0,NA,NA,NA,NA,NA,7604110774.57,HOLD,2025-11-14
Nifty Auto,59.46,36,HEROMOTOCO,HERO MOTOCORP LIMITED,LARGE_CAP,5538.5,0.54,4.58,0.02,45.3,55.2,BULLISH,2.75,6,11,0,NA,NA,NA,NA,NA,5227544607.5,WEAK_HOLD,2025-11-14
Nifty 100,59.18,28,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1241.6,1.34,1.54,6.16,69.3,62.7,BULLISH,12.68,11,17,15,52.47,51.19,47,54.71,62,6437561401.2,BUY,2025-11-14
Nifty 100,59.18,24,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2906.4,0.94,11.19,22.37,61.3,85.1,STRONG_BULLISH,9.28,14,4,20,62.21,68.26,60,57.05,56.67,7230241805.2,HOLD,2025-11-14
Nifty 100,59.18,15,SBIN,STATE BANK OF INDIA,LARGE_CAP,967.85,1.45,1.26,9.23,57.3,76.2,STRONG_BULLISH,14.49,13,17,0,NA,NA,NA,NA,NA,10617844264.95,HOLD,2025-11-14
Nifty 100,59.18,11,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2100.7,0.43,4.97,6.72,56,61.2,STRONG_BULLISH,5.1,9,11,15,52.75,50.65,51,54.32,59.17,13193910899.9,HOLD,2025-11-14
Nifty 100,59.18,20,LT,LARSEN & TOUBRO LTD.,LARGE_CAP,4004.4,0.05,3.14,4.59,52,66.2,STRONG_BULLISH,5.09,8,11,0,NA,NA,NA,NA,NA,7657038797.5,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,90,AUROPHARMA,AUROBINDO PHARMA LTD,MID_CAP,1222.5,1.02,8.78,10.23,67.3,73.2,BULLISH,12.82,14,10,20,67.41,70.43,70,59.18,66,2507360690.1,BUY,2025-11-14
NIFTY SMLCAP 100,57.06,102,ADANIENSOL,ADANI ENERGY SOLUTION LTD,MID_CAP,1023.85,0.24,6.58,8.44,60.7,69.8,STRONG_BULLISH,27.87,14,13,0,10,10,10,10,10,2260938220,HOLD,2025-11-14
NIFTY SMLCAP 100,57.06,154,BIOCON,BIOCON LIMITED.,SMALL_CAP,411.15,-1.4,8.08,15.36,55.3,73.7,BULLISH,11.91,13,8,15,58.99,60.43,56,56.82,63,1375792174.05,HOLD,2025-11-14
