SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Auto & Auto Ancillaries,59.86,13,25,M&MFIN,M&M FIN. SERVICES LTD,LARGE_CAP,367.55,5.92,-1.16,15.36,71.3,65.6,STRONG_BULLISH,25.45,20,18,0,NA,NA,NA,NA,NA,5605403026.4,BUY,2025-12-05
Auto & Auto Ancillaries,59.86,13,102,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,160.86,0.41,1.73,14.54,65.3,69.1,STRONG_BULLISH,12.69,13,6,25,71.08,74.57,82,59.41,59.17,1762478360.54,BUY,2025-12-05
Auto & Auto Ancillaries,59.86,13,242,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1406,0.84,-1.94,6.12,56,57.5,STRONG_BULLISH,8.99,9,12,15,54.83,55.22,53,56.82,54.17,676636363.5,HOLD,2025-12-05
Auto & Auto Ancillaries,59.86,13,352,APOLLOTYRE,APOLLO TYRES LTD,MICRO_CAP,521.45,-1.72,1.45,-0.17,54,52.6,STRONG_BULLISH,7,5,8,15,53.44,54.57,51,53.68,54.17,347097654.4,HOLD,2025-12-05
Auto & Auto Ancillaries,59.86,13,37,HEROMOTOCO,HERO MOTOCORP LIMITED,LARGE_CAP,6350.5,0.17,2.85,19.62,52.7,77.2,STRONG_BULLISH,15.94,13,10,0,NA,NA,NA,NA,NA,4139936765,HOLD,2025-12-05
Finance & NBFC,58,20,8,BAJFINANCE,BAJAJ FINANCE LIMITED,LARGE_CAP,1048,1.84,1.01,-0.85,62,55.7,BULLISH,4.11,5,15,15,51.99,50.65,47,55.53,59.17,13754759067.7,HOLD,2025-12-05
Finance & NBFC,58,20,74,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,MID_CAP,1730.4,3.26,-0.32,-0.89,60,56.1,BULLISH,7.28,6,11,15,54.41,50.65,51,57.47,66,2303957734.8,HOLD,2025-12-05
Finance & NBFC,58,20,298,HDFCGOLD,HDFC GOLD ETF,SMALL_CAP,110.29,0.62,2.22,7.12,59.3,65,STRONG_BULLISH,15.61,12,13,0,NA,NA,NA,NA,NA,475273838.91,HOLD,2025-12-05
Finance & NBFC,58,20,40,BAJAJFINSV,BAJAJ FINSERV LTD.,LARGE_CAP,2096.5,2.31,0.12,1.12,56.7,54.3,BULLISH,-0.07,1,18,15,52.46,50.71,47,54.86,63,3636624438.6,HOLD,2025-12-05
Finance & NBFC,58,20,235,HDFCSILVER,HDFCAMC - HDFCSILVER,SMALL_CAP,170.75,1.82,8.53,21.69,52,67.5,STRONG_BULLISH,36.01,15,4,0,NA,NA,NA,NA,NA,695970268.59,HOLD,2025-12-05
Metals & Mining,56.8,21,7,HINDCOPPER,HINDUSTAN COPPER LTD,LARGE_CAP,371.85,1.67,13.72,11.87,60,68.7,BULLISH,29.98,20,4,0,NA,NA,NA,NA,NA,15353867634.95,HOLD,2025-12-05
Metals & Mining,56.8,21,541,RAMCOSYS,RAMCO SYSTEMS LTD,MICRO_CAP,599.3,2.18,4.69,-1.06,60,53.1,NEUTRAL,13.45,13,18,0,NA,NA,NA,NA,NA,120616688.7,HOLD,2025-12-05
Metals & Mining,56.8,21,52,NATIONALUM,NATIONAL ALUMINIUM CO LTD,MID_CAP,273.15,1.45,5.07,17.1,55.3,72.6,STRONG_BULLISH,27.6,15,7,0,NA,NA,NA,NA,NA,2936298199.75,HOLD,2025-12-05
Metals & Mining,56.8,21,16,VEDL,VEDANTA LIMITED,LARGE_CAP,524.5,-0.97,-0.29,3.22,54.7,56.9,STRONG_BULLISH,13.64,12,6,0,NA,NA,NA,NA,NA,7769756507.3,HOLD,2025-12-05
Metals & Mining,56.8,21,43,HINDALCO,HINDALCO  INDUSTRIES  LTD,LARGE_CAP,823.25,1.54,1.84,-0.98,54,59.4,STRONG_BULLISH,9.27,7,13,0,NA,NA,NA,NA,NA,3513252034.6,HOLD,2025-12-05
Banking - PSU,55.06,7,46,CANBK,CANARA BANK,LARGE_CAP,148.64,0.85,-1.94,6.48,64,60.5,STRONG_BULLISH,24.74,13,10,15,54.62,54.05,47,56.76,66,3444091948.13,HOLD,2025-12-05
Banking - PSU,55.06,7,5,SBIN,STATE BANK OF INDIA,LARGE_CAP,971.5,2.47,-0.77,1.45,59.3,58.1,STRONG_BULLISH,11.17,12,13,0,NA,NA,NA,NA,NA,16681238338.6,HOLD,2025-12-05
Banking - PSU,55.06,7,80,BANKBARODA,BANK OF BARODA,MID_CAP,292.6,1.53,0.97,1.56,56,58.9,STRONG_BULLISH,14.59,9,6,15,53.65,55.48,47,57.94,54.17,2144195876.4,HOLD,2025-12-05
Banking - PSU,55.06,7,55,INDIANB,INDIAN BANK,MID_CAP,808.95,0.79,-7.04,-7.27,48,39.5,BULLISH,13.83,11,9,0,NA,NA,NA,NA,NA,2890888644.15,WEAK_HOLD,2025-12-05
Banking - PSU,55.06,7,60,PNB,PUNJAB NATIONAL BANK,MID_CAP,121.71,1.82,-2.24,-1.25,48,50.1,STRONG_BULLISH,5.94,5,11,0,NA,NA,NA,NA,NA,2742531477.89,WEAK_HOLD,2025-12-05
IT & Software,54.8,16,41,COFORGE,COFORGE LIMITED,LARGE_CAP,1977.9,0.6,3.63,11.94,63.3,72,STRONG_BULLISH,8.69,12,10,15,54.71,51.3,53,58.18,62,3603696875.4,HOLD,2025-12-05
IT & Software,54.8,16,24,HCLTECH,HCL TECHNOLOGIES LTD,LARGE_CAP,1683,1.72,3.62,10.06,56.7,70.4,STRONG_BULLISH,13.21,14,10,0,NA,NA,NA,NA,NA,5697168485.4,HOLD,2025-12-05
IT & Software,54.8,16,88,LTIM,LTIMINDTREE LIMITED,MID_CAP,6292,0.41,3.21,11.96,53.3,72.7,STRONG_BULLISH,12.72,14,10,0,NA,NA,NA,NA,NA,2020274634.5,HOLD,2025-12-05
IT & Software,54.8,16,133,PERSISTENT,PERSISTENT SYSTEMS LTD,MID_CAP,6520.5,1.06,2.64,11.3,50.7,70.3,STRONG_BULLISH,16.94,13,12,0,NA,NA,NA,NA,NA,1330217211.5,HOLD,2025-12-05
IT & Software,54.8,16,581,MASFIN,MAS FINANCIAL SERV LTD,MICRO_CAP,320.6,3.77,3.82,2.49,50,57.5,BULLISH,0.18,7,16,0,NA,NA,NA,NA,NA,100176372.6,HOLD,2025-12-05
Defence & Aerospace,51.2,16,794,QGOLDHALF,QUANTUM GOLD FUND,MICRO_CAP,107,1.05,2.5,7.2,64,64.4,STRONG_BULLISH,15.76,12,15,0,NA,NA,NA,NA,NA,20422519.46,HOLD,2025-12-05
Defence & Aerospace,51.2,16,242,BHARATFORG,BHARAT FORGE LTD,SMALL_CAP,1406,0.84,-1.94,6.12,56,57.5,STRONG_BULLISH,8.99,9,12,15,54.83,55.22,53,56.82,54.17,676636363.5,HOLD,2025-12-05
Defence & Aerospace,51.2,16,204,BELRISE,BELRISE INDUSTRIES LTD,SMALL_CAP,160.97,-1.41,-3.95,10.81,48.7,51.4,STRONG_BULLISH,1.04,4,8,15,53.29,50.22,51,57.27,60,843646485.77,WEAK_HOLD,2025-12-05
Defence & Aerospace,51.2,16,173,ASTRAL,ASTRAL LIMITED,SMALL_CAP,1459.5,1.3,1.3,-0.52,44,49.7,BULLISH,-1,0,12,20,62.97,68.04,60,59.41,59.17,1034991968.2,WEAK_HOLD,2025-12-05
