"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
83,"ASHOKLEY","ASHOK LEYLAND LTD","MID_CAP",163.86,2.2,1.86,14.97,73.3,69.4,"STRONG_BULLISH",10.49,13,13,25,71.08,74.57,82,59.41,59.17,2245997978.78,"BUY",2025-12-12
262,"CCL","CCL PRODUCTS (I) LTD","SMALL_CAP",1025.3,5.97,7.95,-3.39,73.3,59.7,"BULLISH",16.94,13,16,15,55.23,51.9,55,56.36,63,482197924,"BUY",2025-12-12
190,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",745.45,6.27,9.7,13.05,72.7,62.5,"BULLISH",10.14,14,14,15,52.76,51.96,47,58.41,57,846901451.45,"BUY",2025-12-12
230,"ANURAS","ANUPAM RASAYAN INDIA LTD","SMALL_CAP",1307.3,2.21,3.64,21.97,72.7,68.8,"STRONG_BULLISH",17.65,15,15,15,55.72,58.04,51,58.27,54,616744337.2,"BUY",2025-12-12
49,"BHEL","BHEL","LARGE_CAP",285.15,3.13,2.66,-0.66,71.3,58.7,"BULLISH",15.22,10,16,15,53.94,54.13,47,55.45,63,3435388492.3,"BUY",2025-12-12
155,"CUB","CITY UNION BANK LTD","SMALL_CAP",273.35,4.27,0.55,8.61,71.3,57.6,"BULLISH",23.53,12,14,15,54.17,55,47,56.18,61.25,1158170300.4,"BUY",2025-12-12
3,"HINDCOPPER","HINDUSTAN COPPER LTD","LARGE_CAP",382.3,7.07,2.81,12.54,70,68.5,"STRONG_BULLISH",11.68,18,18,0,NA,NA,NA,NA,NA,16790611017,"BUY",2025-12-12
28,"NATIONALUM","NATIONAL ALUMINIUM CO LTD","LARGE_CAP",278.15,5.24,1.83,4.2,70,69.5,"STRONG_BULLISH",25.69,18,18,0,NA,NA,NA,NA,NA,6060025769.15,"BUY",2025-12-12
346,"AXISGOLD","AXIS MF - AXIS GOLD ETF","MICRO_CAP",110.78,2.51,2.77,6.97,70,69,"STRONG_BULLISH",10.04,16,20,0,10,10,10,10,10,298208514.81,"BUY",2025-12-12
281,"INFOBEAN","INFOBEANS TECHNO. LTD.","SMALL_CAP",693.85,6.89,1.68,12.07,68.7,66.1,"STRONG_BULLISH",42.25,20,14,0,NA,NA,NA,NA,NA,436840607.6,"BUY",2025-12-12
93,"CUMMINSIND","CUMMINS INDIA LTD","MID_CAP",4600.2,1.51,2.94,4.66,68,68.4,"STRONG_BULLISH",12.79,11,12,15,53.02,50.65,51,55.68,59.17,2126781881.1,"BUY",2025-12-12
2,"HINDZINC","HINDUSTAN ZINC LIMITED","LARGE_CAP",561.65,7.46,12.76,16.55,66.7,76,"STRONG_BULLISH",12.05,18,16,0,NA,NA,NA,NA,NA,21803535335.55,"BUY",2025-12-12
480,"MAANALU","MAAN ALUMINIUM LIMITED","MICRO_CAP",156.44,5.67,4.64,15.69,66.7,60.9,"BULLISH",37.89,20,18,0,NA,NA,NA,NA,NA,149954942.21,"BUY",2025-12-12
11,"VEDL","VEDANTA LIMITED","LARGE_CAP",543.6,2.75,3.64,4.42,66,64.3,"STRONG_BULLISH",12.34,12,18,0,NA,NA,NA,NA,NA,10087618101.1,"BUY",2025-12-12
106,"AUBANK","AU SMALL FINANCE BANK LTD","MID_CAP",968.05,-0.51,0.77,9.75,66,63.8,"STRONG_BULLISH",27.99,13,12,15,55,51.19,55,57.35,62,1872439931.4,"BUY",2025-12-12
