SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
SEAMECLTD,SEAMECLTD,SMALL_CAP,1375.0,3.91,3.66,0.02,56.7,66.8,,15,20,,STRONG_BULLISH,HOLD
AEROFLEX,AEROFLEX,SMALL_CAP,246.91,5.43,14.47,32.48,53.3,65.6,,18,12,,STRONG_BULLISH,HOLD
CHENNPETRO,CHENNPETRO,MID_CAP,988.55,7.66,5.51,12.46,53.3,62.3,,18,16,,STRONG_BULLISH,HOLD
MRPL,MRPL,SMALL_CAP,206.77,16.07,8.81,11.41,52.7,56.6,,20,12,,STRONG_BULLISH,HOLD
TIMKEN,TIMKEN,LARGE_CAP,3447.9,0.07,4.94,12.57,52.0,61.8,,18,13,,STRONG_BULLISH,HOLD
J&KBANK,J&KBANK,MICRO_CAP,123.66,2.36,10.47,21.55,51.3,64.5,,16,16,,STRONG_BULLISH,HOLD
DPEL,DPEL,MICRO_CAP,326.7,10.0,15.44,9.63,49.3,71.7,,18,12,,STRONG_BULLISH,WEAK_HOLD
THERMAX,THERMAX,LARGE_CAP,3259.2,1.19,6.35,12.9,48.0,57.5,,14,11,,STRONG_BULLISH,WEAK_HOLD
CCL,CCL,SMALL_CAP,1043.3,2.02,1.15,4.96,48.0,52.2,,9,18,,STRONG_BULLISH,WEAK_HOLD
BSLGOLDETF,BSLGOLDETF,MICRO_CAP,135.5,-2.43,-2.64,0.78,47.3,45.4,,14,10,,STRONG_BULLISH,WEAK_HOLD
MEGASTAR,MEGASTAR,MICRO_CAP,248.53,5.0,10.82,8.06,47.3,65.6,,14,14,,BULLISH,WEAK_HOLD
INDUSINVIT,INDUSINVIT,MICRO_CAP,123.06,0.93,-0.44,1.69,45.3,46.3,,10,11,,STRONG_BULLISH,WEAK_HOLD
CASHIETF,CASHIETF,SMALL_CAP,1053.56,0.01,0.09,0.37,44.7,100.0,,9,15,,STRONG_BULLISH,WEAK_HOLD
ABSLAMC,ABSLAMC,MID_CAP,952.5,2.11,9.21,9.58,44.0,54.0,,14,10,,STRONG_BULLISH,WEAK_HOLD
KIRLOSENG,KIRLOSENG,MID_CAP,1470.2,1.3,1.06,6.54,44.0,62.4,,10,11,,STRONG_BULLISH,WEAK_HOLD
JBCHEPHARM,JBCHEPHARM,LARGE_CAP,2090.2,-1.49,0.9,10.49,44.0,57.8,,12,10,,STRONG_BULLISH,WEAK_HOLD
GESHIP,GESHIP,LARGE_CAP,1373.4,-5.93,2.61,5.64,44.0,57.5,,14,8,,STRONG_BULLISH,WEAK_HOLD
NEOGEN,NEOGEN,MICRO_CAP,1388.6,3.35,-0.81,7.94,44.0,50.1,,12,16,,STRONG_BULLISH,WEAK_HOLD
AGIIL,AGIIL,SMALL_CAP,303.75,-0.7,-0.9,27.98,43.3,68.4,,14,8,,STRONG_BULLISH,WEAK_HOLD
POWERINDIA,POWERINDIA,LARGE_CAP,24205.0,0.17,-3.8,7.97,43.3,49.7,,14,9,,STRONG_BULLISH,WEAK_HOLD
ANANDRATHI,ANANDRATHI,MID_CAP,3070.7,1.03,-2.55,2.73,42.7,50.4,,7,15,,STRONG_BULLISH,WEAK_HOLD
NTPC,NTPC Limited,SMALL_CAP,382.4,-0.53,1.63,5.34,42.0,55.0,,8,10,,STRONG_BULLISH,WEAK_HOLD
JINDALSAW,JINDALSAW,MICRO_CAP,196.67,2.79,20.97,3.41,42.0,59.6,,12,12,,BULLISH,WEAK_HOLD
LIQUIDADD,LIQUIDADD,LARGE_CAP,1117.54,0.01,0.09,0.36,41.3,100.0,,9,15,,STRONG_BULLISH,WEAK_HOLD
GOLDETF,GOLDETF,MICRO_CAP,149.79,-2.13,-2.63,1.06,41.3,45.0,,12,8,,STRONG_BULLISH,WEAK_HOLD
IPCALAB,IPCALAB,SMALL_CAP,1557.0,-0.28,3.62,4.82,41.3,67.5,,9,8,,STRONG_BULLISH,WEAK_HOLD
CEIGALL,CEIGALL,MICRO_CAP,272.35,2.35,0.37,-5.97,41.3,37.6,,4,20,,STRONG_BULLISH,WEAK_HOLD
NATIONALUM,National Aluminium Company Limited,SMALL_CAP,372.25,-3.9,-4.08,6.57,40.7,62.2,,12,10,,STRONG_BULLISH,WEAK_HOLD
ANZEN,ANZEN,MICRO_CAP,118.0,0.0,0.0,1.72,40.7,56.0,,6,12,,STRONG_BULLISH,WEAK_HOLD
PFOCUS,PFOCUS,SMALL_CAP,260.65,1.24,-5.97,-0.44,40.7,46.5,,8,11,,STRONG_BULLISH,WEAK_HOLD
AETHER,AETHER,SMALL_CAP,1025.05,2.46,3.89,6.01,40.7,59.0,,10,14,,STRONG_BULLISH,WEAK_HOLD
SANSERA,SANSERA,MID_CAP,2026.8,3.76,-3.34,-9.88,40.7,33.3,,9,11,,STRONG_BULLISH,WEAK_HOLD
GLENMARK,GLENMARK,LARGE_CAP,2175.4,0.22,2.73,8.9,40.0,62.4,,9,11,,STRONG_BULLISH,WEAK_HOLD
ACUTAAS,ACUTAAS,LARGE_CAP,2165.0,3.9,0.48,7.31,40.0,51.3,,11,11,,STRONG_BULLISH,WEAK_HOLD
HDFCGOLD,HDFCGOLD,MICRO_CAP,131.4,-2.52,-3.03,0.84,40.0,44.6,,10,8,,STRONG_BULLISH,WEAK_HOLD
MCX,MCX,LARGE_CAP,2555.6,2.27,-0.83,9.19,39.3,68.3,,10,17,,BULLISH,WEAK_HOLD
ASTERDM,Aster DM Healthcare Limited,MID_CAP,649.2,-2.66,-1.38,8.22,39.3,51.1,,10,6,,STRONG_BULLISH,WEAK_HOLD
AXISGOLD,AXISGOLD,MICRO_CAP,127.57,-2.86,-3.6,0.53,39.3,43.9,,11,6,,STRONG_BULLISH,WEAK_HOLD
CIEINDIA,CIEINDIA,MICRO_CAP,448.95,2.31,0.43,-1.66,39.3,36.3,,5,18,,STRONG_BULLISH,WEAK_HOLD
LIQUIDPLUS,LIQUIDPLUS,MID_CAP,1076.66,0.01,0.09,0.37,39.3,100.0,,9,12,,STRONG_BULLISH,WEAK_HOLD
AARTIIND,AARTIIND,SMALL_CAP,425.15,1.05,3.89,-4.76,39.3,42.4,,11,11,,BULLISH,WEAK_HOLD
TORNTPHARM,Torrent Pharmaceuticals Limited,LARGE_CAP,4266.6,-2.81,-2.45,4.62,39.3,46.7,,7,10,,STRONG_BULLISH,WEAK_HOLD
EMMVEE,EMMVEE,SMALL_CAP,210.28,5.0,8.69,-0.0,39.3,49.8,,9,16,,NEUTRAL,WEAK_HOLD
SUNCLAY,SUNCLAY,SMALL_CAP,1315.4,6.63,2.31,-0.17,38.7,44.7,,9,14,,STRONG_BEARISH,WEAK_HOLD
VTL,VTL,MICRO_CAP,531.3,-1.02,-1.71,4.06,38.7,46.7,,11,10,,STRONG_BULLISH,WEAK_HOLD
BAJEL,BAJEL,MICRO_CAP,167.95,20.0,14.03,4.14,38.7,56.3,,11,16,,STRONG_BEARISH,WEAK_HOLD
BSE,BSE,LARGE_CAP,2862.6,2.35,3.38,-5.38,38.7,60.4,,7,9,,STRONG_BULLISH,WEAK_HOLD
CANHLIFE,CANHLIFE,MICRO_CAP,145.6,3.78,-0.05,-3.96,38.0,46.3,,1,20,,BULLISH,WEAK_HOLD
AJANTPHARM,AJANTPHARM,MID_CAP,2954.1,-2.52,0.6,1.16,38.0,48.3,,9,6,,STRONG_BULLISH,WEAK_HOLD
