"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE","CURRENT_PRICE_BACKTEST","CHANGE_1D_BACKTEST","CHANGE_1W_BACKTEST","CHANGE_1M_BACKTEST","TECHNICAL_SCORE_BACKTEST","RSI_BACKTEST","TREND_SIGNAL_BACKTEST","VOLUME","ANALYSIS_DATE_BACKTEST","RSI_CONFIDENCE","TECH_SCORE_CONFIDENCE","VOLUME_CONFIDENCE","CONFIDENCE_SCORE","CONFIDENCE_CATEGORY","TRADING_SIGNAL_BACKTEST","SIMULATED_WIN_RATE","SIMULATED_RETURN","SIMULATED_TRADES","RISK_ADJUSTED_RETURN","PERFORMANCE_CATEGORY","MAX_DRAWDOWN","SHARPE_RATIO","PROFIT_FACTOR","TOTAL_TRADES","ENHANCED_TRADING_SIGNAL","HAS_BACKTESTING_DATA","BACKTESTING_DATE"
288,"BALMLAWRIE","BALMLAWRIE","SMALL_CAP",232.81,5.86,6.5,NA,66.7,69.1,"STRONG_BULLISH",18.32,14,18,20,68.31,483635336.01,"BUY",2025-09-02,218.07,0.33,-0.39,1.08,65,52.8,"STRONG_BULLISH",183336,"2025-08-29",1,0.65,0.6,0.74,"High","BUY",0.77756142411381,0.134199168039486,12,0.603308879787778,"Good",0.187176198512316,2.44166477455292,2.8229411363136,12,"BUY_BACKTESTED",TRUE,20333
195,"ASTERDM","ASTERDM","SMALL_CAP",632.05,4.44,5.17,NA,64,63.2,"STRONG_BULLISH",16.89,10,18,20,60.89,785490825.8,"HOLD",2025-09-02,601.05,1.11,-2.81,0.19,70,50.4,"STRONG_BULLISH",880131,"2025-08-29",1,0.7,0.8,0.82,"Very High","BUY",0.681810944341123,0.163897988684475,7,0.515096247874052,"Good",0.0804848817409947,2.22189520346001,1.66380326449871,7,"STRONG_BUY_BACKTESTED",TRUE,20333
1140,"BVCL","BVCL","MICRO_CAP",47.96,10.08,12.06,NA,64,63.8,"STRONG_BULLISH",32.26,16,12,20,69.53,25258367.8,"HOLD",2025-09-02,40.95,0.64,-6.01,-2.08,50,45.2,"BULLISH",23968,"2025-08-29",1,0.5,0.2,0.56,"Medium","HOLD",0.644529453059658,0.0303055189549923,6,0.0852546553176977,"Fair",0.264057248551399,1.06112752621993,1.55521318223327,6,"WEAK_HOLD_BACKTESTED",TRUE,20333
26,"APOLLOTYRE","APOLLOTYRE","LARGE_CAP",487.8,4.32,6.84,NA,62.7,68.5,"BEARISH",14.69,14,20,15,53.44,3369497067.5,"HOLD",2025-09-02,462.2,1.02,-0.88,1.54,50,55.5,"STRONG_BEARISH",681893,"2025-08-29",1,0.5,0.8,0.74,"High","HOLD",0.602728265244514,0.00368728353641928,8,0.00928151492753124,"Fair",0.200789899076335,1.09135187626816,1.54736762326211,8,"BUY_BACKTESTED",TRUE,20333
323,"BAJAJCON","BAJAJCON","MICRO_CAP",242.47,1.7,5.65,NA,62,66.7,"STRONG_BULLISH",47.04,14,11,20,61.4,422009155.96,"HOLD",2025-09-02,234.42,0.03,2.4,-1.26,90,59.3,"STRONG_BULLISH",592331,"2025-08-29",1,0.9,0.8,0.9,"Very High","STRONG_BUY",0.867391731357202,0.193566275388002,14,1.45968480977159,"Good",0.0984344212338328,1.66385438572615,2.44621807790827,14,"STRONG_BUY_BACKTESTED",TRUE,20333
690,"ASKAUTOLTD","ASKAUTOLTD","MICRO_CAP",509.65,1.67,3.24,NA,62,56.2,"BULLISH",11.92,8,17,25,71.28,113806121.55,"HOLD",2025-09-02,481.95,0.19,-6.73,-10.66,65,44.4,"STRONG_BULLISH",319250,"2025-08-29",1,0.65,0.6,0.74,"High","BUY",0.636754745710641,0.188407024256885,10,0.518677180313005,"Good",0.229951029852964,1.68067326117307,1.89869091771543,10,"BUY_BACKTESTED",TRUE,20333
19,"DABUR","DABUR","LARGE_CAP",544.6,4,4.25,NA,61.3,64.3,"STRONG_BULLISH",20.42,11,18,15,51.29,4866940025.1,"HOLD",2025-09-02,521.1,1.41,-0.18,-1.3,85,53.3,"STRONG_BULLISH",3745766,"2025-08-29",1,0.85,1,0.94,"Very High","STRONG_BUY",0.900661572860554,0.160279570193961,11,1.61346998145007,"Good",0.090778705989942,2.39649940305389,2.07072107645217,11,"STRONG_BUY_BACKTESTED",TRUE,20333
1734,"COUNCODOS","COUNCODOS","MICRO_CAP",7.13,9.36,7.54,NA,60,54.5,"BEARISH",25.04,12,10,25,72.44,1711404.55,"HOLD",2025-09-02,6.46,-2.71,1.1,8.57,45,46.1,"STRONG_BULLISH",21246,"2025-08-29",1,0.45,0.2,0.54,"Medium","WEAK_HOLD",0.401623795973137,-0.0808044734876603,4,-0.13503958369981,"Poor",0.289174181688577,0.729345478489995,0.715223545092158,4,"WEAK_HOLD_BACKTESTED",TRUE,20333
714,"DAVANGERE","DAVANGERE","MICRO_CAP",4,2.3,20.85,NA,59.3,77,"BEARISH",27.62,16,10,20,60.57,105973938.13,"HOLD",2025-09-02,3.48,6.42,11.18,-3.87,43,61,"STRONG_BEARISH",9724614,"2025-08-29",1,0.43,1,0.772,"High","WEAK_HOLD",0.368777685472742,0.00846388151403518,3,0.0134087172130061,"Poor",0.242310424917378,0.817570448387414,1.01676605406683,3,"BUY_BACKTESTED",TRUE,20333
1417,"ASTRON","ASTRON","MICRO_CAP",16.18,9.99,26.9,NA,59.3,63.4,"BEARISH",32.29,16,10,20,67.82,8546250.12,"HOLD",2025-09-02,13.38,9.94,-6.95,-15.95,35,43.7,"STRONG_BEARISH",392726,"2025-08-29",1,0.35,0.6,0.62,"Medium","WEAK_HOLD",0.373883991455659,0.048252505029086,4,0.077066397234066,"Poor",0.11082507239189,1.13222017535008,1.19185748812743,4,"HOLD_BACKTESTED",TRUE,20333
