"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"AUBANK",1025.4,25.25,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,80,"LARGE_CAP"
"ASHOKLEY",184.25,24.76,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,79.3,"MID_CAP"
"CANBK",157.13,17.59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,77.3,"LARGE_CAP"
"BANKINDIA",157.34,18.23,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,76.7,"MID_CAP"
"BANKBARODA",308.25,11.47,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,74,"MID_CAP"
"BSOFT",433.1,15.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70.7,"SMALL_CAP"
"CEIGALL",279.2,3.24,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"AWHCL",550.9,0.54,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,70,"MID_CAP"
"AURUM",191.92,8.91,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,68.7,"MICRO_CAP"
"COALINDIA",431,9.44,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,68,"MID_CAP"
"ASHAPURMIN",814.75,18.99,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68,"SMALL_CAP"
"AUSOMENT",153.56,43.45,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"BSE",2808.7,19.55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"LARGE_CAP"
"SHRIRAMFIN",995.45,35.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"LARGE_CAP"
"WIPRO",267.45,7.68,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"MID_CAP"
"ANURAS",1316.2,16.1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,67.3,"MICRO_CAP"
"APEX",280.35,17.03,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"MICRO_CAP"
"CUBEXTUB",105.75,3.44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,67.3,"MICRO_CAP"
"ANGELONE",2752.2,15.78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,66.7,"LARGE_CAP"
"BLISSGVS",172.09,8.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"INFY",1689.8,10.63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"LARGE_CAP"
"TECHM",1670.5,11.79,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"LARGE_CAP"
"ICICIPRULI",678,9.48,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,66,"MID_CAP"
"CANTABIL",290.55,10.51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
"LTIM",6308,14.39,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,65.3,"LARGE_CAP"
"DCBBANK",187.92,31.06,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,65.3,"SMALL_CAP"
"PERSISTENT",6403,17.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"SUNDARMFIN",5082.5,9.75,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"SMALL_CAP"
