"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"BHARATGEAR",105.79,23.34,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,78.7,"MICRO_CAP"
"ASTERDM",650.55,10.45,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,76,"SMALL_CAP"
"ASTRAMICRO",1140.8,7.9,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,75.3,"SMALL_CAP"
"CGCL",190.66,13.33,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,74,"MID_CAP"
"CARTRADE",2540.6,69.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,73.3,"MID_CAP"
"ANANTRAJ",640.4,15.41,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,72,"LARGE_CAP"
"BORORENEW",570.05,7.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,71.3,"MICRO_CAP"
"COMSYN",155.34,15.42,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,71.3,"MICRO_CAP"
"ALKEM",5541.5,16.52,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,70.7,"MID_CAP"
"AVL",573.3,53.93,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,70.7,"MICRO_CAP"
"DBEIL",166.98,16.18,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,70.7,"MICRO_CAP"
"SAMMAANCAP",143.21,-0.13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,70,"LARGE_CAP"
"GABRIEL",1282.7,107.77,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,68.7,"MID_CAP"
"SUNDARMHLD",607.95,18.68,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,68.7,"SMALL_CAP"
"TANLA",753.7,19.15,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,68,"MID_CAP"
"TBOTEK",1631.2,26.7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,68,"MID_CAP"
"DCAL",300.45,41.43,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,68,"SMALL_CAP"
"AJMERA",1052.9,16.07,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"CYBERTECH",169.51,17.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"SWIGGY",458.45,14.99,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,67.3,"LARGE_CAP"
"MAHSCOOTER",17780,28.85,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,67.3,"MID_CAP"
"AVANTEL",183.77,19.02,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,67.3,"SMALL_CAP"
"ADANIPOWER",709.4,25.92,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,66.7,"LARGE_CAP"
"MAMATA",499.4,24.84,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"MID_CAP"
"KEI",4200,12.87,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"BLUESTARCO",1963.8,20.82,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"TDPOWERSYS",553.45,2.81,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,66,"MICRO_CAP"
"ASAHIINDIA",878.6,25.37,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
"ANANDRATHI",3042,53.39,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
