"symbol","current_price","relative_strength","rs_category","rs_strength","technical_score","rsi","change_1d","change_1w","market_cap_category"
"CUPID",179.02,89.45,"Exceptional","Strong",66.7,73.7,-0.83,4.09,"SMALL_CAP"
"YATRA",153.88,80.85,"Exceptional","Strong",66,67.4,-1.66,4.87,"SMALL_CAP"
"DATAMATICS",1016.4,69.97,"Exceptional","Strong",66.7,58.9,0.3,3.94,"MICRO_CAP"
"CARTRADE",2556.4,61.02,"Exceptional","Strong",75.3,65.9,-1.03,12.54,"MID_CAP"
"NESCO",1455.7,45.19,"Very Strong","Strong",66.7,64.1,0.57,3.67,"MICRO_CAP"
"ANANDRATHI",2956.2,44.81,"Very Strong","Strong",72,73.6,1,6.79,"MICRO_CAP"
"INDOFARM",243.12,43.77,"Very Strong","Strong",70,63.9,2.04,11,"SMALL_CAP"
"THYROCARE",1340.8,42.96,"Very Strong","Strong",72.7,57.9,3.01,4.9,"MICRO_CAP"
"BLACKBUCK",598.65,39.29,"Very Strong","Strong",69.3,57.9,1.58,-2.75,"MICRO_CAP"
"ARIES",418.85,38.15,"Very Strong","Strong",65.3,55.8,-1.66,-2.01,"MICRO_CAP"
"DECCANCE",1090.5,36.07,"Very Strong","Strong",72,59.6,-1.24,6.8,"MICRO_CAP"
"METROPOLIS",2236.7,34.64,"Very Strong","Strong",70,67.8,1.27,2.25,"MICRO_CAP"
"AVL",517.1,34.44,"Very Strong","Strong",92,64.8,12.56,4.1,"LARGE_CAP"
"ASHAPURMIN",551.35,33.14,"Very Strong","Strong",70.7,60.8,0.76,14.15,"MICRO_CAP"
"BVCL",47.02,31.9,"Very Strong","Strong",74.7,60.7,-0.78,15.56,"MICRO_CAP"
"ASIANENE",373.3,29.87,"Very Strong","Strong",68.7,61.8,-2.25,3.49,"MICRO_CAP"
"BIL",861.75,29.31,"Very Strong","Strong",65.3,53.7,2.08,-0.38,"MICRO_CAP"
"BBTCL",202.1,28.75,"Very Strong","Strong",68.7,56.6,0.04,0.99,"MICRO_CAP"
"MEDANTA",1420.8,28.68,"Very Strong","Strong",66.7,62,-0.45,1.49,"MICRO_CAP"
"BESTAGRO",405.75,28.57,"Very Strong","Strong",66,52,1.39,13.99,"MICRO_CAP"
"LEMONTREE",170.95,27.64,"Very Strong","Strong",70,65.4,0.73,1.88,"MID_CAP"
"DELHIVERY",470.65,27.62,"Very Strong","Strong",65.3,59.1,-1.54,0.32,"SMALL_CAP"
"CLEDUCATE",111.04,27.54,"Very Strong","Strong",66,60,-1.19,-2.68,"MICRO_CAP"
"RAMCOIND",314.4,26.74,"Very Strong","Strong",76.7,67.9,2.08,2.68,"MICRO_CAP"
"BALAJEE",55.29,26.6,"Very Strong","Strong",70.7,60.3,-2.33,7.36,"MICRO_CAP"
"FLAIR",317,24.88,"Very Strong","Strong",68,52.7,-1.63,2.23,"MICRO_CAP"
"SINCLAIR",106.35,24.67,"Very Strong","Strong",72.7,63.3,6.97,9.09,"MICRO_CAP"
"CENTUM",2817.3,24.54,"Very Strong","Strong",78,65.9,0.38,4.81,"MICRO_CAP"
"DIFFNKG",381.35,24.17,"Very Strong","Strong",70.7,67.1,8.55,6.61,"SMALL_CAP"
"STOVEKRAFT",680.5,24.11,"Very Strong","Strong",76,62.5,2.3,6.34,"MICRO_CAP"
"UNIECOM",151.74,24.1,"Very Strong","Strong",66.7,69.9,1.31,14.26,"MICRO_CAP"
