INDEX_NAME,INDEX_STRENGTH,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Nifty 50,64.92,16,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2602.9,4.67,3.15,10.63,67.3,68.3,BULLISH,-0.32,10,20,20,62.21,68.26,60,57.05,56.67,11586031696,BUY,2025-11-06
Nifty 50,64.92,46,BPCL,BHARAT PETROLEUM CORP  LT,LARGE_CAP,367.95,-1.34,2.89,7.62,66,70.1,STRONG_BULLISH,13.4,12,6,20,62.6,70,56,58.64,59.17,4383652002.35,BUY,2025-11-06
Nifty 50,64.92,7,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2094.9,-0.87,1.38,8.6,65.3,64.8,STRONG_BULLISH,7.04,10,12,15,52.75,50.65,51,54.32,59.17,20076041845.4,BUY,2025-11-06
Nifty 50,64.92,5,SBIN,STATE BANK OF INDIA,LARGE_CAP,960.75,0.33,2.83,11.11,63.3,80.9,STRONG_BULLISH,14.3,18,15,0,NA,NA,NA,NA,NA,22216670805.6,HOLD,2025-11-06
Nifty 50,64.92,31,BRITANNIA,BRITANNIA INDUSTRIES LTD,LARGE_CAP,6013.5,2.05,2.63,2.15,62.7,56.2,BEARISH,3.88,8,16,15,52.36,51.96,47,54.77,59.17,6297834246.5,HOLD,2025-11-06
Nifty 500,63.44,16,ASIANPAINT,ASIAN PAINTS LIMITED,LARGE_CAP,2602.9,4.67,3.15,10.63,67.3,68.3,BULLISH,-0.32,10,20,20,62.21,68.26,60,57.05,56.67,11586031696,BUY,2025-11-06
Nifty 500,63.44,7,BHARTIARTL,BHARTI AIRTEL LIMITED,LARGE_CAP,2094.9,-0.87,1.38,8.6,65.3,64.8,STRONG_BULLISH,7.04,10,12,15,52.75,50.65,51,54.32,59.17,20076041845.4,BUY,2025-11-06
Nifty 500,63.44,5,SBIN,STATE BANK OF INDIA,LARGE_CAP,960.75,0.33,2.83,11.11,63.3,80.9,STRONG_BULLISH,14.3,18,15,0,NA,NA,NA,NA,NA,22216670805.6,HOLD,2025-11-06
Nifty 500,63.44,44,AXISBANK,AXIS BANK LIMITED,LARGE_CAP,1228.5,0.15,-0.82,3.51,61.3,59.2,STRONG_BULLISH,12.13,9,15,15,52.47,51.19,47,54.71,62,4595094516.2,HOLD,2025-11-06
Nifty 500,63.44,2,HINDALCO,HINDALCO  INDUSTRIES  LTD,LARGE_CAP,788.4,-5.17,-8.47,2.68,60,46.5,STRONG_BULLISH,10.89,14,10,0,NA,NA,NA,NA,NA,27201452543.05,HOLD,2025-11-06
