SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Banking - PSU,59.72,7,12,CANBK,CANARA BANK,LARGE_CAP,132.89,3.2,5.27,7.42,76,68.9,STRONG_BULLISH,16.89,18,12,15,54.62,54.05,47,56.76,66,12325784175.58,BUY,2025-10-30
Banking - PSU,59.72,7,49,BANKBARODA,BANK OF BARODA,LARGE_CAP,272.75,-0.67,2.19,5.5,66,62.6,STRONG_BULLISH,7.76,12,6,15,53.65,55.48,47,57.94,54.17,3808390742.45,BUY,2025-10-30
Banking - PSU,59.72,7,75,PNB,PUNJAB NATIONAL BANK,MID_CAP,120.09,-0.83,1.58,6.43,54,63.6,STRONG_BULLISH,7.58,10,10,0,NA,NA,NA,NA,NA,2791984584.03,HOLD,2025-10-30
Banking - PSU,59.72,7,13,SBIN,STATE BANK OF INDIA,LARGE_CAP,934.35,-0.57,2.5,7.09,53.3,74.9,STRONG_BULLISH,8.65,10,12,0,NA,NA,NA,NA,NA,12247265996.75,HOLD,2025-10-30
Banking - PSU,59.72,7,181,PNBHOUSING,PNB HOUSING FIN LTD.,SMALL_CAP,934.55,-0.42,5.77,8.22,49.3,69.5,BULLISH,15.85,13,6,0,NA,NA,NA,NA,NA,1165537134.45,WEAK_HOLD,2025-10-30
Auto & Auto Ancillaries,58.4,11,105,ASHOKLEY,ASHOK LEYLAND LTD,MID_CAP,140.77,0.92,2.12,-1.33,64.7,56.7,BEARISH,12.54,9,9,25,71.08,74.57,82,59.41,59.17,2071275160.01,HOLD,2025-10-30
Auto & Auto Ancillaries,58.4,11,37,TVSMOTOR,TVS MOTOR COMPANY  LTD,LARGE_CAP,3491.7,-0.21,-2.93,1.54,58.7,46.3,STRONG_BULLISH,10.61,12,10,0,NA,NA,NA,NA,NA,5095477368.1,HOLD,2025-10-30
Auto & Auto Ancillaries,58.4,11,172,M&MFIN,M&M FIN. SERVICES LTD,SMALL_CAP,315.7,-0.55,5.87,14.67,58,74.8,STRONG_BULLISH,16.93,16,10,0,NA,NA,NA,NA,NA,1280579150.05,HOLD,2025-10-30
Auto & Auto Ancillaries,58.4,11,352,APOLLOTYRE,APOLLO TYRES LTD,MICRO_CAP,503,-0.5,-2.13,6.35,57.3,58.1,STRONG_BULLISH,8.09,9,12,15,53.44,54.57,51,53.68,54.17,370421086.6,HOLD,2025-10-30
Auto & Auto Ancillaries,58.4,11,98,HEROMOTOCO,HERO MOTOCORP LIMITED,MID_CAP,5515,-0.66,-1.32,0.78,53.3,51.9,STRONG_BULLISH,10.61,9,10,0,NA,NA,NA,NA,NA,2220384759.5,HOLD,2025-10-30
