"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
600,"CHEMCON","CHEMCON SPECIAL CHEM LTD","MICRO_CAP",258.61,0,-0.05,23.84,83.3,63.7,"STRONG_BULLISH",36.41,18,18,25,71.15,74.35,86,56.82,57,155273471.6,"STRONG_BUY",2025-09-29
223,"BLACKBUCK","ZINKA LOGISTICS SOL LTD","SMALL_CAP",633.3,0,7.64,-0.54,76,62.3,"BULLISH",45.36,14,14,20,62.86,66.96,62,58.64,59,988966131.5,"BUY",2025-09-29
862,"COMSYN","COMMERCIAL SYN BAGS LTD","MICRO_CAP",153.74,0,-0.7,6.99,76,62.2,"STRONG_BULLISH",19.58,13,13,25,71.65,75.43,86,59.55,53.75,29273352.68,"BUY",2025-09-29
178,"CHENNPETRO","CHENNAI PETROLEUM CORP LT","SMALL_CAP",763.35,0,0.97,18.28,73.3,68.3,"STRONG_BULLISH",5.67,11,15,20,68.3,71.74,82,58.64,49.17,1355838370.1,"BUY",2025-09-29
446,"STYLEBAAZA","BAAZAR STYLE RETAIL LTD","MICRO_CAP",370.3,0,1.05,14.11,71.3,65.5,"STRONG_BULLISH",28.77,20,18,0,NA,NA,NA,NA,NA,316806080.9,"BUY",2025-09-29
187,"CHOICEIN","CHOICE INTERNATIONAL LTD","SMALL_CAP",788.6,0,-2.14,-0.93,70.7,45.7,"STRONG_BULLISH",14.85,13,12,15,54.36,51.52,55,55,60,1264622067.05,"BUY",2025-09-29
283,"ASHAPURMIN","ASHAPURA MINECHEM LTD","SMALL_CAP",669.6,0,2.84,29.75,70.7,70.5,"STRONG_BULLISH",29.32,16,14,15,52.76,51.96,47,58.41,57,684717401.1,"BUY",2025-09-29
377,"CYBERTECH","CYBERTECH SYSTEMS & SOFTW","MICRO_CAP",195.11,0,18.47,26.47,70.7,77.9,"BULLISH",30.02,20,12,15,52.68,53.26,51,57.14,48,426663802.7,"BUY",2025-09-29
387,"AVL","ADITYA VISION LIMITED","MICRO_CAP",550.6,0,-3.88,9.43,70.7,60.6,"STRONG_BULLISH",53.61,15,2,25,73.11,74.35,86,59.86,66,408698198.85,"BUY",2025-09-29
148,"BHARATGEAR","BHARAT GEARS LTD.","MID_CAP",146.66,0,34.29,64.69,70,85.1,"STRONG_BULLISH",57.93,20,8,15,51.91,51.96,47,56.36,54,1696160050.27,"BUY",2025-09-29
410,"BBOX","BLACK BOX LIMITED","MICRO_CAP",520.55,0,3.74,NA,70,57.8,"NEUTRAL",38.41,15,16,15,59.11,60.65,65,56.14,49.17,366653884.15,"BUY",2025-09-29
532,"GANDHITUBE","GANDHI SPL. TUBES LTD","MICRO_CAP",951.45,0,2.43,12.07,70,60.8,"STRONG_BULLISH",32.64,20,16,0,NA,NA,NA,NA,NA,210172917.05,"BUY",2025-09-29
543,"VSSL","VARDHMAN SPC STEEL LTD","MICRO_CAP",283.35,0,3.17,11.84,70,65,"STRONG_BULLISH",11.57,16,20,0,NA,NA,NA,NA,NA,197993062.85,"BUY",2025-09-29
605,"CENTURYPLY","CENTURY PLYBOARDS (I) LTD","MICRO_CAP",786.75,0,-2.71,5.41,70,49.9,"STRONG_BULLISH",10.63,12,12,15,53,51.09,47,56.82,63,153473683.55,"BUY",2025-09-29
64,"FORTIS","FORTIS HEALTHCARE LTD","MID_CAP",970.75,0,0.47,6.5,69.3,61.6,"STRONG_BULLISH",24.49,18,17,0,NA,NA,NA,NA,NA,3925186289.8,"BUY",2025-09-29
253,"SUNDARMHLD","SUNDARAM FINANCE HOLD LTD","SMALL_CAP",634.6,0,5.11,35.45,68.7,68.3,"STRONG_BULLISH",32.63,20,14,0,NA,NA,NA,NA,NA,800738058.95,"BUY",2025-09-29
119,"ATHERENERG","ATHER ENERGY LIMITED","MID_CAP",580.5,0,-1.87,28.96,68,70.2,"STRONG_BULLISH",72.15,15,6,20,63.36,53.7,85,53.64,66,2221924453.1,"BUY",2025-09-29
171,"CUMMINSIND","CUMMINS INDIA LTD","SMALL_CAP",3994.2,0,0.1,4.39,68,56.6,"STRONG_BULLISH",14.71,9,15,15,53.02,50.65,51,55.68,59.17,1413077568.3,"BUY",2025-09-29
236,"ANANDRATHI","ANAND RATHI WEALTH LTD","SMALL_CAP",2811.8,0,-7.29,0.64,67.3,40.8,"STRONG_BULLISH",17.5,14,6,15,50.33,50.65,47,56.59,46.67,909622652.3,"BUY",2025-09-29
814,"MOLDTECH","MOLD-TEK TECHNOLOGIES LTD","MICRO_CAP",180.57,0,3.41,12.29,67.3,66.1,"STRONG_BULLISH",15.95,18,14,0,NA,NA,NA,NA,NA,48187201.16,"BUY",2025-09-29
60,"BPCL","BHARAT PETROLEUM CORP  LT","MID_CAP",338.1,0,3.9,9.7,66.7,68.9,"BULLISH",0.17,9,18,20,62.6,70,56,58.64,59.17,4241718600.55,"BUY",2025-09-29
797,"ARIHANTCAP","ARIHANT CAPITAL MKTS LTD","MICRO_CAP",109.98,0,1.35,0.05,66.7,54.7,"STRONG_BULLISH",28.76,11,10,15,51.44,51.19,47,55.75,53.75,54026096.08,"BUY",2025-09-29
120,"CGPOWER","CG POWER AND IND SOL LTD","MID_CAP",747.3,0,-2.97,7.63,66,51.2,"STRONG_BULLISH",13.34,13,10,15,55.37,53.04,51,57.5,66,2188791950.15,"BUY",2025-09-29
230,"CARTRADE","CARTRADE TECH LIMITED","SMALL_CAP",2500.4,0,4.65,4.27,66,55.3,"BULLISH",34.32,15,13,15,52.67,50.65,47,54.55,65,932090424,"BUY",2025-09-29
419,"GOLDETFADD","DSPAMC - DSPGOLDETF","MICRO_CAP",112.62,0,3.08,12.85,66,79.1,"STRONG_BULLISH",20.57,18,15,0,NA,NA,NA,NA,NA,354211906.55,"BUY",2025-09-29
774,"DDEVPLSTIK","DDEV PLASTIKS IND LTD","MICRO_CAP",348.3,0,0.81,12.72,66,64.2,"STRONG_BULLISH",18.47,13,12,15,52.26,49.57,51,55.68,57,63614757.8,"BUY",2025-09-29
7,"SAMMAANCAP","SAMMAAN CAPITAL LIMITED","LARGE_CAP",154.27,0,9.29,24.45,65.3,71.7,"STRONG_BULLISH",27.14,20,12,0,NA,NA,NA,NA,NA,23675424324.89,"BUY",2025-09-29
12,"ANANTRAJ","ANANT RAJ LIMITED","LARGE_CAP",699.15,0,3.18,35.4,65.3,78.8,"STRONG_BULLISH",18.17,18,4,15,51.15,49,44.17,55.3,63,12272506826.3,"BUY",2025-09-29
152,"BLUESTARCO","BLUE STAR LIMITED","SMALL_CAP",1895.6,0,-5.07,0.74,65.3,48.1,"STRONG_BULLISH",3.73,7,8,25,72.84,74.35,86,58.5,66,1663225893.1,"BUY",2025-09-29
38,"HINDZINC","HINDUSTAN ZINC LIMITED","LARGE_CAP",466.15,0,1.5,11.19,64,62.7,"BULLISH",9.59,14,20,0,NA,NA,NA,NA,NA,6935988678.45,"HOLD",2025-09-29
70,"AMBER","AMBER ENTERPRISES (I) LTD","MID_CAP",8232,0,-0.94,13.27,63.3,61.9,"STRONG_BULLISH",8.03,10,10,15,59.89,69.2,78.33,55.65,10,3540638279.5,"HOLD",2025-09-29
302,"AGARWALEYE","DR AGARWALS HEALTH CARE L","MICRO_CAP",498.75,0,9.52,15.33,63.3,74.7,"BULLISH",18.4,18,14,0,10,10,10,10,10,615719891.8,"HOLD",2025-09-29
852,"MAXIND","MAX INDIA LIMITED","MICRO_CAP",214.96,0,3.69,-2.09,63.3,53.5,"BULLISH",19.63,13,16,0,NA,NA,NA,NA,NA,32092265.89,"HOLD",2025-09-29
896,"UNIONGOLD","UNIONAMC - UNIONGOLD","MICRO_CAP",113.95,0,4.06,12.88,63.3,82.3,"STRONG_BULLISH",20.93,18,15,0,NA,NA,NA,NA,NA,17735643.75,"HOLD",2025-09-29
72,"LTF","L&T FINANCE LIMITED","MID_CAP",244.84,0,-1.31,12.75,62.7,71.8,"STRONG_BULLISH",22.2,18,10,0,NA,NA,NA,NA,NA,3483217966.83,"HOLD",2025-09-29
142,"INDIANB","INDIAN BANK","MID_CAP",724.6,0,2.85,10.95,62.7,72.7,"STRONG_BULLISH",17.37,16,12,0,NA,NA,NA,NA,NA,1801869545.35,"HOLD",2025-09-29
337,"RACLGEAR","RACL GEARTECH LIMITED","MICRO_CAP",1136.8,0,24.33,26.49,62.7,76.5,"STRONG_BULLISH",26.41,20,8,0,NA,NA,NA,NA,NA,499557117.45,"HOLD",2025-09-29
