"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"BHARATGEAR",105.79,NA,FALSE,FALSE,TRUE,78.7,"MICRO_CAP"
"ASTERDM",650.55,NA,FALSE,FALSE,TRUE,76,"SMALL_CAP"
"ASTRAMICRO",1140.8,NA,FALSE,FALSE,TRUE,75.3,"SMALL_CAP"
"CGCL",190.66,NA,FALSE,FALSE,TRUE,74,"MID_CAP"
"CARTRADE",2540.6,NA,FALSE,FALSE,TRUE,73.3,"MID_CAP"
"ANANTRAJ",640.4,NA,FALSE,FALSE,FALSE,72,"LARGE_CAP"
"BORORENEW",570.05,NA,FALSE,FALSE,FALSE,71.3,"MICRO_CAP"
"COMSYN",155.34,NA,FALSE,FALSE,TRUE,71.3,"MICRO_CAP"
"ALKEM",5541.5,NA,FALSE,FALSE,TRUE,70.7,"MID_CAP"
"AVL",573.3,NA,FALSE,FALSE,TRUE,70.7,"MICRO_CAP"
"DBEIL",166.98,NA,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"SAMMAANCAP",143.21,NA,FALSE,FALSE,TRUE,70,"LARGE_CAP"
"GABRIEL",1282.7,NA,FALSE,FALSE,TRUE,68.7,"MID_CAP"
"SUNDARMHLD",607.95,NA,FALSE,FALSE,TRUE,68.7,"SMALL_CAP"
"TANLA",753.7,NA,FALSE,FALSE,TRUE,68,"MID_CAP"
"TBOTEK",1631.2,NA,FALSE,FALSE,TRUE,68,"MID_CAP"
"DCAL",300.45,NA,FALSE,FALSE,TRUE,68,"SMALL_CAP"
"AJMERA",1052.9,NA,FALSE,FALSE,TRUE,68,"MICRO_CAP"
"CYBERTECH",169.51,NA,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"SWIGGY",458.45,NA,FALSE,FALSE,TRUE,67.3,"LARGE_CAP"
"MAHSCOOTER",17780,NA,FALSE,FALSE,TRUE,67.3,"MID_CAP"
"AVANTEL",183.77,NA,FALSE,FALSE,TRUE,67.3,"SMALL_CAP"
"ADANIPOWER",709.4,NA,FALSE,FALSE,TRUE,66.7,"LARGE_CAP"
"MAMATA",499.4,NA,FALSE,FALSE,FALSE,66.7,"MID_CAP"
"KEI",4200,NA,FALSE,FALSE,TRUE,66.7,"SMALL_CAP"
"BLUESTARCO",1963.8,NA,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"TDPOWERSYS",553.45,NA,FALSE,FALSE,TRUE,66,"MICRO_CAP"
"ASAHIINDIA",878.6,NA,FALSE,FALSE,TRUE,66,"MICRO_CAP"
"ANANDRATHI",3042,NA,FALSE,FALSE,TRUE,66,"MICRO_CAP"
"NETWEB",3279.4,NA,FALSE,FALSE,TRUE,65.3,"LARGE_CAP"
"CANBK",117.76,NA,FALSE,TRUE,FALSE,65.3,"LARGE_CAP"
"AARTIPHARM",930.2,NA,FALSE,FALSE,FALSE,65.3,"MID_CAP"
"GVT&D",3068.7,NA,FALSE,FALSE,TRUE,65.3,"MID_CAP"
"VARROC",633,NA,FALSE,FALSE,TRUE,65.3,"MICRO_CAP"
"SUDARSCHEM",1474.4,NA,FALSE,FALSE,TRUE,65.3,"MICRO_CAP"
"CHALET",1029.9,NA,FALSE,FALSE,TRUE,65.3,"MICRO_CAP"
"KAYNES",7151.5,NA,FALSE,FALSE,TRUE,64.7,"LARGE_CAP"
"CGPOWER",779.4,NA,FALSE,FALSE,TRUE,64.7,"MID_CAP"
"CUPID",214.59,NA,FALSE,FALSE,TRUE,64.7,"MICRO_CAP"
"SAILIFE",913.65,NA,FALSE,FALSE,TRUE,64,"MID_CAP"
"AARTIDRUGS",525.35,NA,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"SPMLINFRA",282.35,NA,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"VIMTALABS",825.05,NA,FALSE,FALSE,FALSE,63.3,"MID_CAP"
"LAURUSLABS",932.1,NA,FALSE,FALSE,TRUE,63.3,"MID_CAP"
"POLYCAB",7549,NA,FALSE,FALSE,TRUE,63.3,"MID_CAP"
"NAVA",717.3,NA,FALSE,FALSE,TRUE,63.3,"MICRO_CAP"
"AGIIL",1176.4,NA,FALSE,FALSE,TRUE,63.3,"MICRO_CAP"
"ASHAPURMIN",620,NA,FALSE,FALSE,TRUE,63.3,"MICRO_CAP"
