"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"DECCANCE",1139.8,-12.64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,85.3,"MICRO_CAP"
"ASKAUTOLTD",566.4,-4.84,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,75.3,"MID_CAP"
"BHARATGEAR",120.28,-18.25,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,74,"SMALL_CAP"
"BOROLTD",371.45,-5.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,72.7,"SMALL_CAP"
"ANANTRAJ",677.1,-10.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72,"LARGE_CAP"
"COMSYN",153.26,-9.44,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,72,"MICRO_CAP"
"ASTRAMICRO",1125.1,-5.27,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,71.3,"SMALL_CAP"
"CANBK",122.91,-3.51,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,70,"LARGE_CAP"
"SYRMA",858.4,-24.98,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,70,"MID_CAP"
"DATAMATICS",900.4,-24.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,"MICRO_CAP"
"CHOICEIN",826.3,-10.29,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,"MICRO_CAP"
"AADHARHFC",539.85,-8.84,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,69.3,"SMALL_CAP"
"CHEMCON",246.05,-12.86,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,69.3,"MICRO_CAP"
