"RANK","INDEX_NAME","CURRENT_LEVEL","TECHNICAL_SCORE","RSI","TREND_SIGNAL","MOMENTUM_50D","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
11,"Nifty Auto",24960.85,63,59.5,"STRONG_BULLISH",4.76,0,"HOLD",2025-08-29
12,"Nifty FMCG",56141.85,55,55,"BULLISH",2.55,0,"HOLD",2025-08-29
10,"Nifty Pharma",21804.05,37,43.5,"BULLISH",0,0,"WEAK_HOLD",2025-08-29
13,"Nifty Metal",9154.8,29,41.3,"BEARISH",-1.87,0,"SELL",2025-08-29
1,"Nifty 50",24426.85,26,39.1,"BEARISH",-3.24,909368136907.53,"SELL",2025-08-29
6,"Nifty Next 50",65745.75,26,38.2,"BEARISH",-2.84,0,"SELL",2025-08-29
2,"Nifty 500",22462.95,21,37.1,"BEARISH",-3.58,0,"SELL",2025-08-29
3,"Nifty 100",25003.05,21,38.8,"BEARISH",-3.17,0,"SELL",2025-08-29
4,"Nifty 200",13575.1,21,37.8,"BEARISH",-3.55,0,"SELL",2025-08-29
7,"NIFTY MIDCAP 150",20750.3,21,35.4,"BEARISH",-4.11,0,"SELL",2025-08-29
16,"Nifty Infra",8873.1,21,36.8,"BEARISH",-3.61,0,"SELL",2025-08-29
8,"NIFTY SMLCAP 250",16506.15,16,33.8,"BEARISH",-5.44,0,"SELL",2025-08-29
9,"Nifty IT",35181.25,15,44.7,"BEARISH",-9.9,0,"SELL",2025-08-29
5,"Nifty Bank",53655.65,12,27.1,"BEARISH",-5.24,0,"SELL",2025-08-29
15,"Nifty Energy",33638.65,12,25.1,"BEARISH",-6.09,0,"SELL",2025-08-29
14,"Nifty Realty",870.75,7,35.2,"STRONG_BEARISH",-14.61,0,"SELL",2025-08-29
