"SYMBOL","CURRENT_PRICE","SMA_20","SMA_50","SMA_100","SMA_200","ABOVE_20DMA","ABOVE_50DMA","ABOVE_100DMA","ABOVE_200DMA"
"20MICRONS",180.07,194.5475,196.727,210.3153,217.47735,FALSE,FALSE,FALSE,FALSE
"21STCENMGM",40.38,45.418,43.8018,48.0255,55.2204,FALSE,FALSE,FALSE,FALSE
"3IINFOLTD",14.91,15.821,16.7684,19.5053000000001,21.72715,FALSE,FALSE,FALSE,FALSE
"3MINDIA",33900,34888.25,34559.9,32361.3,30905.438,FALSE,FALSE,TRUE,TRUE
"3PLAND",35.13,36.8985,39.0756,42.0963,45.01875,FALSE,FALSE,FALSE,FALSE
"5PAISA",353.6,355.645,333.432,343.368,365.276249999999,FALSE,TRUE,TRUE,FALSE
"63MOONS",617.25,696.365,744.687000000001,821.2675,841.865749999999,FALSE,FALSE,FALSE,FALSE
"A2ZINFRA",14.12,14.8385,15.846,15.8531,14.0564,FALSE,FALSE,FALSE,TRUE
"AAATECH",107.12,98.3515000000001,88.3128,87.5161,86.8799000000001,TRUE,TRUE,TRUE,TRUE
"AAKASH",7.88,8.5455,8.77080000000001,8.9107,9.0306,FALSE,FALSE,FALSE,FALSE
"AAREYDRUGS",65.53,63.743,57.7246,50.2121,46.81555,TRUE,TRUE,TRUE,TRUE
"AARON",154.96,168.254,183.7772,213.4166,295.40705,FALSE,FALSE,FALSE,FALSE
"AARTIDRUGS",375.7,393.375,431.491,464.265,449.2245,FALSE,FALSE,FALSE,FALSE
"AARTIIND",346.45,361.0575,374.134,377.959499999999,408.326999999999,FALSE,FALSE,FALSE,FALSE
"AARTISURF",434.6,393.66,425.931,460.050500000001,511.1435,TRUE,TRUE,FALSE,FALSE
"AARVEEDEN",38.05,33.6735,29.065,27.756,28.2495,TRUE,TRUE,TRUE,TRUE
"AARVI",121.55,126.7315,126.6166,123.8002,115.7441,FALSE,FALSE,FALSE,TRUE
"AAVAS",1462.8,1464.49,1554.946,1594.212,1747.53775,FALSE,FALSE,FALSE,FALSE
"ABAN",44.96,45.034,48.7762,49.0404999999999,59.4667,FALSE,FALSE,FALSE,FALSE
"ABB",4755.5,5049.45,5095.25000000001,5133.924,5398.68949999999,FALSE,FALSE,FALSE,FALSE
"ABBOTINDIA",27725,28089.5,28911.9,29975.05,30853.80025,FALSE,FALSE,FALSE,FALSE
"ABCAPITAL",354.5,358.1325,345.008,317.183,272.8215,FALSE,TRUE,TRUE,TRUE
"ABFRL",63.69,73.8325000000001,76.9560000000004,80.2515,119.365,FALSE,FALSE,FALSE,FALSE
"ABSLAMC",774.25,802.297500000001,769.928,805.347499999999,770.916750000001,FALSE,TRUE,FALSE,TRUE
"ABSLBANETF",60.47,60.827,60.3094,58.5002,57.10185,FALSE,TRUE,TRUE,TRUE
"ABSLNN50ET",70.62,72.0015,72.3127999999999,71.6914,70.1456000000001,FALSE,FALSE,FALSE,TRUE
"ACC",1728.2,1741.175,1806.306,1823.139,1869.047,FALSE,FALSE,FALSE,FALSE
"ACCELYA",1336.8,1319.385,1329.166,1387.626,1378.58,TRUE,TRUE,FALSE,FALSE
"ACCURACY",4.86,5.46250000000002,5.94519999999995,6.46069999999999,7.28884999999998,FALSE,FALSE,FALSE,FALSE
"ACE",806.95,899.8625,966.295,1019.7965,1112.61325,FALSE,FALSE,FALSE,FALSE
"ACEINTEG",19.89,21.242,22.3112,23.3854,24.31345,FALSE,FALSE,FALSE,FALSE
"ACI",548.35,530.0675,561.772000000001,617.883000000001,618.740749999999,TRUE,FALSE,FALSE,FALSE
"ADANIENT",2086.4,2196.29,2308.586,2366.073,2413.21775,FALSE,FALSE,FALSE,FALSE
"ADANIGREEN",904.3,972.8,1020.896,1008.6605,990.078000000001,FALSE,FALSE,FALSE,FALSE
"ADANIPORTS",1414.2,1454.125,1469.976,1428.205,1383.82475,FALSE,FALSE,FALSE,TRUE
"ADANIPOWER",140.92,143.0285,148.0656,284.8798,420.6859,FALSE,FALSE,FALSE,FALSE
"ADFFOODS",183.72,198.3025,207.9056,214.4641,231.75675,FALSE,FALSE,FALSE,FALSE
"ADORWELD",852.45,866.085,898.242000000001,1018.372,1184.2225,FALSE,FALSE,FALSE,FALSE
"ADROITINFO",9.91,10.002,10.4808,10.6527,11.0717,FALSE,FALSE,FALSE,FALSE
"ADSL",123.82,141.618,158.1016,167.2461,176.95645,FALSE,FALSE,FALSE,FALSE
"ADVANIHOTR",60.09,57.3670000000001,57.0488000000001,58.3498000000002,59.4436000000002,TRUE,TRUE,TRUE,TRUE
"ADVENZYMES",271.95,294.3975,307.27,315.027499999999,311.1125,FALSE,FALSE,FALSE,FALSE
"AEGISCHEM",791.15,670.215,579.103,490.14,414.735749999999,TRUE,TRUE,TRUE,TRUE
"AETHER",979.35,943.87,871.044,809.027,801.168,TRUE,TRUE,TRUE,TRUE
"AFFLE",1609.4,1724.79,1737.934,1853.632,1803.2415,FALSE,FALSE,FALSE,FALSE
"AGARIND",696.45,703.0375,764.667,826.897,904.861249999999,FALSE,FALSE,FALSE,FALSE
"AGI",661.35,706.9625,752.827,814.877,819.58875,FALSE,FALSE,FALSE,FALSE
"AGRITECH",129.53,125.102000000001,128.8774,135.3151,143.46975,TRUE,TRUE,FALSE,FALSE
"AGROPHOS",37.26,38.532,40.1098,37.9435,36.2,FALSE,FALSE,FALSE,TRUE
"AGSTRA",51.06,61.106,70.235,83.3204,83.9111000000002,FALSE,FALSE,FALSE,FALSE
"AHL",192.5,221.225,283.126,338.7575,412.911500000001,FALSE,FALSE,FALSE,FALSE
"AHLADA",51.04,51.7045000000001,53.587,56.7307,60.9659999999999,FALSE,FALSE,FALSE,FALSE
"AHLEAST",132.28,138.039,140.2938,146.4069,145.8703,FALSE,FALSE,FALSE,FALSE
"AHLUCONT",874.65,926.577499999999,943.751999999999,949.47,936.942750000001,FALSE,FALSE,FALSE,FALSE
"AIAENG",3758.2,3901.415,3729.104,3435.501,3362.97125,FALSE,TRUE,TRUE,TRUE
"AIRAN",14.6,16.9995,19.485,22.3896,25.2225,FALSE,FALSE,FALSE,FALSE
"AIROLAM",90.49,97.8874999999999,101.4484,104.8631,103.2864,FALSE,FALSE,FALSE,FALSE
"AJANTPHARM",2717.6,2755.265,2621.694,2575.484,2601.08625,FALSE,TRUE,TRUE,TRUE
"AJMERA",150.95,729.91,896.947,936.011500000001,904.9915,FALSE,FALSE,FALSE,FALSE
"AJOONI",3.84,4.18850000000001,4.6076,4.9319,5.3812,FALSE,FALSE,FALSE,FALSE
"AKASH",24.12,26.392,26.6256,27.3721,27.5482,FALSE,FALSE,FALSE,FALSE
"AKG",13.19,12.558,12.5498,12.687,13.05315,TRUE,TRUE,TRUE,TRUE
"AKSHARCHEM",227.72,232.671,248.9794,259.7762,255.7357,FALSE,FALSE,FALSE,FALSE
"AKSHOPTFBR",5.62,6.126,6.6574,7.2115,8.458,FALSE,FALSE,FALSE,FALSE
"AKZOINDIA",2934.6,3199.56,3290.964,3338.085,3404.85975,FALSE,FALSE,FALSE,FALSE
"ALANKIT",9.68,10.3815,10.982,12.2314,13.63245,FALSE,FALSE,FALSE,FALSE
"ALBERTDAVD",686.4,732.025,783.623000000001,791.861,821.333499999999,FALSE,FALSE,FALSE,FALSE
"ALEMBICLTD",93.54,98.2265,99.3826000000001,101.4772,105.26375,FALSE,FALSE,FALSE,FALSE
"ALICON",693.55,790.6475,857.762999999998,853.1695,831.515000000001,FALSE,FALSE,FALSE,FALSE
"ALKALI",72.54,77.398,82.0782,86.3037,89.44035,FALSE,FALSE,FALSE,FALSE
"ALKEM",5758.5,5698.65,5670.05000000001,5539.005,5254.61174999999,TRUE,TRUE,TRUE,TRUE
"ALKYLAMINE",1597.8,1591.255,1694.282,1849.582,1904.11175,TRUE,FALSE,FALSE,FALSE
"ALLCARGO",9.31,10.8740000000002,20.8922000000001,26.9764999999998,29.47505,FALSE,FALSE,FALSE,FALSE
"ALLSEC",1084.2,1120.8825,1087.716,1088.8965,909.0595,FALSE,FALSE,FALSE,TRUE
"ALMONDZ",15.65,16.9075,17.2752,18.2949,20.0326000000001,FALSE,FALSE,FALSE,FALSE
"ALPA",65.22,74.605,79.9762,86.611,95.3420499999999,FALSE,FALSE,FALSE,FALSE
"ALPHAGEO",204.56,220.212,233.4422,242.394,286.57175,FALSE,FALSE,FALSE,FALSE
