INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty 50,42.66,TITAN,TITAN,LARGE_CAP,4525.9,1.45,1.94,10.64,48.7,76.3,NA,16,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,42.66,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,284.05,0.46,-1.58,9.06,43.3,67.9,NA,11,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,42.66,NTPC,NTPC Limited,SMALL_CAP,393.6,0.72,3.95,2.93,42.7,65.3,NA,10,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,42.66,HINDUNILVR,HINDUNILVR,LARGE_CAP,2240.8,4.75,5.04,2.99,39.3,68,NA,9,16,NA,STRONG_BEARISH,WEAK_HOLD
Nifty 50,42.66,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1573.4,1.52,8.71,14.52,39.3,77.6,NA,16,8,NA,BULLISH,WEAK_HOLD
Nifty Infrastructure,41.34,ABB,ABB,LARGE_CAP,7029.5,2.12,6.28,13.05,44.7,79.5,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Infrastructure,41.34,NTPC,NTPC Limited,SMALL_CAP,393.6,0.72,3.95,2.93,42.7,65.3,NA,10,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Infrastructure,41.34,SIEMENS,SIEMENS,LARGE_CAP,3707.9,4.04,15.06,17.73,41.3,80.4,NA,18,7,NA,BULLISH,WEAK_HOLD
Nifty Infrastructure,41.34,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1573.4,1.52,8.71,14.52,39.3,77.6,NA,16,8,NA,BULLISH,WEAK_HOLD
Nifty Infrastructure,41.34,BHEL,BHEL,SMALL_CAP,316.79,2.43,14.28,24.97,38.7,78.1,NA,18,2,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,41.2,TORNTPOWER,TORNTPOWER,LARGE_CAP,1565,2.85,8.23,8.24,48,75.8,NA,14,14,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,41.2,ONGC,Oil and Natural Gas Corporation Limited,SMALL_CAP,284.05,0.46,-1.58,9.06,43.3,67.9,NA,11,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,41.2,NTPC,NTPC Limited,SMALL_CAP,393.6,0.72,3.95,2.93,42.7,65.3,NA,10,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,41.2,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Energy,41.2,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,318.1,1.87,6.71,6.83,34,70.9,NA,11,6,NA,STRONG_BULLISH,SELL
Nifty 200,40.26,TITAN,TITAN,LARGE_CAP,4525.9,1.45,1.94,10.64,48.7,76.3,NA,16,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 200,40.26,HINDUNILVR,HINDUNILVR,LARGE_CAP,2240.8,4.75,5.04,2.99,39.3,68,NA,9,16,NA,STRONG_BEARISH,WEAK_HOLD
Nifty 200,40.26,ADANIPORTS,Adani Ports and Special Economic Zone Limited,LARGE_CAP,1573.4,1.52,8.71,14.52,39.3,77.6,NA,16,8,NA,BULLISH,WEAK_HOLD
Nifty 200,40.26,ADANIPOWER,Adani Power Limited,MICRO_CAP,198.5,2.75,15.19,28.85,38,93.7,NA,16,9,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 200,40.26,NESTLEIND,Nestle India Limited,LARGE_CAP,1285.6,2.24,4.63,5.95,36,72.7,NA,7,18,NA,STRONG_BEARISH,WEAK_HOLD
Nifty 500,40.26,TITAN,TITAN,LARGE_CAP,4525.9,1.45,1.94,10.64,48.7,76.3,NA,16,15,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 500,40.26,HINDUNILVR,HINDUNILVR,LARGE_CAP,2240.8,4.75,5.04,2.99,39.3,68,NA,9,16,NA,STRONG_BEARISH,WEAK_HOLD
