SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,RANK,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,TREND_SIGNAL,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,FUNDAMENTAL_SCORE,ENHANCED_FUND_SCORE,EARNINGS_QUALITY,SALES_GROWTH,FINANCIAL_STRENGTH,INSTITUTIONAL_BACKING,TRADING_VALUE,TRADING_SIGNAL,ANALYSIS_DATE
Defence & Aerospace,64.78,12,212,BELRISE,BELRISE INDUSTRIES LTD,SMALL_CAP,214.1,2.49,3.89,16.52,74,69.4,STRONG_BULLISH,26.22,16,16,15,53.29,50.22,51,57.27,60,1497817232.82,BUY,2026-04-17
Defence & Aerospace,64.78,12,341,ASTRAMICRO,ASTRA MICROWAVE LTD,MICRO_CAP,1093.45,1.74,7.66,15.58,69.3,70.7,BULLISH,12.19,14,8,25,71.97,73.91,94,57.05,50,681781305.55,BUY,2026-04-17
Defence & Aerospace,64.78,12,198,AEROFLEX,AEROFLEX INDUSTRIES LTD,SMALL_CAP,311.23,5.06,7.7,25.61,65.3,76.1,STRONG_BULLISH,75.58,20,12,0,10,10,10,10,10,1657940861.18,BUY,2026-04-17
Defence & Aerospace,64.78,12,136,ASTRAL,ASTRAL LIMITED,MID_CAP,1605,1.67,-1.53,-3.8,58,50.7,BEARISH,9.61,7,8,20,62.97,68.04,60,59.41,59.17,2600092912,HOLD,2026-04-17
Defence & Aerospace,64.78,12,58,COCHINSHIP,COCHIN SHIPYARD LIMITED,MID_CAP,1561.1,4.21,6.59,10.57,57.3,64.4,BEARISH,-5.04,8,14,25,74.88,76.52,94,58.86,60,5523881903.7,HOLD,2026-04-17
Infrastructure,63.08,21,89,ABB,ABB INDIA LIMITED,MID_CAP,7029.5,2.12,2.48,10.92,70.7,73.4,STRONG_BULLISH,26.92,16,9,20,61.29,55.43,73,59.32,60,3915571790.5,BUY,2026-04-17
Infrastructure,63.08,21,448,SPMLINFRA,SPML INFRA LIMITED,MICRO_CAP,210.99,7.44,11.72,23.03,62.7,69.6,BEARISH,24.99,20,12,0,NA,NA,NA,NA,NA,377459967.71,HOLD,2026-04-17
Infrastructure,63.08,21,32,BHEL,BHEL,LARGE_CAP,316.79,2.43,11.27,21.77,61.3,74.9,BULLISH,21.5,18,2,15,53.94,54.13,47,55.45,63,7839830551.35,HOLD,2026-04-17
Infrastructure,63.08,21,48,ADANIENSOL,ADANI ENERGY SOLUTION LTD,LARGE_CAP,1259.8,3.04,8.8,21.52,60.7,76.5,STRONG_BULLISH,41.7,18,12,0,10,10,10,10,10,6171291667.55,HOLD,2026-04-17
Infrastructure,63.08,21,98,NTPCGREEN,NTPC GREEN ENERGY LIMITED,MID_CAP,111.96,2.91,15.22,14.42,60,74.6,BULLISH,30.84,18,10,0,NA,NA,NA,NA,NA,3683131989.64,HOLD,2026-04-17
Energy - Power,62.92,22,112,CGPOWER,CG POWER AND IND SOL LTD,MID_CAP,774.8,2.5,5.98,9.57,69.3,67.2,STRONG_BULLISH,33.57,16,9,15,55.37,53.04,51,57.5,66,3181237792.9,BUY,2026-04-17
Energy - Power,62.92,22,213,TORNTPOWER,TORRENT POWER LTD,SMALL_CAP,1565,2.85,6.33,7.61,62.7,67.4,BULLISH,13.69,14,14,0,NA,NA,NA,NA,NA,1487956912.3,HOLD,2026-04-17
Energy - Power,62.92,22,88,QPOWER,QUALITY POWER ELEC EQUP L,MID_CAP,1206.05,5.98,25.36,46.06,61.3,80.1,STRONG_BULLISH,81.81,20,10,0,NA,NA,NA,NA,NA,3920987241.3,HOLD,2026-04-17
Energy - Power,62.92,22,288,KPIGREEN,KPI GREEN ENERGY LIMITED,SMALL_CAP,448.25,1.67,9.04,16.35,61.3,68.6,BULLISH,14.18,16,11,0,NA,NA,NA,NA,NA,908018863.9,HOLD,2026-04-17
Energy - Power,62.92,22,98,NTPCGREEN,NTPC GREEN ENERGY LIMITED,MID_CAP,111.96,2.91,15.22,14.42,60,74.6,BULLISH,30.84,18,10,0,NA,NA,NA,NA,NA,3683131989.64,HOLD,2026-04-17
Cement & Construction,59.480000000000004,14,525,DALMIASUG,DALMIA BHARAT SUG IN LTD,MICRO_CAP,394.15,4.56,6.18,31.19,76.7,68.8,STRONG_BULLISH,43.82,15,16,20,69.58,73.7,84,58.64,49.17,274301149.8,BUY,2026-04-17
Cement & Construction,59.480000000000004,14,742,BIRLACABLE,BIRLA CABLE LIMITED,MICRO_CAP,160.32,13.19,22.7,21.04,68,70.3,BEARISH,19.23,18,10,15,51.21,50.22,47,56.36,54,108079206.06,BUY,2026-04-17
Cement & Construction,59.480000000000004,14,922,BIRLAMONEY,ADITYA BIRLA MONEY LTD,MICRO_CAP,141.43,1.83,7.34,20.98,59.3,69.3,BEARISH,14.55,18,9,0,10,10,10,10,10,38960315.09,HOLD,2026-04-17
Cement & Construction,59.480000000000004,14,500,ORIENTELEC,ORIENT ELECTRIC LIMITED,MICRO_CAP,179.56,5.64,5.38,5.99,46.7,60.8,BEARISH,0.94,9,12,0,NA,NA,NA,NA,NA,298636834.91,WEAK_HOLD,2026-04-17
Cement & Construction,59.480000000000004,14,695,JSWCEMENT,JSW CEMENT LIMITED,MICRO_CAP,125.88,-0.27,-1.22,6.07,46.7,57.5,BULLISH,11.14,11,8,0,NA,NA,NA,NA,NA,128168174.91,WEAK_HOLD,2026-04-17
Pharma & Healthcare,56.4,17,153,AUROPHARMA,AUROBINDO PHARMA LTD,SMALL_CAP,1386,-0.04,2.71,9.22,64.7,70.1,STRONG_BULLISH,15.67,11,10,20,67.41,70.43,70,59.18,66,2234775090.3,HOLD,2026-04-17
Pharma & Healthcare,56.4,17,242,NATCOPHARM,NATCO PHARMA LTD.,SMALL_CAP,1119.7,3.03,1.4,16.89,60,67.9,STRONG_BULLISH,34.86,16,15,0,NA,NA,NA,NA,NA,1166533158.75,HOLD,2026-04-17
Pharma & Healthcare,56.4,17,134,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,MID_CAP,7699,1.93,2.5,3.05,58.7,59.3,BULLISH,11.52,9,8,15,51.11,51.2,45.83,55.87,53.33,2632645155,HOLD,2026-04-17
