SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
UNIPARTS,UNIPARTS,MICRO_CAP,517.5,1.14,5.25,17.75,55.3,66.5,,18,15,,STRONG_BULLISH,HOLD
APEX,APEX,SMALL_CAP,466.85,8.72,14.54,42.16,54.7,69.7,,20,12,,STRONG_BULLISH,HOLD
NITINSPIN,NITINSPIN,MICRO_CAP,421.45,2.72,9.85,19.17,54.7,74.5,,20,18,,STRONG_BULLISH,HOLD
AVANTIFEED,AVANTIFEED,LARGE_CAP,1473.3,5.83,14.56,21.17,54.0,72.9,,20,14,,STRONG_BULLISH,HOLD
BAJAJCON,BAJAJCON,SMALL_CAP,469.95,9.57,19.63,42.22,52.7,78.9,,20,12,,STRONG_BULLISH,HOLD
GLOBAL,GLOBAL,MICRO_CAP,101.53,4.24,3.16,3.78,52.7,62.2,,16,13,,STRONG_BULLISH,HOLD
CENTUM,CENTUM,MID_CAP,3084.8,1.29,12.39,14.07,52.7,65.6,,20,9,,STRONG_BULLISH,HOLD
AEROFLEX,AEROFLEX,SMALL_CAP,311.23,5.06,13.4,26.05,52.7,78.2,,20,12,,STRONG_BULLISH,HOLD
FLAIR,FLAIR,MICRO_CAP,334.0,2.36,9.53,12.1,52.0,77.6,,18,16,,STRONG_BULLISH,HOLD
SOUTHWEST,SOUTHWEST,SMALL_CAP,256.24,3.41,11.53,39.66,51.3,82.8,,20,14,,STRONG_BULLISH,HOLD
AXISCADES,AXISCADES,MID_CAP,1885.5,4.9,10.08,42.99,51.3,82.2,,20,14,,STRONG_BULLISH,HOLD
MBAPL,MBAPL,MID_CAP,509.55,-7.04,-5.66,13.41,51.3,64.7,,20,8,,STRONG_BULLISH,HOLD
ARVIND,ARVIND,SMALL_CAP,386.75,0.42,1.05,10.3,51.3,66.4,,14,13,,STRONG_BULLISH,HOLD
NAM-INDIA,NAM-INDIA,LARGE_CAP,1015.05,5.2,11.71,22.18,51.3,67.8,,18,12,,STRONG_BULLISH,HOLD
PRIVISCL,PRIVISCL,LARGE_CAP,3133.1,6.42,7.45,10.96,50.7,69.6,,16,14,,STRONG_BULLISH,HOLD
ZENTEC,ZENTEC,LARGE_CAP,1616.5,6.05,5.43,14.12,50.7,73.7,,18,14,,STRONG_BULLISH,HOLD
RELIABLE,RELIABLE,MICRO_CAP,132.82,3.68,13.03,18.6,50.0,61.3,,18,12,,STRONG_BULLISH,HOLD
GULPOLY,GULPOLY,MICRO_CAP,181.12,6.47,5.22,17.45,49.3,81.9,,18,16,,STRONG_BULLISH,WEAK_HOLD
APARINDS,APARINDS,LARGE_CAP,11482.0,1.91,6.64,25.91,49.3,71.7,,18,9,,STRONG_BULLISH,WEAK_HOLD
CARBORUNIV,CARBORUNIV,MID_CAP,940.1,6.02,9.92,23.93,49.3,78.7,,18,16,,BULLISH,WEAK_HOLD
MANGLMCEM,MANGLMCEM,MICRO_CAP,918.1,1.89,5.69,15.8,49.3,68.3,,16,13,,STRONG_BULLISH,WEAK_HOLD
