"RANK","SYMBOL","COMPANY_NAME","MARKET_CAP_CATEGORY","CURRENT_PRICE","CHANGE_1D","CHANGE_1W","CHANGE_1M","TECHNICAL_SCORE","RSI","TREND_SIGNAL","RELATIVE_STRENGTH","CAN_SLIM_SCORE","MINERVINI_SCORE","FUNDAMENTAL_SCORE","ENHANCED_FUND_SCORE","EARNINGS_QUALITY","SALES_GROWTH","FINANCIAL_STRENGTH","INSTITUTIONAL_BACKING","TRADING_VALUE","TRADING_SIGNAL","ANALYSIS_DATE"
17,"COALINDIA","COAL INDIA LTD","LARGE_CAP",467,3.2,5.38,3.67,79.3,62.8,"BULLISH",12.53,12,16,25,71.16,75.65,82,61.36,54.17,12522088355.65,"BUY",2026-04-28
34,"CHENNPETRO","CHENNAI PETROLEUM CORP LT","LARGE_CAP",1072.3,7.5,4.89,10.85,79.3,58.5,"STRONG_BULLISH",20.87,16,14,20,68.3,71.74,82,58.64,49.17,6836512446.1,"BUY",2026-04-28
22,"ATGL","ADANI TOTAL GAS LIMITED","LARGE_CAP",653.85,2.87,6.38,28.22,77.3,69.5,"BULLISH",24.53,20,16,15,52.51,50.22,47,56.14,63,10462136967.35,"BUY",2026-04-28
8,"COHANCE","COHANCE LIFESCIENCES LTD","LARGE_CAP",493.3,14.16,36.57,63.64,73.3,80.2,"BULLISH",43.69,20,12,20,60.05,57.61,67,60.68,54.17,20122098565.9,"BUY",2026-04-28
351,"BHAGYANGR","BHAGYANAGAR INDIA LIMITED","MICRO_CAP",278.67,11.8,29.78,102.36,72.7,88.1,"BULLISH",124.89,20,14,20,61.78,56.3,81,58.18,49.17,559316335.75,"BUY",2026-04-28
15,"BSE","BSE LIMITED","LARGE_CAP",3626.1,2.59,3.14,35.13,72,72.3,"STRONG_BULLISH",18.4,13,14,20,61.34,64.35,60,57.05,61.25,13637981749.4,"BUY",2026-04-28
355,"ASTERDM","ASTER DM HEALTHCARE LTD.","MICRO_CAP",705.3,-2.01,3.76,5.27,70.7,60.1,"STRONG_BULLISH",26.53,14,8,20,60.89,64.13,56,56.68,66,545402855.05,"BUY",2026-04-28
616,"AVL","ADITYA VISION LIMITED","MICRO_CAP",542.7,4.89,6.85,13.51,70.7,70.2,"BULLISH",9,9,18,25,73.11,74.35,86,59.86,66,150854314.55,"BUY",2026-04-28
100,"CROMPTON","CROMPT GREA CON ELEC LTD","MID_CAP",269.63,4.23,4.25,20.59,70,63.3,"BEARISH",7.21,13,18,15,57.18,56.52,61,56.59,53.33,3054201726.31,"BUY",2026-04-28
56,"BBOX","BLACK BOX LIMITED","MID_CAP",639.85,10.39,20.86,43.1,69.3,77.6,"BEARISH",16.74,18,12,15,59.11,60.65,65,56.14,49.17,5092324897.65,"BUY",2026-04-28
84,"GLENMARK","GLENMARK PHARMACEUTICALS","MID_CAP",2403.7,3.38,7.64,12.76,69.3,71.1,"STRONG_BULLISH",26.92,20,18,0,NA,NA,NA,NA,NA,3691162502.9,"BUY",2026-04-28
71,"NAM-INDIA","NIPPON L I A M LTD","MID_CAP",1023.25,3.39,-3.04,27.64,68.7,60.3,"STRONG_BULLISH",16.49,18,16,0,NA,NA,NA,NA,NA,4313277826.75,"BUY",2026-04-28
123,"GPIL","GODAWARI POW & ISP LTD","MID_CAP",305,2.54,3.23,13.47,68.7,63.5,"STRONG_BULLISH",21.37,16,18,0,NA,NA,NA,NA,NA,2518649576.6,"BUY",2026-04-28
317,"YATHARTH","YATHARTH HOSP & TRA C S L","MICRO_CAP",780.6,4,4.69,26.48,68.7,63,"STRONG_BULLISH",19.54,18,16,0,NA,NA,NA,NA,NA,669575038.1,"BUY",2026-04-28
337,"BAJAJCON","BAJAJ CONSUMER CARE LTD","MICRO_CAP",465.95,3.93,1.54,33.93,68.7,65.1,"STRONG_BULLISH",25.82,15,14,20,61.4,60.24,65,60.25,60,613197261.4,"BUY",2026-04-28
462,"ASKAUTOLTD","ASK AUTOMOTIVE LIMITED","MICRO_CAP",449,3.09,2.48,0.96,68.7,59.9,"BULLISH",4.09,7,14,25,71.28,74.57,82,59.77,60,287172984.8,"BUY",2026-04-28
