"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"COALINDIA",467,-3.77,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,79.3,"LARGE_CAP"
"CHENNPETRO",1072.3,-19.09,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,79.3,"LARGE_CAP"
"ATGL",653.85,-17.07,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,77.3,"LARGE_CAP"
"COHANCE",493.3,-21.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,73.3,"LARGE_CAP"
"BHAGYANGR",278.67,-118.08,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,72.7,"MICRO_CAP"
"BSE",3626.1,-20.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,72,"LARGE_CAP"
"ASTERDM",705.3,-20.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"AVL",542.7,-7.98,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70.7,"MICRO_CAP"
"CROMPTON",269.63,-14.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,70,"MID_CAP"
"BBOX",639.85,-22.97,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,69.3,"MID_CAP"
"GLENMARK",2403.7,-15.01,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,69.3,"MID_CAP"
"NAM-INDIA",1023.25,-16.46,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,68.7,"MID_CAP"
"GPIL",305,-13.55,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,68.7,"MID_CAP"
"YATHARTH",780.6,-29.96,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68.7,"MICRO_CAP"
"BAJAJCON",465.95,-32.49,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,68.7,"MICRO_CAP"
"ASKAUTOLTD",449,-3.73,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,68.7,"MICRO_CAP"
"LINCOLN",646.35,-32.04,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"ALIVUS",1007.65,-5.86,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,67.3,"MICRO_CAP"
"DBL",474.05,-1.77,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,67.3,"MICRO_CAP"
"KTKBANK",263.63,-32.01,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,66.7,"SMALL_CAP"
"ASIANENE",316.9,-16.96,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,66.7,"MICRO_CAP"
"JAINREC",447.5,-10.17,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"MID_CAP"
"WHEELS",1064.25,-32.4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,66,"MICRO_CAP"
"ASTRAMICRO",1096.3,-10.2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
"SOLEX",1358.8,-25.7,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
"COSMOFIRST",719.6,-15.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"MICRO_CAP"
"RKFORGE",602.3,-12.76,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,65.3,"MID_CAP"
"IMFA",1631.9,-24.74,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,65.3,"SMALL_CAP"
"PTC",205.71,-12.97,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,65.3,"SMALL_CAP"
"SKYGOLD",436.45,-28.57,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65.3,"MICRO_CAP"
"STEELCAS",309.83,-40.71,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,65.3,"MICRO_CAP"
"ATHERENERG",931.15,-38.88,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"RRKABEL",1609,-14.12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"OLECTRA",1286,-13.24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"ABB",7288,-32.46,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"MID_CAP"
"AUROPHARMA",1422.6,-18.09,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64.7,"SMALL_CAP"
"GENUSPOWER",311.76,-11.22,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,64.7,"MICRO_CAP"
"ONGC",301.3,-8.88,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,64,"LARGE_CAP"
"AUBANK",1022.8,-4.58,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,64,"LARGE_CAP"
"AMBER",8200,-33.59,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"MID_CAP"
"AVANTIFEED",1414.6,-58.21,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"SMALL_CAP"
"ANANDRATHI",3579.1,-17.72,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"EBGNG",413.8,-46.64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"JINDALSAW",240.28,-23.93,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,63.3,"MID_CAP"
"BANDHANBNK",178.65,-12.03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,63.3,"SMALL_CAP"
"ASHAPURMIN",648.1,0.48,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,63.3,"SMALL_CAP"
"BLISSGVS",269.26,-44.15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,63.3,"MICRO_CAP"
"ORIENTBELL",320.7,-9.91,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,63.3,"MICRO_CAP"
"VEDL",739.3,-0.22,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"LARGE_CAP"
"GMDCLTD",714.4,-20.34,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,62.7,"LARGE_CAP"
"VSSL",293.29,-11.98,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,62.7,"SMALL_CAP"
"BDL",1396.7,8.05,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"SMALL_CAP"
"UNIMECH",1110.3,-23.37,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"DEEDEV",402.8,-83.63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"PLASTIBLEN",181.02,-14.6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,62.7,"MICRO_CAP"
"POLYPLEX",944.5,-8.41,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"MODISONLTD",170.54,-8.59,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
