MKT,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,IND_SEC,CORP_IND,TRADES,HI_52_WK,LO_52_WK
Y, , ,Nifty 50,     24500.90,     24466.70,     24572.45,     24404.70,     24426.85,909368136907.53,3941255818,Y, ,31233434,     26277.35,     21743.65
Y, , ,NIFTY50 EQL Wgt,     31133.45,     31122.70,     31242.60,     31034.85,     31096.10,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 EQL Wgt,     32100.05,     32108.45,     32237.65,     31947.15,     32034.85,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 LowVol30,     20218.95,     20211.65,     20329.15,     20189.50,     20248.80,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY Alpha 50,     49460.90,     49461.55,     49596.60,     48996.15,     49066.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY MIDCAP 150,     20864.75,     20860.55,     20949.45,     20726.90,     20750.30,0,0,Y, ,0,     22515.40,     17269.50
Y, , ,NIFTY SMLCAP 50,      8297.55,      8299.05,      8341.70,      8254.65,      8261.55,0,0,Y, ,0,      9505.50,      6776.05
Y, , ,NIFTY SMLCAP 250,     16559.65,     16568.10,     16662.30,     16487.70,     16506.15,0,0,Y, ,0,     18688.30,     13314.70
Y, , ,NIFTY MIDSML 400,     19322.90,     19323.85,     19415.00,     19212.15,     19232.30,0,0,Y, ,0,     21177.60,     15832.85
Y, , ,NIFTY200 QUALTY30,     20341.75,     20328.90,     20492.50,     20319.30,     20377.05,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty FinSrv25 50,     27562.10,     27518.60,     27682.00,     27446.85,     27476.35,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY AlphaLowVol,     26105.60,     26078.85,     26239.20,     26064.75,     26119.40,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty200Momentm30,     29752.70,     29709.30,     29890.80,     29598.35,     29637.30,0,0,Y, ,0,          .00,          .00
Y, , ,Nifty100ESGSecLdr,      4129.10,      4122.45,      4137.65,      4105.05,      4109.25,0,0,Y, ,0,          .00,          .00
Y, , ,NIFTY100 ESG,      4859.15,      4855.65,      4868.35,      4833.80,      4839.60,0,0,Y, ,0,          .00,          .00
