INDEX_NAME,CATEGORY,API_SYMBOL,constituent_count,mapping_status,included_in_dashboard
INDIA VIX,Broad market,INDIA VIX,0,Missing,False
NIFTY 100,Broad market,NIFTY 100,100,Available,False
NIFTY 200,Broad market,NIFTY 200,200,Available,False
NIFTY 500,Broad market,NIFTY 500,501,Available,True
NIFTY INDIA FPI 150,Broad market,NIFTY FPI 150,0,Missing,False
NIFTY LARGEMIDCAP 250,Broad market,NIFTY LARGEMID250,250,Available,False
NIFTY MICROCAP 250,Broad market,NIFTY MICROCAP250,250,Available,False
NIFTY MIDCAP 100,Broad market,NIFTY MIDCAP 100,100,Available,False
NIFTY MIDCAP 150,Broad market,NIFTY MIDCAP 150,150,Available,True
NIFTY MIDCAP 50,Broad market,NIFTY MIDCAP 50,50,Available,False
NIFTY MIDSMALLCAP 400,Broad market,NIFTY MIDSML 400,0,Missing,False
NIFTY SMALLCAP 100,Broad market,NIFTY SMLCAP 100,0,Missing,False
NIFTY SMALLCAP 250,Broad market,NIFTY SMLCAP 250,250,Inferred,True
NIFTY SMALLCAP 50,Broad market,NIFTY SMLCAP 50,0,Missing,False
NIFTY TOTAL MARKET,Broad market,NIFTY TOTAL MKT,0,Missing,False
NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,Broad market,NIFTY500 LMS EQL,0,Missing,False
NIFTY500 MULTICAP 50:25:25,Broad market,NIFTY500 MULTICAP,0,Missing,False
NIFTY 10 YR BENCHMARK G-SEC,Fixed income,NIFTY GS 10YR,0,Missing,False
NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE),Fixed income,NIFTY GS 10YR CLN,0,Missing,False
NIFTY 11-15 YR G-SEC INDEX,Fixed income,NIFTY GS 11 15YR,0,Missing,False
NIFTY 15 YR AND ABOVE G-SEC INDEX,Fixed income,NIFTY GS 15YRPLUS,0,Missing,False
NIFTY 4-8 YR G-SEC INDEX,Fixed income,NIFTY GS 4 8YR,0,Missing,False
NIFTY 8-13 YR G-SEC,Fixed income,NIFTY GS 8 13YR,0,Missing,False
NIFTY BHARAT BOND INDEX - APRIL 2030,Fixed income,BHARATBOND-APR30,0,Missing,False
NIFTY BHARAT BOND INDEX - APRIL 2031,Fixed income,BHARATBOND-APR31,0,Missing,False
NIFTY BHARAT BOND INDEX - APRIL 2032,Fixed income,BHARATBOND-APR32,0,Missing,False
NIFTY BHARAT BOND INDEX - APRIL 2033,Fixed income,BHARATBOND-APR33,0,Missing,False
NIFTY COMPOSITE G-SEC INDEX,Fixed income,NIFTY GS COMPSITE,0,Missing,False
NIFTY 50,Listed for derivatives,NIFTY 50,51,Available,True
NIFTY BANK,Listed for derivatives,NIFTY BANK,12,Available,True
NIFTY FINANCIAL SERVICES,Listed for derivatives,NIFTY FIN SERVICE,20,Available,False
NIFTY MIDCAP SELECT,Listed for derivatives,NIFTY MID SELECT,25,Available,False
NIFTY NEXT 50,Listed for derivatives,NIFTY NEXT 50,50,Available,True
NIFTY AUTO,Sectoral,NIFTY AUTO,18,Available,True
NIFTY CHEMICALS,Sectoral,NIFTY CHEMICALS,20,Available,False
NIFTY CONSUMER DURABLES,Sectoral,NIFTY CONSR DURBL,15,Available,False
NIFTY FINANCIAL SERVICES 25/50,Sectoral,NIFTY FINSRV25 50,20,Available,False
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,NIFTY FINSEREXBNK,30,Available,False
NIFTY FMCG,Sectoral,NIFTY FMCG,15,Available,True
NIFTY HEALTHCARE INDEX,Sectoral,NIFTY HEALTHCARE,20,Available,False
NIFTY IT,Sectoral,NIFTY IT,10,Available,True
NIFTY MEDIA,Sectoral,NIFTY MEDIA,10,Available,False
NIFTY METAL,Sectoral,NIFTY METAL,16,Available,True
NIFTY MIDSMALL FINANCIAL SERVICES,Sectoral,NIFTY MS FIN SERV,0,Missing,False
NIFTY MIDSMALL HEALTHCARE,Sectoral,NIFTY MIDSML HLTH,30,Available,False
NIFTY MIDSMALL IT & TELECOM,Sectoral,NIFTY MS IT TELCM,0,Missing,False
NIFTY OIL & GAS,Sectoral,NIFTY OIL AND GAS,15,Available,False
NIFTY PHARMA,Sectoral,NIFTY PHARMA,21,Available,True
NIFTY PRIVATE BANK,Sectoral,NIFTY PVT BANK,10,Available,False
NIFTY PSU BANK,Sectoral,NIFTY PSU BANK,12,Available,False
NIFTY REALTY,Sectoral,NIFTY REALTY,10,Available,False
NIFTY500 HEALTHCARE,Sectoral,NIFTY500 HEALTH,50,Available,False
NIFTY ALPHA 50,Strategy / factor,NIFTY ALPHA 50,0,Missing,False
NIFTY ALPHA LOW-VOLATILITY 30,Strategy / factor,NIFTY ALPHALOWVOL,0,Missing,False
NIFTY ALPHA QUALITY LOW-VOLATILITY 30,Strategy / factor,NIFTY AQL 30,0,Missing,False
NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30,Strategy / factor,NIFTY AQLV 30,0,Missing,False
NIFTY DIVIDEND OPPORTUNITIES 50,Strategy / factor,NIFTY DIV OPPS 50,0,Missing,False
NIFTY GROWTH SECTORS 15,Strategy / factor,NIFTY GROWSECT 15,0,Missing,False
NIFTY HIGH BETA 50,Strategy / factor,NIFTY HIGHBETA 50,0,Missing,False
NIFTY LOW VOLATILITY 50,Strategy / factor,NIFTY LOW VOL 50,0,Missing,False
NIFTY MIDCAP150 MOMENTUM 50,Strategy / factor,NIFTYM150MOMNTM50,0,Missing,False
NIFTY MIDCAP150 QUALITY 50,Strategy / factor,NIFTY M150 QLTY50,0,Missing,False
NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,Strategy / factor,NIFTYMS400 MQ 100,0,Missing,False
NIFTY QUALITY LOW-VOLATILITY 30,Strategy / factor,NIFTY QLTY LV 30,0,Missing,False
NIFTY SMALLCAP250 MOMENTUM QUALITY 100,Strategy / factor,NIFTYSML250MQ 100,0,Missing,False
NIFTY SMALLCAP250 QUALITY 50,Strategy / factor,NIFTY SML250 Q50,0,Missing,False
NIFTY TOP 10 EQUAL WEIGHT,Strategy / factor,NIFTY TOP 10 EW,0,Missing,False
NIFTY TOP 15 EQUAL WEIGHT,Strategy / factor,NIFTY TOP 15 EW,0,Missing,False
NIFTY TOP 20 EQUAL WEIGHT,Strategy / factor,NIFTY TOP 20 EW,0,Missing,False
NIFTY TOTAL MARKET MOMENTUM QUALITY 50,Strategy / factor,NIFTY TMMQ 50,0,Missing,False
