INDEX_NAME,constituents,pct_above_200dma,pct_above_50dma,pct_near_52wh,pct_near_52wl,ad_ratio,advances,declines,breadth_signal
NIFTY PHARMA,21,61.9,76.19,28.57,4.76,0.4,6,15,HEALTHY
NIFTY METAL,16,100.0,93.75,62.5,0.0,1.67,10,6,NEUTRAL
NIFTY BANK,12,50.0,25.0,8.33,0.0,0.09,1,11,NEUTRAL
NIFTY NEXT 50,50,46.0,64.0,14.0,0.0,0.47,16,34,NEUTRAL
NIFTY AUTO,18,44.44,50.0,11.11,0.0,0.5,6,12,WEAK
NIFTY MIDCAP 150,150,43.33,67.33,15.33,2.0,0.71,62,87,WEAK
NIFTY 50,51,43.14,54.9,21.57,5.88,0.59,19,32,WEAK
NIFTY 500,501,41.12,71.46,14.77,1.6,0.61,190,310,WEAK
NIFTY SMALLCAP 250,250,38.4,78.8,13.2,0.8,0.6,94,156,WEAK
NIFTY FMCG,15,33.33,60.0,6.67,6.67,0.36,4,11,WEAK
NIFTY IT,10,10.0,30.0,10.0,30.0,0.43,3,7,BEARISH
