INDEX_NAME,CATEGORY,rank,SYMBOL,CLOSE,investment_score,above_50dma,above_200dma,dist_from_52w_high_pct,recovery_from_52w_low_pct,RET_1D,TOTTRDQTY
NIFTY AUTO,Sectoral,1,SONACOMS,598.8,91.17,True,True,-0.86,57.58,1.72,3382848.0
NIFTY AUTO,Sectoral,2,BHARATFORG,1894.8,90.8,True,True,-2.1,106.16,-0.33,546155.0
NIFTY AUTO,Sectoral,3,MOTHERSON,125.22,85.28,True,True,-22.82,39.6,-2.12,15569483.0
NIFTY AUTO,Sectoral,4,TIINDIA,3001.0,81.24,True,True,-12.25,38.62,0.22,275588.0
NIFTY AUTO,Sectoral,5,BOSCHLTD,37320.0,80.93,True,True,-11.03,43.97,0.26,21761.0
NIFTY FINANCIAL SERVICES 25/50,Sectoral,1,PFC,481.4,89.85,True,True,-1.05,43.77,1.37,10746434.0
NIFTY FINANCIAL SERVICES 25/50,Sectoral,2,RECLTD,375.8,84.34,True,True,-16.12,23.6,-0.6,10991705.0
NIFTY FINANCIAL SERVICES 25/50,Sectoral,3,MUTHOOTFIN,3496.0,82.67,True,True,-15.75,77.91,0.06,333653.0
NIFTY FINANCIAL SERVICES 25/50,Sectoral,4,BSE,3626.1,80.17,True,True,-52.21,78.18,2.59,3792795.0
NIFTY FINANCIAL SERVICES 25/50,Sectoral,5,SBIN,1091.3,66.2,False,True,-11.61,49.49,-1.85,10727835.0
NIFTY FMCG,Sectoral,1,VBL,518.55,89.32,True,True,-8.79,36.1,-0.06,14074482.0
NIFTY FMCG,Sectoral,2,RADICO,3399.2,87.81,True,True,-5.36,54.51,2.53,627277.0
NIFTY FMCG,Sectoral,3,TATACONSUM,1147.7,85.52,True,True,-6.0,17.71,-1.1,1646292.0
NIFTY FMCG,Sectoral,4,MARICO,780.85,83.82,True,True,-4.01,21.82,-0.78,669237.0
NIFTY FMCG,Sectoral,5,UNITDSPR,1374.4,78.94,True,True,-16.45,13.51,-1.24,582625.0
NIFTY IT,Sectoral,1,OFSS,9570.0,86.21,True,True,-3.82,53.5,2.24,591393.0
NIFTY IT,Sectoral,2,WIPRO,201.58,47.26,True,False,-26.03,8.09,-1.69,23455983.0
NIFTY IT,Sectoral,3,MPHASIS,2270.3,40.85,True,False,-25.25,12.78,0.24,299847.0
NIFTY IT,Sectoral,4,TECHM,1408.1,25.76,False,False,-24.05,16.43,0.86,2009200.0
NIFTY IT,Sectoral,5,INFY,1152.1,24.08,False,False,-33.33,0.2,-1.56,12720276.0
NIFTY MEDIA,Sectoral,1,PFOCUS,309.8,88.07,True,True,-15.59,264.47,-2.62,648173.0
NIFTY MEDIA,Sectoral,2,PVRINOX,1051.75,84.62,True,True,-15.84,26.72,3.22,853039.0
NIFTY MEDIA,Sectoral,3,TIPSMUSIC,658.85,81.94,True,True,-8.24,36.93,-3.22,449356.0
NIFTY MEDIA,Sectoral,4,SUNTV,595.05,58.8,False,True,-13.94,23.92,-2.61,308579.0
NIFTY MEDIA,Sectoral,5,ZEEL,92.96,49.26,True,False,-38.72,36.71,1.67,16800160.0
NIFTY METAL,Sectoral,1,VEDL,739.3,95.88,True,True,-7.01,103.66,-0.43,37978285.0
NIFTY METAL,Sectoral,2,NATIONALUM,441.5,94.27,True,True,-0.82,220.51,0.11,8617924.0
NIFTY METAL,Sectoral,3,TATASTEEL,215.05,94.16,True,True,-1.46,71.63,0.83,34950491.0
NIFTY METAL,Sectoral,4,HINDALCO,1074.3,93.9,True,True,-0.5,96.6,1.18,7798496.0
NIFTY METAL,Sectoral,5,SAIL,185.63,93.38,True,True,-1.84,83.56,0.78,26454300.0
NIFTY PHARMA,Sectoral,1,GLENMARK,2403.7,94.13,True,True,-0.98,79.92,3.38,1537658.0
NIFTY PHARMA,Sectoral,2,LAURUSLABS,1090.45,93.17,True,True,-4.75,110.65,-2.95,2044775.0
NIFTY PHARMA,Sectoral,3,DRREDDY,1354.6,89.74,True,True,-1.82,32.8,1.51,2336352.0
NIFTY PHARMA,Sectoral,4,SUNPHARMA,1747.3,88.0,True,True,-5.61,12.28,0.8,16599167.0
NIFTY PHARMA,Sectoral,5,AUROPHARMA,1422.6,87.0,True,True,-2.53,40.85,0.42,847634.0
NIFTY PSU BANK,Sectoral,1,MAHABANK,77.74,92.84,True,True,-5.37,85.1,-2.52,24357922.0
NIFTY PSU BANK,Sectoral,2,CANBK,137.1,67.83,False,True,-15.83,63.8,-2.43,22276591.0
NIFTY PSU BANK,Sectoral,3,UNIONBANK,170.48,67.65,False,True,-17.04,51.51,-3.19,37573622.0
NIFTY PSU BANK,Sectoral,4,SBIN,1091.3,64.2,False,True,-11.61,49.49,-1.85,10727835.0
NIFTY PSU BANK,Sectoral,5,BANKINDIA,144.25,63.24,False,True,-19.12,40.05,-2.21,15483742.0
NIFTY PRIVATE BANK,Sectoral,1,RBLBANK,320.75,93.13,True,True,-5.77,95.09,2.54,13444619.0
NIFTY PRIVATE BANK,Sectoral,2,FEDERALBNK,290.6,84.03,True,True,-3.77,58.67,-1.17,6666139.0
NIFTY PRIVATE BANK,Sectoral,3,BANDHANBNK,178.65,81.48,True,True,-7.19,33.07,-1.77,8518404.0
NIFTY PRIVATE BANK,Sectoral,4,INDUSINDBK,885.55,79.87,True,True,-8.6,39.02,-1.62,5748485.0
NIFTY PRIVATE BANK,Sectoral,5,AXISBANK,1289.0,60.83,False,True,-9.12,24.86,-2.66,9939787.0
NIFTY REALTY,Sectoral,1,PHOENIXLTD,1761.9,83.69,True,True,-11.6,25.63,-2.1,1269718.0
NIFTY REALTY,Sectoral,2,OBEROIRLTY,1710.3,80.48,True,True,-14.7,22.94,-0.75,442797.0
NIFTY REALTY,Sectoral,3,DLF,587.9,46.39,True,False,-33.71,20.13,-0.77,2274236.0
NIFTY REALTY,Sectoral,4,PRESTIGE,1402.6,46.26,True,False,-22.68,33.83,-0.18,453603.0
NIFTY REALTY,Sectoral,5,GODREJPROP,1824.6,45.68,True,False,-27.21,27.24,-0.2,558117.0
NIFTY HEALTHCARE INDEX,Sectoral,1,GLENMARK,2403.7,93.99,True,True,-0.98,79.92,3.38,1537658.0
NIFTY HEALTHCARE INDEX,Sectoral,2,LAURUSLABS,1090.45,93.08,True,True,-4.75,110.65,-2.95,2044775.0
NIFTY HEALTHCARE INDEX,Sectoral,3,DRREDDY,1354.6,89.67,True,True,-1.82,32.8,1.51,2336352.0
NIFTY HEALTHCARE INDEX,Sectoral,4,SUNPHARMA,1747.3,88.0,True,True,-5.61,12.28,0.8,16599167.0
NIFTY HEALTHCARE INDEX,Sectoral,5,FORTIS,951.55,86.59,True,True,-13.83,59.71,-0.24,1264450.0
NIFTY CONSUMER DURABLES,Sectoral,1,TITAN,4417.0,87.05,True,True,-3.01,51.01,-0.56,620778.0
NIFTY CONSUMER DURABLES,Sectoral,2,VOLTAS,1511.1,86.53,True,True,-4.51,27.33,-0.26,1090853.0
NIFTY CONSUMER DURABLES,Sectoral,3,AMBER,8200.0,86.24,True,True,-4.94,51.84,1.09,426906.0
NIFTY CONSUMER DURABLES,Sectoral,4,KAJARIACER,1212.0,84.16,True,True,-8.31,59.75,-1.96,417157.0
NIFTY CONSUMER DURABLES,Sectoral,5,BLUESTARCO,1891.6,81.49,True,True,-15.36,30.46,-1.29,575101.0
NIFTY OIL & GAS,Sectoral,1,ONGC,301.3,94.62,True,True,-0.36,46.98,5.39,51575179.0
NIFTY OIL & GAS,Sectoral,2,OIL,497.2,90.65,True,True,-5.11,52.98,4.41,10897762.0
NIFTY OIL & GAS,Sectoral,3,ATGL,653.85,88.12,True,True,-18.06,41.28,2.87,15861517.0
NIFTY OIL & GAS,Sectoral,4,RELIANCE,1388.9,52.37,True,False,-13.83,24.58,1.69,41027699.0
NIFTY OIL & GAS,Sectoral,5,GAIL,165.68,47.15,True,False,-18.3,23.31,-0.04,6106987.0
NIFTY MIDSMALL HEALTHCARE,Sectoral,1,GLENMARK,2403.7,95.65,True,True,-0.98,79.92,3.38,1537658.0
NIFTY MIDSMALL HEALTHCARE,Sectoral,2,LAURUSLABS,1090.45,94.08,True,True,-4.75,110.65,-2.95,2044775.0
NIFTY MIDSMALL HEALTHCARE,Sectoral,3,GRANULES,705.15,92.48,True,True,-0.68,67.1,1.48,960558.0
NIFTY MIDSMALL HEALTHCARE,Sectoral,4,FORTIS,951.55,88.92,True,True,-13.83,59.71,-0.24,1264450.0
NIFTY MIDSMALL HEALTHCARE,Sectoral,5,AUROPHARMA,1422.6,88.62,True,True,-2.53,40.85,0.42,847634.0
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,1,LTF,285.78,91.83,True,True,-13.26,104.13,-0.7,5658687.0
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,2,ABCAPITAL,338.3,91.83,True,True,-8.39,99.67,-1.24,4701866.0
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,3,PFC,481.4,91.02,True,True,-1.05,43.77,1.37,10746434.0
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,4,RECLTD,375.8,85.34,True,True,-16.12,23.6,-0.6,10991705.0
NIFTY FINANCIAL SERVICES EX-BANK,Sectoral,5,MUTHOOTFIN,3496.0,82.51,True,True,-15.75,77.91,0.06,333653.0
NIFTY CHEMICALS,Sectoral,1,AARTIIND,501.7,92.48,True,True,-0.93,48.41,2.65,2532481.0
NIFTY CHEMICALS,Sectoral,2,HSCL,571.4,91.59,True,True,-5.55,56.4,0.13,9311132.0
NIFTY CHEMICALS,Sectoral,3,NAVINFLUOR,6627.0,89.45,True,True,-4.85,80.54,0.74,247608.0
NIFTY CHEMICALS,Sectoral,4,SOLARINDS,15304.0,83.3,True,True,-14.12,54.77,0.29,103827.0
NIFTY CHEMICALS,Sectoral,5,ATUL,6855.0,83.19,True,True,-11.98,44.26,2.31,72001.0
NIFTY500 HEALTHCARE,Sectoral,1,GLENMARK,2403.7,95.59,True,True,-0.98,79.92,3.38,1537658.0
NIFTY500 HEALTHCARE,Sectoral,2,LAURUSLABS,1090.45,94.08,True,True,-4.75,110.65,-2.95,2044775.0
NIFTY500 HEALTHCARE,Sectoral,3,GRANULES,705.15,92.41,True,True,-0.68,67.1,1.48,960558.0
NIFTY500 HEALTHCARE,Sectoral,4,DRREDDY,1354.6,90.37,True,True,-1.82,32.8,1.51,2336352.0
NIFTY500 HEALTHCARE,Sectoral,5,EMCURE,1608.2,89.13,True,True,-4.73,80.9,-1.82,294052.0
NIFTY COMMODITIES,Thematic,1,VEDL,739.3,94.88,True,True,-7.01,103.66,-0.43,37978285.0
NIFTY COMMODITIES,Thematic,2,ONGC,301.3,94.62,True,True,-0.36,46.98,5.39,51575179.0
NIFTY COMMODITIES,Thematic,3,HINDALCO,1074.3,93.65,True,True,-0.5,96.6,1.18,7798496.0
NIFTY COMMODITIES,Thematic,4,TATASTEEL,215.05,93.45,True,True,-1.46,71.63,0.83,34950491.0
NIFTY COMMODITIES,Thematic,5,NMDC,90.9,91.16,True,True,-1.05,52.7,0.53,29317759.0
NIFTY INDIA CONSUMPTION,Thematic,1,TATAPOWER,461.8,91.43,True,True,-0.67,37.85,1.9,16158141.0
NIFTY INDIA CONSUMPTION,Thematic,2,VBL,518.55,88.32,True,True,-8.79,36.1,-0.06,14074482.0
NIFTY INDIA CONSUMPTION,Thematic,3,TITAN,4417.0,84.72,True,True,-3.01,51.01,-0.56,620778.0
NIFTY INDIA CONSUMPTION,Thematic,4,TATACONSUM,1147.7,84.19,True,True,-6.0,17.71,-1.1,1646292.0
NIFTY INDIA CONSUMPTION,Thematic,5,DMART,4544.4,80.57,True,True,-8.18,26.23,0.83,447096.0
NIFTY CPSE,Thematic,1,ONGC,301.3,94.62,True,True,-0.36,46.98,5.39,51575179.0
NIFTY CPSE,Thematic,2,OIL,497.2,91.25,True,True,-5.11,52.98,4.41,10897762.0
NIFTY CPSE,Thematic,3,COALINDIA,467.0,90.02,True,True,-1.89,31.18,3.2,26732373.0
NIFTY CPSE,Thematic,4,NHPC,85.38,88.3,True,True,-7.54,19.21,2.58,29008047.0
NIFTY CPSE,Thematic,5,NLCINDIA,318.15,85.43,True,True,-2.14,49.47,1.37,7443872.0
NIFTY ENERGY,Thematic,1,BHEL,354.71,94.14,True,True,-0.36,83.31,1.76,14893265.0
NIFTY ENERGY,Thematic,2,ONGC,301.3,94.12,True,True,-0.36,46.98,5.39,51575179.0
NIFTY ENERGY,Thematic,3,OIL,497.2,90.73,True,True,-5.11,52.98,4.41,10897762.0
NIFTY ENERGY,Thematic,4,ADANIENSOL,1435.45,90.12,True,True,-1.93,92.7,-0.02,3082735.0
NIFTY ENERGY,Thematic,5,TATAPOWER,461.8,90.1,True,True,-0.67,37.85,1.9,16158141.0
NIFTY INFRASTRUCTURE,Thematic,1,ONGC,301.3,94.29,True,True,-0.36,46.98,5.39,51575179.0
NIFTY INFRASTRUCTURE,Thematic,2,TATAPOWER,461.8,90.77,True,True,-0.67,37.85,1.9,16158141.0
NIFTY INFRASTRUCTURE,Thematic,3,ADANIGREEN,1249.95,89.85,True,True,-0.73,63.39,1.65,4303385.0
NIFTY INFRASTRUCTURE,Thematic,4,BHARATFORG,1894.8,88.58,True,True,-2.1,106.16,-0.33,546155.0
NIFTY INFRASTRUCTURE,Thematic,5,ADANIPORTS,1637.6,88.35,True,True,-0.75,57.23,0.56,2500914.0
NIFTY PSE,Thematic,1,BHEL,354.71,94.64,True,True,-0.36,83.31,1.76,14893265.0
NIFTY PSE,Thematic,2,ONGC,301.3,94.62,True,True,-0.36,46.98,5.39,51575179.0
NIFTY PSE,Thematic,3,NMDC,90.9,92.33,True,True,-1.05,52.7,0.53,29317759.0
NIFTY PSE,Thematic,4,COALINDIA,467.0,90.34,True,True,-1.89,31.18,3.2,26732373.0
NIFTY PSE,Thematic,5,OIL,497.2,89.48,True,True,-5.11,52.98,4.41,10897762.0
NIFTY SERVICES SECTOR,Thematic,1,TATAPOWER,461.8,90.43,True,True,-0.67,37.85,1.9,16158141.0
NIFTY SERVICES SECTOR,Thematic,2,ADANIPORTS,1637.6,86.35,True,True,-0.75,57.23,0.56,2500914.0
NIFTY SERVICES SECTOR,Thematic,3,POWERGRID,319.0,85.93,True,True,-1.83,27.6,-0.59,9083528.0
NIFTY SERVICES SECTOR,Thematic,4,NTPC,406.85,85.62,True,True,-1.82,28.93,-0.82,7726655.0
NIFTY SERVICES SECTOR,Thematic,5,INDUSINDBK,885.55,83.2,True,True,-8.6,39.02,-1.62,5748485.0
NIFTY INDIA DIGITAL,Thematic,1,IDEA,9.95,90.65,True,True,-22.27,62.58,2.68,744203178.0
NIFTY INDIA DIGITAL,Thematic,2,NYKAA,270.11,90.19,True,True,-5.42,62.75,0.34,3154559.0
NIFTY INDIA DIGITAL,Thematic,3,OFSS,9570.0,86.21,True,True,-3.82,53.5,2.24,591393.0
NIFTY INDIA DIGITAL,Thematic,4,PAYTM,1129.15,50.38,True,False,-18.28,49.93,-0.26,2357870.0
NIFTY INDIA DIGITAL,Thematic,5,ETERNAL,253.07,47.49,True,False,-31.31,20.59,-0.95,104988011.0
NIFTY INDIA MANUFACTURING,Thematic,1,HINDALCO,1074.3,95.89,True,True,-0.5,96.6,1.18,7798496.0
NIFTY INDIA MANUFACTURING,Thematic,2,BHEL,354.71,95.69,True,True,-0.36,83.31,1.76,14893265.0
NIFTY INDIA MANUFACTURING,Thematic,3,VEDL,739.3,95.61,True,True,-7.01,103.66,-0.43,37978285.0
NIFTY INDIA MANUFACTURING,Thematic,4,TATASTEEL,215.05,94.38,True,True,-1.46,71.63,0.83,34950491.0
NIFTY INDIA MANUFACTURING,Thematic,5,SONACOMS,598.8,91.79,True,True,-0.86,57.58,1.72,3382848.0
NIFTY INDIA DEFENCE,Thematic,1,DATAPATTNS,4059.9,95.92,True,True,-3.1,191.61,2.52,1311746.0
NIFTY INDIA DEFENCE,Thematic,2,GRSE,2875.3,92.5,True,True,-18.74,104.65,0.84,1599578.0
NIFTY INDIA DEFENCE,Thematic,3,MIDHANI,393.3,92.05,True,True,-16.14,68.8,2.92,2747809.0
NIFTY INDIA DEFENCE,Thematic,4,BHARATFORG,1894.8,91.91,True,True,-2.1,106.16,-0.33,546155.0
NIFTY INDIA DEFENCE,Thematic,5,MTARTECH,5292.1,91.12,True,True,-3.6,357.95,-0.21,460507.0
NIFTY INDIA TOURISM,Thematic,1,GMRAIRPORT,97.86,89.33,True,True,-11.33,29.87,2.21,16047591.0
NIFTY INDIA TOURISM,Thematic,2,INDHOTEL,652.45,47.19,True,False,-23.54,15.48,0.71,1967671.0
NIFTY INDIA TOURISM,Thematic,3,JUBLFOOD,482.4,46.65,True,False,-33.73,18.0,-0.56,3030435.0
NIFTY INDIA TOURISM,Thematic,4,LEMONTREE,118.61,45.78,True,False,-34.35,19.07,-1.02,2553611.0
NIFTY INDIA TOURISM,Thematic,5,EIHOTEL,326.2,41.66,True,False,-24.98,20.3,-0.75,294975.0
NIFTY CAPITAL MARKETS,Thematic,1,NAM-INDIA,1023.25,97.08,True,True,-3.92,105.45,3.39,4148259.0
NIFTY CAPITAL MARKETS,Thematic,2,ABSLAMC,1066.3,88.77,True,True,-3.0,91.63,0.08,325358.0
NIFTY CAPITAL MARKETS,Thematic,3,ANANDRATHI,3579.1,88.29,True,True,-4.17,123.69,0.58,170964.0
NIFTY CAPITAL MARKETS,Thematic,4,BSE,3626.1,84.17,True,True,-52.21,78.18,2.59,3792795.0
NIFTY CAPITAL MARKETS,Thematic,5,MOTILALOFS,782.7,47.32,True,False,-28.66,52.57,-1.4,1415834.0
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,1,ATHERENERG,931.15,93.86,True,True,-4.12,223.15,-1.07,3723757.0
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,2,SONACOMS,598.8,91.09,True,True,-0.86,57.58,1.72,3382848.0
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,3,HSCL,571.4,90.38,True,True,-5.55,56.4,0.13,9311132.0
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,4,BHARATFORG,1894.8,90.06,True,True,-2.1,106.16,-0.33,546155.0
NIFTY EV & NEW AGE AUTOMOTIVE,Thematic,5,CGPOWER,831.2,89.56,True,True,-1.85,60.56,1.33,1966693.0
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,1,HINDALCO,1074.3,95.7,True,True,-0.5,96.6,1.18,7798496.0
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,2,TATASTEEL,215.05,94.06,True,True,-1.46,71.63,0.83,34950491.0
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,3,ABCAPITAL,338.3,92.73,True,True,-8.39,99.67,-1.24,4701866.0
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,4,ADANIENSOL,1435.45,92.47,True,True,-1.93,92.7,-0.02,3082735.0
NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR),Thematic,5,ADANIGREEN,1249.95,91.35,True,True,-0.73,63.39,1.65,4303385.0
NIFTY CORE HOUSING,Thematic,1,KEI,4965.1,88.67,True,True,-6.37,104.83,1.56,236667.0
NIFTY CORE HOUSING,Thematic,2,POLYCAB,8254.0,88.0,True,True,-5.37,80.73,2.34,363780.0
