"SYMBOL","CURRENT_PRICE","MONTHLY_RS","CONSOLIDATION_BREAKOUT","CUP_HANDLE","LONG_TERM_UPTREND","MOMENTUM_BREAKOUT","SUPPORT_BOUNCE","VOLUME_ACCUMULATION","EARNINGS_MOMENTUM","WEEK52_HIGH_BREAKOUT","TECHNICAL_SCORE","MARKET_CAP_CATEGORY"
"CUBEXTUB",112.89,3.37,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,73.3,"MICRO_CAP"
"CRAFTSMAN",7379.5,3.92,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,71.3,"SMALL_CAP"
"CANFINHOME",925.35,9.66,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,71.3,"SMALL_CAP"
"BHEL",281.5,8.21,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,70,"MID_CAP"
"RICOAUTO",136.96,22.02,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,68.7,"LARGE_CAP"
"DCBBANK",170.48,15.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,68,"MICRO_CAP"
"BELRISE",179.39,6.33,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,67.3,"LARGE_CAP"
"CUB",292.35,16.73,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,66.7,"SMALL_CAP"
"KARURVYSYA",262.81,11.19,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"LARGE_CAP"
"ASHAPURMIN",894.95,17.05,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,66,"MID_CAP"
"ASHOKLEY",174.68,10.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,66,"SMALL_CAP"
"BHARATFORG",1443.8,8.68,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,65.3,"SMALL_CAP"
"AVANTIFEED",836.05,13.86,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,64.7,"SMALL_CAP"
"TITAN",3992,8.44,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,64,"LARGE_CAP"
"SILVER1",219.65,27.01,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,64,"MID_CAP"
"GRAVITA",1875.4,8.86,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,64,"SMALL_CAP"
"GROWWSLVR",231.27,29.33,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,64,"SMALL_CAP"
"VISHNU",553.65,10.14,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"SILVER360",221.48,26.03,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,64,"MICRO_CAP"
"HINDCOPPER",475.6,20.18,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,62.7,"LARGE_CAP"
"HDFCSILVER",220.92,27.84,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,62.7,"MID_CAP"
"ANURAS",1320.8,10.59,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,62.7,"SMALL_CAP"
"BSOFT",448.75,12.35,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62.7,"MICRO_CAP"
"SILVERIETF",229.73,28.14,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,62,"LARGE_CAP"
"RPTECH",356.95,4.63,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,62,"MICRO_CAP"
"SUNDARMFIN",5149.3,7.61,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"SMALL_CAP"
"GOLD360",136.3,8.95,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,61.3,"MICRO_CAP"
"AUBANK",974.95,15.15,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60.7,"MID_CAP"
"SILVER",228.7,27.41,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,60.7,"MID_CAP"
"BPCL",366,3.53,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MID_CAP"
"TARC",160.41,0.99,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,60,"SMALL_CAP"
"IMFA",1422.3,12.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,60,"MICRO_CAP"
"NBCC",122.06,6.36,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,59.3,"LARGE_CAP"
"CANBK",150.07,9.69,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,59.3,"MID_CAP"
"GAEL",125.74,8.54,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,59.3,"MICRO_CAP"
"ASIANPAINT",2746.5,7.68,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MID_CAP"
"POCL",1451.5,12.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"SMALL_CAP"
"MUFIN",114.13,13.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,58.7,"MICRO_CAP"
"STYLAMIND",2215.6,15.71,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,58,"MID_CAP"
