INDEX_NAME,INDEX_STRENGTH,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Nifty Auto,46.92,BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,56,68.6,NA,18,16,NA,STRONG_BULLISH,HOLD
Nifty Auto,46.92,MOTHERSON,MOTHERSON,MICRO_CAP,130.43,2.37,5.83,20.28,51.3,59.8,NA,13,14,NA,STRONG_BULLISH,HOLD
Nifty Auto,46.92,BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,10605,2.77,11.12,17.19,50,70.6,NA,16,12,NA,STRONG_BULLISH,HOLD
Nifty Auto,46.92,TVSMOTOR,TVS Motor Company Limited,LARGE_CAP,3706.7,2.45,4.3,6.8,40,46.7,NA,7,15,NA,BULLISH,WEAK_HOLD
Nifty Auto,46.92,HEROMOTOCO,Hero MotoCorp Limited,LARGE_CAP,5343,3.35,4.47,5.78,37.3,60,NA,9,10,NA,STRONG_BEARISH,WEAK_HOLD
Nifty Metal,44.4,HINDCOPPER,Hindustan Copper Limited,MID_CAP,568.6,3.29,2.4,12.73,51.3,51.9,NA,13,14,NA,STRONG_BULLISH,HOLD
Nifty Metal,44.4,COALINDIA,COALINDIA,SMALL_CAP,466.65,-0.75,-2.76,0.79,46.7,74,NA,12,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Metal,44.4,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,44,68.9,NA,8,13,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Metal,44.4,HINDALCO,Hindalco Industries Limited,LARGE_CAP,1055.7,0.95,-1.08,10.6,40.7,55.1,NA,13,8,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Metal,44.4,TATASTEEL,Tata Steel Limited,SMALL_CAP,217.09,0.75,0.56,9.57,39.3,63.3,NA,9,10,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,43.88,COALINDIA,COALINDIA,SMALL_CAP,466.65,-0.75,-2.76,0.79,46.7,74,NA,12,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,43.88,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,44.7,59.1,NA,11,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,43.88,JSWSTEEL,JSW Steel Limited,LARGE_CAP,1283.4,0.79,0.29,11.42,44,68.9,NA,8,13,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,43.88,POWERGRID,Power Grid Corporation of India Limited,SMALL_CAP,313.8,-0.68,-2.04,6.23,42,52.8,NA,9,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty 50,43.88,APOLLOHOSP,APOLLOHOSP,LARGE_CAP,7837,0.99,1.66,6.97,42,63.8,NA,9,12,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Infrastructure,42.8,ABB,ABB,LARGE_CAP,7188,0.08,-1.05,14.66,45.3,60.1,NA,13,11,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Infrastructure,42.8,BHEL,BHEL,SMALL_CAP,406.45,5.31,17.98,60.28,45.3,89.8,NA,16,14,NA,STRONG_BULLISH,WEAK_HOLD
Nifty Infrastructure,42.8,NTPC,NTPC Limited,SMALL_CAP,400.35,1.39,-0.24,8.54,44.7,59.1,NA,11,12,NA,STRONG_BULLISH,WEAK_HOLD
