SECTOR_NAME,SECTOR_STRENGTH,TOTAL_STOCKS,SYMBOL,COMPANY_NAME,MARKET_CAP_CATEGORY,CURRENT_PRICE,CHANGE_1D,CHANGE_1W,CHANGE_1M,TECHNICAL_SCORE,RSI,RELATIVE_STRENGTH,CAN_SLIM_SCORE,MINERVINI_SCORE,ENHANCED_FUND_SCORE,TREND_SIGNAL,TRADING_SIGNAL
Defence & Aerospace,52.28,17,BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,56,68.6,NA,18,16,NA,STRONG_BULLISH,HOLD
Defence & Aerospace,52.28,17,ASTRAMICRO,ASTRAMICRO,LARGE_CAP,1162.5,6.83,4.9,16.61,54,63.4,NA,20,14,NA,STRONG_BULLISH,HOLD
Defence & Aerospace,52.28,17,BELRISE,BELRISE,SMALL_CAP,227.94,2.62,6.53,19.91,50.7,66.7,NA,16,10,NA,STRONG_BULLISH,HOLD
Defence & Aerospace,52.28,17,MODEFENCE,MODEFENCE,MICRO_CAP,103.57,3.09,4.75,21.02,50.7,79.8,NA,16,16,NA,STRONG_BULLISH,HOLD
Defence & Aerospace,52.28,17,AEROFLEX,AEROFLEX,SMALL_CAP,413.6,19.99,35.53,68.34,50,76.2,NA,20,8,NA,STRONG_BULLISH,HOLD
Auto & Auto Ancillaries,47.72,13,BHARATFORG,BHARATFORG,LARGE_CAP,1992.9,6.36,4.46,19.24,56,68.6,NA,18,16,NA,STRONG_BULLISH,HOLD
Auto & Auto Ancillaries,47.72,13,MOTHERSON,MOTHERSON,MICRO_CAP,130.43,2.37,5.83,20.28,51.3,59.8,NA,13,14,NA,STRONG_BULLISH,HOLD
Auto & Auto Ancillaries,47.72,13,BAJAJ-AUTO,Bajaj Auto Limited,LARGE_CAP,10605,2.77,11.12,17.19,50,70.6,NA,16,12,NA,STRONG_BULLISH,HOLD
Auto & Auto Ancillaries,47.72,13,SANDHAR,SANDHAR,MICRO_CAP,528.3,3.72,6.54,11.79,41.3,59.1,NA,12,4,NA,STRONG_BULLISH,WEAK_HOLD
Auto & Auto Ancillaries,47.72,13,TVSMOTOR,TVS Motor Company Limited,LARGE_CAP,3706.7,2.45,4.3,6.8,40,46.7,NA,7,15,NA,BULLISH,WEAK_HOLD
Infrastructure,47.46,22,THERMAX,THERMAX,LARGE_CAP,4182.3,2.59,4.82,30.14,52.7,52.9,NA,16,16,NA,STRONG_BULLISH,HOLD
Infrastructure,47.46,22,JSWINFRA,JSWINFRA,SMALL_CAP,281.2,2.93,2.95,20.01,49.3,58.8,NA,16,18,NA,BULLISH,WEAK_HOLD
Infrastructure,47.46,22,ABB,ABB,LARGE_CAP,7188,0.08,-1.05,14.66,45.3,60.1,NA,13,11,NA,STRONG_BULLISH,WEAK_HOLD
