symbol,inputs,company_name,sector,mcap,price,stage,signal,trend,portfolio_score,investment_score,technical_score,enhanced_fund_score,relative_strength,chg_1d,chg_1w,chg_1m,rsi_snapshot,rsi_tech,adx,macd,supertrend,above_sma20,above_sma50,above_sma200,pct_from_52h,52w_high,52w_low,rating,snapshot_error,tech_error
MANINDS,MAN INDUSTRIES (I) LTD.,MANINDS,Capital Goods & Industrials,MID_CAP,528.75,STAGE_2,BUY,BULLISH,80.5,58.9,60.7,69.25,47.35,1.86,6.57,1.54,37.4,51.9,30.1,bearish,SELL,False,True,True,-12.8,606.4,258.05,ACCUMULATE / CORE WATCH,,
DATAPATTNS,DATA PATTERNS INDIA LTD,DATAPATTNS,Defence & Aerospace,LARGE_CAP,4353.8,STAGE_2,HOLD,STRONG_BULLISH,69.2,60.7,68.0,52.76,29.95,-4.49,9.11,7.17,64.9,59.3,25.4,bullish,SELL,True,True,True,-7.8,4722.0,2121.0,ACCUMULATE / CORE WATCH,,
PAISALO,PAISALO DIGITAL LIMITED,PAISALO,—,—,59.51,STAGE_2,HOLD,STRONG_BULLISH,66.4,65.0,65.0,,22.3,-1.11,10.37,22.3,79.4,79.4,64.3,bullish,SELL,True,True,True,-2.4,61.0,29.38,ACCUMULATE / CORE WATCH,,
INDOTECH,INDO TECH TRANSFORM LTD.,INDOTECH,—,—,2469.9,STAGE_2,HOLD,MIXED,65.8,60.0,60.0,,33.81,-5.0,-9.53,33.81,55.9,55.9,53.9,bearish,SELL,False,True,True,-17.1,2977.6,1100.0,ACCUMULATE / CORE WATCH,,
MOTHERSON,SAMVRDHNA MTHRSN INTL LTD,MOTHERSON,EV & Auto Ancillaries,MICRO_CAP,142.21,STAGE_2,HOLD,STRONG_BULLISH,64.6,57.1,62.0,51.57,20.17,-1.28,-2.34,14.45,63.5,58.9,50.0,bearish,SELL,True,True,True,-6.3,151.77,87.08,ACCUMULATE / CORE WATCH,,
VARDHACRLC,VARDHAMAN ACRYLICS LTD,VARDHACRLC,—,—,44.17,STAGE_2,HOLD,MIXED,64.5,70.0,70.0,,-2.9,-1.98,2.13,-2.9,56.6,56.6,48.1,bearish,SELL,True,True,True,-18.6,54.25,27.01,HOLD / WATCH,,
MOREPENLAB,MOREPEN LAB. LTD,MOREPENLAB,—,—,49.37,STAGE_1,HOLD,STRONG_BULLISH,64.4,85.0,85.0,,7.82,1.48,8.74,7.82,66.5,66.5,32.3,bullish,SELL,True,True,True,-30.0,70.5,33.05,HOLD / WATCH,,
HFCL,HFCL LIMITED,HFCL,Railways & PSU Infra,MICRO_CAP,169.11,STAGE_2,HOLD,STRONG_BULLISH,63.9,47.4,49.3,10.0,132.88,-5.0,-15.19,14.43,66.1,57.3,55.9,bearish,SELL,True,True,True,-19.1,208.98,59.82,WATCH ON PULLBACK,,
IDEA,VODAFONE IDEA LIMITED,IDEA,—,—,13.88,STAGE_2,HOLD,MIXED,62.2,60.0,60.0,,13.96,-1.84,-6.53,13.96,60.4,60.4,51.0,bearish,SELL,False,True,True,-9.0,15.25,6.12,ACCUMULATE / CORE WATCH,,
BELRISE,BELRISE INDUSTRIES LTD,BELRISE,Defence & Aerospace,SMALL_CAP,227.13,STAGE_2,HOLD,STRONG_BULLISH,62.0,55.2,58.7,53.29,11.08,-3.24,3.46,10.63,64.9,59.9,18.2,bullish,SELL,True,True,True,-4.0,236.5,89.15,ACCUMULATE / CORE WATCH,,
ENRIN,SIEMENS ENERGY INDIA LTD,ENRIN,Other,LARGE_CAP,3424.8,STAGE_2,HOLD,STRONG_BULLISH,58.4,53.9,49.3,,18.04,-3.46,-7.1,12.08,48.8,49.8,33.6,bearish,SELL,False,True,True,-13.7,3968.0,2115.0,WATCH ON PULLBACK,,
PYRAMID,PYRAMID TECHNOPLAST LTD,PYRAMID,—,—,163.27,STAGE_2,HOLD,MIXED,55.9,55.0,55.0,,-6.6,-0.74,-0.84,-6.6,47.6,47.6,22.3,bearish,SELL,False,True,True,-14.1,190.0,131.8,HOLD / WATCH,,
EXIDEIND,EXIDE INDUSTRIES LTD,EXIDEIND,EV & Auto Ancillaries,SMALL_CAP,386.35,STAGE_1,HOLD,STRONG_BULLISH,54.5,56.9,62.0,51.12,20.25,-1.68,-3.16,11.57,68.4,57.9,40.2,bullish,SELL,True,True,True,-10.4,431.0,287.0,HOLD / WATCH,,
IFGLEXPOR,IFGL REFRACTORIES LIMITED,IFGLEXPOR,—,—,191.37,STAGE_1,HOLD,MIXED,53.2,65.0,65.0,,4.57,-3.45,-3.11,4.57,57.4,57.4,38.7,bullish,SELL,True,True,False,-43.4,338.0,119.68,HOLD / WATCH,,
NIBE,NIBE LIMITED,NIBE,Other,LARGE_CAP,1502.7,STAGE_1,WEAK_HOLD,STRONG_BULLISH,52.7,55.8,47.3,,58.83,-2.5,0.04,53.12,70.3,64.2,60.3,bullish,SELL,True,True,True,-24.9,2001.0,809.6,HOLD / WATCH,,
HCC,HINDUSTAN CONSTRUCTION CO,HCC,—,—,22.35,STAGE_1,HOLD,MIXED,52.3,65.0,65.0,,-0.36,-4.57,-4.93,-0.36,51.2,51.2,23.5,bearish,SELL,True,True,True,-40.2,37.39,13.65,HOLD / WATCH,,
YESBANK,YES BANK LIMITED,YESBANK,—,—,22.6,STAGE_1,HOLD,MIXED,52.3,65.0,65.0,,-0.44,-3.29,-1.44,-0.44,54.7,54.7,23.3,bearish,SELL,True,True,True,-7.0,24.3,17.2,HOLD / WATCH,,
ABB,ABB INDIA LIMITED,ABB,MNC,LARGE_CAP,6801.0,STAGE_1,HOLD,BULLISH,51.4,55.0,55.3,61.29,3.93,-1.88,-5.49,7.47,56.6,46.6,25.4,bearish,SELL,False,False,True,-13.1,7822.5,4637.5,HOLD / WATCH,,
HINDALCO,HINDALCO  INDUSTRIES  LTD,Hindalco Industries Limited,Metals & Mining,LARGE_CAP,1039.3,STAGE_1,HOLD,STRONG_BULLISH,51.4,51.0,58.7,52.87,14.11,-3.47,-8.75,-0.2,41.2,42.0,35.4,bearish,SELL,False,False,True,-11.6,1176.0,603.75,HOLD / WATCH,,
