symbol,inputs,company_name,isin,qty,avg_cost,broker_price,cost_value,market_value,realized_pnl,unrealized_pnl,unrealized_pct,mapping_status
ACE,ACTCON,ACTION CONSTRUCTION EQUIPMENTS,INE731H01025,24,1052.94,1113.70,25270.56,26728.80,31682.64,1458.24,5.77,NSE_ISIN_MATCH
ANANTRAJ,ANARAJ,ANANT RAJ LIMITED,INE242C01024,25,675.84,627.55,16896.00,15688.75,18439.12,-1207.25,-7.15,NSE_ISIN_MATCH
ANANDRATHI,ANARAT,ANAND RATHI WEALTH LIMITED,INE463V01026,36,1269.59,2176.00,45705.24,78336.00,11067.69,32630.76,71.39,NSE_ISIN_MATCH
MUFIN,APMFIN,MUFIN GREEN FINANCE LIMITED,INE08KJ01020,80,112.55,135.87,9004.00,10869.60,13723.75,1865.60,20.72,NSE_ISIN_MATCH
APOLLOHOSP,APOHOS,APOLLO HOSPITALS ENTERPRISES L,INE437A01024,10,7104.32,8825.50,71043.20,88255.00,5513.92,17211.80,24.23,NSE_ISIN_MATCH
APOLLO,APOMIC,APOLLO MICRO SYSTEMS LIMITED,INE713T01028,100,332.31,387.05,33231.00,38705.00,0.00,5474.00,16.47,NSE_ISIN_MATCH
APOLLOTYRE,APOTYR,APOLLO TYRES LTD,INE438A01022,10,456.30,436.70,4563.00,4367.00,6643.25,-196.00,-4.30,NSE_ISIN_MATCH
ARTEMISMED,ARTMED,ARTEMIS MEDICARE SERVICES LTD,INE025R01021,90,233.58,314.40,21022.20,28296.00,8018.82,7273.80,34.60,NSE_ISIN_MATCH
ASTERDM,ASTDM,ASTER DM QUALITY CARE LIMITED,INE914M01019,30,771.75,819.75,23152.50,24592.50,(775.56),1440.00,6.22,NSE_ISIN_MATCH
ASTRAMICRO,ASTMIC,ASTRA MICROWAVE PRODUCTS LTD,INE386C01029,38,1178.12,1707.10,44768.56,64869.80,778.43,20101.24,44.90,NSE_ISIN_MATCH
ATHERENERG,ATHENE,ATHER ENERGY LIMITED,INE0LEZ01016,45,868.11,1485.20,39064.95,66834.00,747.84,27769.05,71.08,NSE_ISIN_MATCH
DMART,AVESUP,AVENUE SUPERMARTS LTD DMART,INE192R01011,25,4384.41,3995.00,109610.25,99875.00,(6116.75),-9735.25,-8.88,NSE_ISIN_MATCH
AXISBANK,AXIBAN,AXIS BANK LIMITED,INE238A01034,20,1216.91,1227.30,24338.20,24546.00,0.00,207.80,0.85,NSE_ISIN_MATCH
AXISTECETF,AXITEC,AXIS NIFTY IT ETF,INF846K01Y96,20,417.51,341.65,8350.20,6833.00,0.00,-1517.20,-18.17,ETF_ISIN_ALIAS
BAJAJ-AUTO,BAAUTO,BAJAJ AUTO LIMITED,INE917I01010,5,9047.73,11663.00,45238.65,58315.00,6586.84,13076.35,28.91,NSE_ISIN_MATCH
BAJAJFINSV,BAFINS,BAJAJ FINSERV LIMITED,INE918I01026,35,1801.89,2005.00,63066.15,70175.00,14785.35,7108.85,11.27,NSE_ISIN_MATCH
BAJFINANCE,BAJFI,BAJAJ FINANCE LIMITED,INE296A01032,69,575.61,1089.30,39717.09,75161.70,(19036.67),35444.61,89.24,NSE_ISIN_MATCH
BAJAJHLDNG,BAJHOL,BAJAJ HOLDINGS & INVESTMENT LI,INE118A01012,4,10581.73,11379.00,42326.92,45516.00,0.00,3189.08,7.53,NSE_ISIN_MATCH
BANKBEES,BANBEE,NIPPON INDIA ETF NIF BANK BEES,INF204KB15I9,169,525.70,598.42,88843.30,101132.98,8736.06,12289.68,13.83,ETF_ISIN_ALIAS
