SYMBOL,INDEX_TAGS,LAST_DATE,CLOSE,PEAK_52_ROLL,DD_VS_PEAK_PCT,PCT_OF_52W_RANGE,ABOVE_SMA50,RS_PULLBACK_60D_BPS,RECOVERY_FROM_TROUGH_PCT,RECOVERY_VELOCITY,VOL_RATIO_10_50,SLOW_PULLBACK_SCORE,MAX_1D_DROP_60D_PCT,ENHANCED_FUND_SCORE,SALES_GROWTH,EARNINGS_QUALITY,RS_Z,REC_Z,VOL_Z,SLOW_Z,FUND_Z,PEAK_Z,COMPOSITE
ARE&M,NIFTY 500,2026-04-22,898.7,1109.0,-18.96,81.04,12.77,4.8461,33.65,2.403259,10.2699,31.5338,-9.54,54.31,51.0,51.3,-0.46029385950714763,2.206916570923539,7.82291802951436,0.139153126463913,-0.6132870252992472,-0.5157778245752599,1.429938169586693
ASTRAMICRO,"NIFTY INDIA DEFENCE,NIFTY MICROCAP 250",2026-04-22,1129.75,1195.9,-5.53,94.47,17.01,26.913,32.03,2.287601,1.2865,49.3161,-16.96,71.97,94.0,73.91,0.6714042501970808,2.016133298677035,0.03977762465779861,0.47401588695310465,2.2750886988766097,0.9042041303998609,1.0634373149602483
AVANTIFEED,NIFTY MICROCAP 250,2026-04-22,1442.7,1593.8,-9.48,90.52,13.18,92.5384,93.22,1.580052,1.2253,36.1348,-15.43,60.0,56.0,68.81,4.036994393288492,0.8489981805292016,-0.013245528355227739,0.2257956620757726,0.31733912818663174,0.48656237893659,0.9837407024435767
ABB,NIFTY 500,2026-04-22,7587.0,7822.5,-3.01,96.99,21.75,60.4837,61.61,1.080959,1.4311,94.9218,-12.16,61.29,73.0,55.43,2.3930732536115946,0.02572096930883875,0.1650578195219101,1.3328277727070246,0.5283246708925691,1.1706489946245298,0.9359422467777444
AZAD,NIFTY MICROCAP 250,2026-04-22,1950.4,1985.0,-1.74,98.26,19.69,38.2129,42.73,2.373867,1.7967,32.4506,-8.86,55.24,51.0,52.39,1.250918158804398,2.15843309431259,0.48181051137750575,0.15641760737001018,-0.46118116892985045,1.3049287476266447,0.815221158426883
BALRAMCHIN,NIFTY 500,2026-04-22,541.55,627.8,-13.74,86.26,12.82,35.4516,36.14,0.612479,1.2672,157.4009,-7.32,69.75,82.0,71.09,1.1093052457841603,-0.7470586687796851,0.02305627084813516,2.5093867048406775,1.9119972998012755,0.03614367989012584,0.8071384220641149
DATAPATTNS,"NIFTY 500,NIFTY INDIA DEFENCE",2026-04-22,3828.3,3885.0,-1.46,98.54,20.86,72.1739,75.41,1.322964,1.1716,67.8618,-11.98,52.76,47.0,52.39,2.992603647190411,0.42491951847980275,-0.05977074594999119,0.8232544161199955,-0.8667967859149093,1.334533732540497,0.7747906304109677
APARINDS,NIFTY 500,2026-04-22,11789.0,12327.5,-4.37,95.63,15.49,68.5516,69.24,1.173496,1.0784,65.2471,-19.97,57.41,58.6,57.96,2.8068344606358138,0.17836507230106424,-0.1405184234142732,0.7740163726806717,-0.10626750406792548,1.0268533536143911,0.7565472219582903
CHENNPETRO,NIFTY 500,2026-04-22,1071.4,1103.0,-2.86,97.14,11.49,28.6256,29.48,0.508313,0.8746,121.1331,-15.1,68.3,82.0,71.74,0.7592347194827286,-0.9188853503480107,-0.31708898851320755,1.8264190558374602,1.6748430076124305,1.1865088079712363,0.7018385420071063
AUROPHARMA,"NIFTY 500,NIFTY MIDCAP SELECT",2026-04-22,1421.2,1425.1,-0.27,99.73,12.46,26.0159,26.7,0.452552,0.8432,123.4996,-6.92,67.41,70.0,70.43,0.6253965928362524,-1.0108657238953427,-0.34429367813100226,1.8709831854887242,1.5292793386137604,1.4603549184243683,0.6884757722227933
BLUESTARCO,NIFTY 500,2026-04-22,1888.6,2269.8,-16.79,83.21,3.04,9.5213,23.58,1.964601,1.3066,36.1579,-48.19,72.84,86.0,74.35,-0.2205268327616959,1.4833297145270323,0.05719209157874357,0.22623066372163955,2.417381274189917,-0.28633919149290593,0.6128779532937885
DEEPAKNTR,NIFTY 500,2026-04-22,1745.5,2174.0,-19.71,80.29,15.43,9.04,35.65,2.546183,2.2318,25.2856,-15.09,59.32,57.0,61.3,-0.24521024095227303,2.4426763834964653,0.8587774047756722,0.021491772190924262,0.20612194288427715,-0.5950768913087924,0.44813006184771226
COALINDIA,"NIFTY 500,NIFTY CPSE",2026-04-22,444.15,476.0,-6.69,93.31,0.84,6.585,8.61,0.200172,1.167,94.9096,-13.75,71.16,82.0,75.65,-0.3711145981263156,-1.427178320080413,-0.06375614633985913,1.3325980315780384,2.142609404619393,0.7815549071853306,0.39911887980602906
CGPOWER,NIFTY 500,2026-04-22,824.35,835.0,-1.28,98.72,16.25,42.6058,55.35,0.988343,1.0134,33.6413,-8.63,55.37,51.0,53.04,1.4762074665965985,-0.12705344787269887,-0.19683386370588618,0.17883996493424428,-0.43991905997498926,1.3535655085565446,0.37413442808896885
ASTERDM,NIFTY 500,2026-04-22,684.3,732.2,-6.54,93.46,5.79,19.6741,27.21,0.555207,0.501,130.4558,-22.18,60.89,56.0,64.13,0.3001582008499618,-0.8415315073909512,-0.6407728114816172,2.001977057738935,0.4629027971853019,0.7974147205320372,0.3466914095722779
ARVIND,NIFTY MICROCAP 250,2026-04-22,392.05,404.0,-2.96,97.04,7.66,27.1855,31.89,0.590599,0.4851,110.0297,-9.26,57.39,61.0,51.96,0.6853793774190469,-0.7831507505790722,-0.6545484345683349,1.6173282647240672,-0.1095385977532882,1.1759355990734321,0.32190090971930846
BHEL,"NIFTY 500,NIFTY MIDCAP SELECT",2026-04-22,333.64,336.8,-0.94,99.06,24.7,31.5285,37.58,0.65936,2.0302,36.3204,-20.84,53.94,47.0,54.13,0.9081095701713349,-0.6697262699297276,0.6841129007327617,0.22929074023477305,-0.6738022584784703,1.3895144188090793,0.31124985025662516
BOSCHLTD,NIFTY 500,2026-04-22,37885.0,41945.0,-9.68,90.32,11.13,7.1576,31.8,2.271202,2.9016,-31.4625,-5.76,53.48,47.0,51.96,-0.3417488812554981,1.9890823823411965,1.4390863571960173,-1.0471453230395407,-0.749037413241828,0.46541596114098144,0.29260884719022134
CAMPUS,NIFTY 500,2026-04-22,250.71,304.4,-17.64,82.36,1.07,-0.5209,14.56,1.039851,0.5388,65.8989,-8.57,74.2,94.0,73.7,-0.7355397596917043,-0.04208859644112491,-0.6080232169735715,0.7862905749653509,2.639815644794626,-0.3762114671242428,0.27737386325488894
DEEPAKFERT,NIFTY 500,2026-04-22,1270.1,1778.6,-28.59,71.41,24.73,9.7204,45.64,2.535387,1.9861,-72.9983,-13.55,70.76,76.0,75.43,-0.21031601503731634,2.424867877321594,0.6459050404733752,-1.8293159447885252,2.0771875309121266,-1.533977841433816,0.26239177457457297
