SYMBOL,NAME,SOURCE,SUBSECTOR
BHARATFORG,Bharat Forge,Nifty Auto,Forgings
UNOMINDA,UNO Minda,Nifty Auto,Electrical
BOSCHLTD,Bosch,Nifty Auto,Electrical
EXIDEIND,Exide Industries,Nifty Auto,Battery
TMPV,TMPV (Auto),Nifty Auto,Other
MOTHERSON,Samvardhana Motherson,Nifty Auto,Electrical
TIINDIA,Tube Investments,Nifty Auto,Other
SONACOMS,Sona BLW Precision Forgings,Nifty Auto,Electrical
APOLLOTYRE,Apollo Tyres,Nifty Auto,Tyres
MRF,MRF,Nifty Auto,Tyres
AMARAJABAT,Amara Raja Energy & Mobility,NSE/Bajaj Auto Ancillaries,Battery
ASKAUTOLTD,Ask Automotive,NSE/Bajaj Auto Ancillaries,Other
AUTOAXLES,Automotive Axles,NSE/Bajaj Auto Ancillaries,Axles
BANCOINDIA,Banco Products (India),NSE/Bajaj Auto Ancillaries,Other
BHARATGEAR,Bharat Gears,NSE/Bajaj Auto Ancillaries,Gears
BHARATSE,Bharat Seats,NSE/Bajaj Auto Ancillaries,Seating
CRAFTSMAN,Craftsman Automation,NSE/Bajaj Auto Ancillaries,Castings
DIVGIITTS,Divgi Torqtransfer Systems,NSE/Bajaj Auto Ancillaries,Transmission
ENDURANCE,Endurance Technologies,NSE/Bajaj Auto Ancillaries,Engine/Parts
FIEMIND,Fiem Industries,NSE/Bajaj Auto Ancillaries,Lighting
GABRIEL,Gabriel India,NSE/Bajaj Auto Ancillaries,Suspension
GNA,GNA Axles,NSE/Bajaj Auto Ancillaries,Axles
HARSHA,Harsha Engineers International,NSE/Bajaj Auto Ancillaries,Forgings
JAMNAAUTO,Jamna Auto Industries,NSE/Bajaj Auto Ancillaries,Suspension
JBMA,JBM Auto,NSE/Bajaj Auto Ancillaries,Other
JTEKTINDIA,JTEKT India,NSE/Bajaj Auto Ancillaries,Steering/Bearings
LUMAXIND,Lumax Industries,NSE/Bajaj Auto Ancillaries,Lighting
LUMAXTECH,Lumax Auto Technologies,NSE/Bajaj Auto Ancillaries,Lighting
MINDACORP,Minda Corporation,NSE/Bajaj Auto Ancillaries,Electrical
MENONBE,Menon Bearings,NSE/Bajaj Auto Ancillaries,Bearings
MSUMI,Motherson Sumi Wiring,NSE/Bajaj Auto Ancillaries,Electrical
NDRAUTO,NDR Auto Components,NSE/Bajaj Auto Ancillaries,Other
PRICOLLTD,Pricol,NSE/Bajaj Auto Ancillaries,Electrical
RANEENGINE,Rane Engine Valve,NSE/Bajaj Auto Ancillaries,Engine/Parts
RICOAUTO,Rico Auto Industries,NSE/Bajaj Auto Ancillaries,Castings
SANDHAR,Sandhar Technologies,NSE/Bajaj Auto Ancillaries,Other
SANSERA,Sansera Engineering,NSE/Bajaj Auto Ancillaries,Forgings
SHARDAMOTR,Sharda Motor Industries,NSE/Bajaj Auto Ancillaries,Transmission
SHRIPISTON,Shriram Pistons & Rings,NSE/Bajaj Auto Ancillaries,Engine/Parts
SSWL,Steel Strips Wheels,NSE/Bajaj Auto Ancillaries,Wheels
SUNDRMFAST,Sundram Fasteners,NSE/Bajaj Auto Ancillaries,Fasteners
SUNDRMBRAK,Sundaram Brake Linings,NSE/Bajaj Auto Ancillaries,Brakes
SUPRAJIT,Suprajit Engineering,NSE/Bajaj Auto Ancillaries,Cables
TALBROAUTO,Talbros Auto Components,NSE/Bajaj Auto Ancillaries,Gaskets
UCAL,Ucal Limited,NSE/Bajaj Auto Ancillaries,Fuel Systems
VARROC,Varroc Engineering,NSE/Bajaj Auto Ancillaries,Lighting
WHEELS,Wheels India,NSE/Bajaj Auto Ancillaries,Wheels
ZFCVINDIA,ZF Commercial Vehicle Control Systems,NSE/Bajaj Auto Ancillaries,Brakes/Transmission
