"symbol","pnl_summary","quarterly_summary","balance_sheet_summary","ratios_summary"
"SUPREMEIND","Sales: 10717 Cr (YoY +2.6%); NetProfit: 814 Cr (YoY -15.3%); EPS: 64.11","Sales last 4Q: 3027, 2609, 2394, 2687 Cr; Net Profit last 4Q: 294, 202, 165, 153 Cr","Debt: 322 Cr","ROCE: 24%; EPS: 64.11; NPM: 7.6%"
"FINOPB","Revenue: 237 Cr (YoY +21.5%); NetProfit: 69 Cr (YoY -25.8%); EPS: 8.32","Sales last 4Q: 53, 61, 60, 63 Cr; Net Profit last 4Q: 24, 18, 15, 12 Cr","","ROE: 13%; EPS: 8.32; NPM: 29.11%"
"COSMOFILMS","","","",""
"POLYPLEX","Sales: 6955 Cr (YoY +1%); NetProfit: -5 Cr (YoY -101.4%); EPS: 9.64","Sales last 4Q: 1740, 1739, 1794, 1682 Cr; Net Profit last 4Q: -9, -60, 34, 30 Cr","Debt: 968 Cr","ROCE: 14%; EPS: 9.64; NPM: -0.07%"
"UFLEX","Sales: 15159 Cr (YoY +0.8%); NetProfit: 289 Cr (YoY +103.5%); EPS: 40.11","Sales last 4Q: 3814, 3901, 3832, 3612 Cr; Net Profit last 4Q: 169, 58, 27, 36 Cr","Debt: 9326 Cr","ROCE: 9%; EPS: 40.11; NPM: 1.91%"
"JINDALPOLY","Sales: 3115 Cr (YoY -41.6%); NetProfit: -253 Cr (YoY -330%); EPS: -57.38","Sales last 4Q: 1420, 914, 410, 372 Cr; Net Profit last 4Q: -179, 36, -13, -97 Cr","Debt: 3444 Cr","ROCE: 6%; EPS: -57.38; NPM: -8.12%"
"GARFAR","","","",""
"SAFARI","Sales: 1995 Cr (YoY +12.6%); NetProfit: 168 Cr (YoY +17.5%); EPS: 34.31","Sales last 4Q: 421, 528, 534, 512 Cr; Net Profit last 4Q: 38, 50, 47, 33 Cr","Debt: 113 Cr","ROCE: 16%; EPS: 34.31; NPM: 8.42%"
"VIPIND","Sales: 1916 Cr (YoY -12%); NetProfit: -236 Cr (YoY -242%); EPS: -16.65","Sales last 4Q: 494, 561, 406, 454 Cr; Net Profit last 4Q: -27, -13, -143, -53 Cr","Debt: 779 Cr","ROCE: -3%; EPS: -16.65; NPM: -12.32%"
"NILKAMAL","Sales: 3707 Cr (YoY +11.9%); NetProfit: 109 Cr (YoY +1.9%); EPS: 72.51","Sales last 4Q: 894, 883, 968, 962 Cr; Net Profit last 4Q: 34, 15, 34, 25 Cr","Debt: 539 Cr","ROCE: 9%; EPS: 72.51; NPM: 2.94%"
"EPL","Sales: 4568 Cr (YoY +8.4%); NetProfit: 406 Cr (YoY +11.5%); EPS: 12.52","Sales last 4Q: 1105, 1108, 1206, 1149 Cr; Net Profit last 4Q: 116, 101, 106, 83 Cr","Debt: 850 Cr","ROCE: 20%; EPS: 12.52; NPM: 8.89%"
"AGIGREEN","","","",""
"TCPLPACK","Sales: 1779 Cr (YoY +0.5%); NetProfit: 114 Cr (YoY -20.3%); EPS: 125.39","Sales last 4Q: 422, 425, 460, 471 Cr; Net Profit last 4Q: 38, 22, 29, 25 Cr","Debt: 691 Cr","ROCE: 20%; EPS: 125.39; NPM: 6.41%"
"XPROINDIA","Sales: 529 Cr (YoY -0.8%); NetProfit: 13 Cr (YoY -65.8%); EPS: 5.5","Sales last 4Q: 158, 145, 120, 106 Cr; Net Profit last 4Q: 7, -5, 5, 7 Cr","Debt: 317 Cr","ROCE: 9%; EPS: 5.5; NPM: 2.46%"
"SHAILY","Sales: 972 Cr (YoY +23.5%); NetProfit: 158 Cr (YoY +69.9%); EPS: 34.45","Sales last 4Q: 218, 247, 257, 250 Cr; Net Profit last 4Q: 29, 41, 51, 37 Cr","Debt: 189 Cr","ROCE: 17%; EPS: 34.45; NPM: 16.26%"
"ALLTIME","Sales: 613 Cr (YoY +9.9%); NetProfit: 36 Cr (YoY -23.4%); EPS: 6.18","Sales last 4Q: 148, 158, 147, 159 Cr; Net Profit last 4Q: 10, 13, 4, 9 Cr","Debt: 133 Cr","ROCE: 19%; EPS: 6.18; NPM: 5.87%"
"MEGAFLEX","Sales: 72 Cr (YoY +20.1%); NetProfit: 5 Cr (YoY +42.3%); EPS: 4.02","Sales last 4Q: 25, 17, 43, 29 Cr; Net Profit last 4Q: 1, 0, 3, 2 Cr","Debt: 1 Cr","ROCE: 7.38%; EPS: 4.02; NPM: 6.74%"
"TAINWALCHM","Sales: 22 Cr (YoY +37.5%); NetProfit: 11 Cr (YoY +120%); EPS: 11.35","Sales last 4Q: 5, 1, 5, 10 Cr; Net Profit last 4Q: 1, 3, 4, 3 Cr","Debt: 0 Cr","ROCE: 4%; EPS: 11.35; NPM: 50%"
"TULSI","Sales: 80 Cr (YoY -57.4%); NetProfit: -92 Cr (YoY -4700%); EPS: -33.61","Sales last 4Q: 53, 25, 45, 65 Cr; Net Profit last 4Q: 3, 0, 0, 0 Cr","Debt: 203 Cr","ROCE: -9.72%; EPS: -33.61; NPM: -115%"
"MAHAPEX","","","",""
"POLYMED","Sales: 1782 Cr (YoY +6.8%); NetProfit: 348 Cr (YoY +2.7%); EPS: 34.31","Sales last 4Q: 441, 403, 444, 494 Cr; Net Profit last 4Q: 92, 93, 92, 71 Cr","Debt: 240 Cr","ROCE: 18%; EPS: 34.31; NPM: 19.53%"
"NAHARIND","","","",""
