"symbol","pnl_summary","quarterly_summary","balance_sheet_summary","ratios_summary"
"PAGEIND","Sales: 5092 Cr (YoY +3.2%); NetProfit: 749 Cr (YoY +2.7%); EPS: 671.61","Sales last 4Q: 1098, 1317, 1291, 1387 Cr; Net Profit last 4Q: 164, 201, 195, 190 Cr","Debt: 268 Cr","ROCE: 59%; EPS: 671.61; NPM: 14.71%"
"KPRMILL","Sales: 6635 Cr (YoY +3.9%); NetProfit: 844 Cr (YoY +3.6%); EPS: 24.68","Sales last 4Q: 1769, 1766, 1632, 1467 Cr; Net Profit last 4Q: 205, 213, 218, 209 Cr","Debt: 345 Cr","ROCE: 21%; EPS: 24.68; NPM: 12.72%"
"WELSPUNLIV","Sales: 9610 Cr (YoY -8.9%); NetProfit: 240 Cr (YoY -62.7%); EPS: 2.42","Sales last 4Q: 2646, 2261, 2441, 2262 Cr; Net Profit last 4Q: 133, 89, 15, 3 Cr","Debt: 2685 Cr","ROCE: 14%; EPS: 2.42; NPM: 2.5%"
"VTL","Sales: 9880 Cr (YoY +1%); NetProfit: 802 Cr (YoY -9.6%); EPS: 27.59","Sales last 4Q: 2509, 2386, 2480, 2505 Cr; Net Profit last 4Q: 238, 208, 188, 168 Cr","Debt: 1479 Cr","ROCE: 11%; EPS: 27.59; NPM: 8.12%"
"TRIDENT","Sales: 6933 Cr (YoY -0.8%); NetProfit: 409 Cr (YoY +10.2%); EPS: 0.8","Sales last 4Q: 1864, 1707, 1787, 1574 Cr; Net Profit last 4Q: 133, 140, 91, 44 Cr","Debt: 1605 Cr","ROCE: 9%; EPS: 0.8; NPM: 5.9%"
"SOMATEX","Sales: 34 Cr (YoY +257.5%); NetProfit: 5 Cr (YoY -92.5%); EPS: 1.57","Sales last 4Q: 4, 2, 0, 28 Cr; Net Profit last 4Q: 0, 4, -1, 2 Cr","Debt: 0 Cr","ROCE: -1.74%; EPS: 1.57; NPM: 15.27%"
"LOYALTEX","Sales: 493 Cr (YoY -27.7%); NetProfit: -1 Cr (YoY +98%); EPS: -2.51","Sales last 4Q: 146, 135, 107, 105 Cr; Net Profit last 4Q: 39, -17, -11, -12 Cr","Debt: 331 Cr","ROCE: -12%; EPS: -2.51; NPM: -0.2%"
"GOKEX","Sales: 3934 Cr (YoY +1.8%); NetProfit: 117 Cr (YoY -26.4%); EPS: 16.16","Sales last 4Q: 1015, 956, 984, 979 Cr; Net Profit last 4Q: 53, 41, 8, 15 Cr","Debt: 993 Cr","ROCE: 12%; EPS: 16.16; NPM: 2.97%"
"INDOCOUNT","","","",""
"GARFIBRES","Sales: 1535 Cr (YoY -0.3%); NetProfit: 213 Cr (YoY -8.2%); EPS: 21.39","Sales last 4Q: 433, 367, 348, 387 Cr; Net Profit last 4Q: 71, 53, 32, 56 Cr","Debt: 132 Cr","ROCE: 23%; EPS: 21.39; NPM: 13.88%"
"KITEX","Sales: 801 Cr (YoY -18.5%); NetProfit: 28 Cr (YoY -79.4%); EPS: 2.15","Sales last 4Q: 300, 197, 122, 182 Cr; Net Profit last 4Q: 32, 19, -6, -17 Cr","Debt: 1184 Cr","ROCE: 19%; EPS: 2.15; NPM: 3.5%"
"BANSWARA","","","",""
"GRPLTD","Sales: 551 Cr (YoY +0.2%); NetProfit: 24 Cr (YoY -22.6%); EPS: 45.02","Sales last 4Q: 160, 124, 132, 135 Cr; Net Profit last 4Q: 19, 2, 2, 1 Cr","Debt: 204 Cr","ROCE: 20%; EPS: 45.02; NPM: 4.36%"
