SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE
PAGEIND,Apparel,31595.0,-0.08220769789397242,-0.1951343777862693,-0.28323502722323046,-0.41819977492407645,-0.2793668209543436,29.90654205607477,20.0,68.46,2026-03-06
KPRMILL,Yarn/Fabric,840.45,-0.15655577299412915,-0.2506686875891583,-0.12050020929259098,-0.25546495699343696,-0.11663200302370413,22.85197467591196,20.0,48.19,2026-03-06
WELSPUNLIV,Home Textiles,120.36,-0.1679800912484446,-0.14589838206074357,0.058295964125560484,-0.0766687835752855,0.06216417039444733,14.769647696476994,20.0,49.31,2026-03-06
ARVIND,Denim/Fabric,343.55,-0.07560877169379787,-0.008084307781146327,0.17392790022210836,0.03896315252126237,0.1777961064909952,23.851478917558225,40.0,57.39,2026-03-06
VTL,Yarn/Fabric,538.9,0.09621643612693243,0.18296564592251108,0.348429876141624,0.21346512844077803,0.35229808241051086,66.49214659685862,80.0,50.16,2026-03-06
TRIDENT,Home Textiles,23.69,-0.19063887939870172,-0.1652572233967582,-0.1508960573476702,-0.2858608050485162,-0.14702785107878336,24.35677530017155,20.0,56.02,2026-03-06
ALOKINDS,Polyester/Yarn,13.5,-0.17431192660550465,-0.20867526377491197,-0.23900789177001125,-0.37397263947085724,-0.2351396855011244,13.963963963963934,20.0,68.43,2026-03-06
SOMATEX,Textiles,78.22,0.8081368469717984,0.9457711442786068,1.0567972653168551,0.9218325176160092,1.060665471585742,92.8341185221919,60.0,62.02,2026-03-06
LOYALTEX,Textiles,260.71,0.22341623650868137,0.030677999604664885,-0.5417296537177008,-0.6766944014185468,-0.5378614474488139,65.17226621014336,80.0,69.75,2026-03-06
GOKEX,Apparel,610.15,-0.26739508915170807,-0.3450163705651871,-0.1303449258836945,-0.2653096735845405,-0.12647671961480766,9.984612754316956,20.0,52.42,2026-03-06
GARFIBRES,Technical Textiles,618.6,-0.13969821291982465,-0.1529508421196768,-0.24840532166940033,-0.3833700693702463,-0.24453711540051348,10.54936305732484,20.0,51.41,2026-03-06
KITEX,Apparel,169.36,-0.21103139849063624,-0.20435967302452318,-0.008198641368001747,-0.14316338906884774,-0.004330435099114904,29.717052504161003,20.0,52.69,2026-03-06
GRPLTD,Viscose/Textiles,1796.8,-0.0030516562170559425,-0.08652770716827662,-0.10124049619847941,-0.2362052438993254,-0.09737228992959257,50.1109741060419,80.0,63.93,2026-03-06
