MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AGUL,A G UNIVERSAL LIMITED,        63.25,        60.10,        66.15,        60.10,        64.65,                  1145700.00,18000, ,        70.50,        37.30
N,SM,AAKAAR,AAKAAR MEDICAL TECHNO LTD,        84.00,        84.00,        86.50,        84.00,        86.00,                  2031200.00,24000, ,       105.00,        62.00
N,SM,AATMAJ,AATMAJ HEALTHCARE LIMITED,        20.55,        20.50,        20.50,        20.50,        20.50,                    41000.00,2000, ,        33.50,        14.50
N,ST,ABHAPOWER,ABHA POWER N STEEL LTD,        38.10,        38.10,        38.10,        37.45,        37.45,                   120880.00,3200, ,        81.90,        26.45
N,SM,AILIMITED,ABHISHEK INTEGRATIONS LTD,        40.20,        39.95,        39.95,        38.70,        38.70,                   176025.00,4500, ,        90.90,        36.70
N,SM,ABSMARINE,ABS MARINE SERVICES LTD,       213.35,       215.00,       215.00,       205.00,       208.05,                  9045175.00,43000, ,       270.90,        92.10
N,ST,ACCENTMIC,ACCENT MICROCELL LIMITED,       267.00,       265.00,       269.00,       264.60,       266.00,                  1995250.00,7500, ,       324.00,       180.00
N,SM,ACCPL,ACCRETION PHARMA LIMITED,        58.90,        58.90,        58.90,        56.45,        56.75,                   554940.00,9600, ,        82.95,        53.80
N,SM,ACTIVEINFR,ACTIVE INFRASTRUCTURES L,       170.00,       170.00,       170.00,       170.00,       170.00,                   204000.00,1200, ,       190.00,       147.05
N,SM,LAWSIKHO,ADDICTIVE LEARNING TECH L,       139.00,       139.00,       142.65,       139.00,       139.00,                  4731600.00,34000, ,       424.00,       125.60
N,SM,AERON,AERON COMPOSITE LIMITED,       109.00,       110.00,       110.80,       108.50,       108.50,                  2087050.00,19000, ,       202.20,        99.00
N,SM,AESTHETIK,AESTHETIK ENGINEERS LTD,       112.10,       112.20,       112.25,       109.95,       110.00,                  3095600.00,28000, ,       155.60,        60.00
N,SM,AGARWALFT,AGARWAL FLOAT GLASS I LTD,        54.00,        56.50,        56.50,        56.45,        56.45,                   169425.00,3000, ,        88.90,        42.05
N,SM,AGARWALTUF,AGARWAL TOUGH GLASS IND L,       135.35,       135.35,       139.15,       132.40,       137.05,                  9440760.00,69600, ,       174.05,        81.00
N,ST,AGNI,AGNI GREEN POWER LTD,        24.00,        24.00,        24.25,        23.25,        24.25,                   772750.00,32500, ,        54.70,        17.90
N,SM,AIMTRON,AIMTRON ELECTRONICS LTD,       755.20,       754.50,       804.50,       754.50,       797.35,                104959760.00,134400, ,       835.00,       358.00
N,SM,AKANKSHA,AKANKSHA POWER N INFRA L,        89.25,        89.25,        89.25,        87.55,        89.00,                   618350.00,7000, ,       168.85,        82.00
N,ST,AKIKO,AKIKO GLOBAL SERVICES L,       269.00,       264.00,       264.00,       255.55,       255.55,                  6205120.00,24000, ,       285.20,        62.00
N,SM,ALLETEC,ALL E TECHNOLOGIES LTD,       262.45,       263.45,       264.00,       258.85,       262.40,                  4081800.00,15600, ,       633.00,       250.05
N,SM,ALPEXSOLAR,ALPEX SOLAR LIMITED,      1177.85,      1183.15,      1213.95,      1172.15,      1189.30,                 47292240.00,39600, ,      1449.70,       495.00
N,SM,ALUWIND,ALUWIND INFRA-TECH LTD,        90.20,        89.70,        90.80,        88.15,        88.20,                  1612050.00,18000, ,        95.80,        48.00
N,SM,AMBEY,AMBEY LABORATORIES LTD,        40.00,        40.50,        41.90,        40.50,        41.50,                   413400.00,10000, ,        75.00,        31.85
N,SM,AMEYA,AMEYA PRECISION ENG LTD,       100.00,       100.00,       101.50,       100.00,       101.50,                   201500.00,2000, ,       127.25,        93.00
N,ST,AMCL,ANB METAL CAST LIMITED,       300.00,       299.95,       300.00,       299.95,       300.00,                  1199920.00,4000, ,       314.00,       161.70
N,SM,AISL,ANI INTEGRATED SERV LTD.,        90.25,        88.00,        88.00,        88.00,        88.00,                    52800.00,600, ,       202.40,        77.00
N,SM,ANLON,ANLON TECHNOLOGY SOL LTD,       386.45,       380.05,       383.00,       376.50,       383.00,                  1365860.00,3600, ,       497.00,       239.00
N,SM,ANNAPURNA,ANNAPURNA SWADISHT LTD,       247.00,       245.35,       250.00,       242.80,       246.45,                 38536012.50,156250, ,       441.00,       228.00
N,ST,ANONDITA,ANONDITA MEDICARE LIMITED,       514.65,       540.35,       540.35,       540.35,       540.35,                  7564900.00,14000, ,       540.35,       261.75
N,SM,ANYA,ANYA POLYTECH & FERTI LTD,        23.40,        23.20,        23.30,        23.20,        23.20,                   348500.00,15000, ,        29.05,        16.20
N,SM,APEXECO,APEX ECOTECH LIMITED,       131.50,       132.80,       132.95,       127.50,       127.50,                  2908080.00,22400, ,       169.00,        73.00
N,SM,APRAMEYA,APRAMEYA ENGINEERING LTD,       277.00,       277.00,       277.00,       274.00,       274.00,                   825050.00,3000, ,       307.95,        61.00
