SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
ADANI GREEN ENERGY LTD,      1004.20,      1112.60,36232727,              39769843989.80
BLUE DART EXPRESS LTD,      5537.50,      6572.00,3495838,              22036529311.00
ICICI BANK LTD.,      1363.10,      1370.40,16129382,              22019031340.90
VARUN BEVERAGES LIMITED,       454.15,       495.45,44567490,              21735262331.40
STEEL AUTHORITY OF INDIA,       132.16,       140.55,143438521,              20139111507.28
HDFC BANK LTD,      1003.55,      1007.85,17769445,              17909676109.65
RELIANCE INDUSTRIES LTD,      1486.90,      1504.20,11884745,              17858800582.60
VEDANTA LIMITED,       502.45,       516.20,25108474,              12930031437.05
HDFC AMC LIMITED,      5646.50,      5398.00,2200227,              11861955854.50
STATE BANK OF INDIA,       930.25,       939.75,12314222,              11549498004.30
NETWEB TECH INDIA LTD,      4206.80,      3924.20,2844072,              11503035892.20
NEWGEN SOFTWARE TECH LTD,       996.55,       995.75,11226817,              11357616288.85
ADANI POWER LTD,       162.33,       162.10,67870076,              11163527895.45
FIVE-STAR BUS FIN LTD,       537.05,       605.05,18706743,              10996969092.65
COAL INDIA LTD,       391.40,       382.00,26856509,              10455123830.15
LARSEN & TOUBRO LTD.,      3972.80,      3958.10,2563641,              10153914748.70
TATA STEEL LIMITED,       181.81,       185.19,51610530,               9560013023.60
INDIAN OIL CORP LTD,       154.52,       163.09,58449093,               9413618784.91
SUZLON ENERGY LIMITED,        56.22,        58.19,154967971,               8953656563.92
MAHINDRA & MAHINDRA LTD,      3579.10,      3534.70,2526473,               8942852378.10
TATA CONSULTANCY SERV LT,      3057.90,      3057.60,2895420,               8863286092.50
TVS MOTOR COMPANY  LTD,      3562.00,      3498.90,2288619,               8048443354.40
VODAFONE IDEA LIMITED,         9.44,         9.36,825914416,               7793257616.93
SHRIRAM FINANCE LIMITED,       723.70,       738.45,10246214,               7482118275.15
INFOSYS LIMITED,      1500.20,      1510.40,4884976,               7379112106.40
