"symbol","pnl_summary","quarterly_summary","balance_sheet_summary","ratios_summary"
"UNOMINDA","Sales: 18850 Cr (YoY +12.4%); NetProfit: 1222 Cr (YoY +19.7%); EPS: 19.76","Sales last 4Q: 4528, 4489, 4814, 5018 Cr; Net Profit last 4Q: 289, 309, 323, 300 Cr","Debt: 2852 Cr","ROCE: 19%; EPS: 19.76; NPM: 6.48%"
"EXIDEIND","Sales: 17596 Cr (YoY +2.1%); NetProfit: 831 Cr (YoY +3.9%); EPS: 9.71","Sales last 4Q: 4335, 4695, 4365, 4201 Cr; Net Profit last 4Q: 188, 275, 174, 195 Cr","Debt: 1645 Cr","ROCE: 10%; EPS: 9.71; NPM: 4.72%"
"TMPV","Sales: 349637 Cr (YoY -20.5%); NetProfit: 85324 Cr (YoY +203.1%); EPS: 231.05","Sales last 4Q: 119503, 87677, 72349, 70108 Cr; Net Profit last 4Q: 8556, 4003, 76248, -3483 Cr","Debt: 67258 Cr","ROCE: 20%; EPS: 231.05; NPM: 24.4%"
"MOTHERSON","Sales: 121111 Cr (YoY +6.6%); NetProfit: 3639 Cr (YoY -12.2%); EPS: 3.23","Sales last 4Q: 29317, 30212, 30173, 31409 Cr; Net Profit last 4Q: 1115, 606, 846, 1072 Cr","Debt: 19777 Cr","ROCE: 5%; EPS: 3.23; NPM: 3%"
"TIINDIA","Sales: 21783 Cr (YoY +11.9%); NetProfit: 1042 Cr (YoY -1.1%); EPS: 30.9","Sales last 4Q: 5150, 5309, 5523, 5801 Cr; Net Profit last 4Q: 158, 303, 302, 279 Cr","Debt: 705 Cr","ROCE: 32%; EPS: 30.9; NPM: 4.78%"
"SONACOMS","Sales: 4057 Cr (YoY +14.4%); NetProfit: 606 Cr (YoY +1%); EPS: 9.86","Sales last 4Q: 865, 854, 1138, 1200 Cr; Net Profit last 4Q: 164, 122, 170, 150 Cr","Debt: 211 Cr","ROCE: 18%; EPS: 9.86; NPM: 14.94%"
"MRF","Sales: 30180 Cr (YoY +7.2%); NetProfit: 2230 Cr (YoY +19.3%); EPS: 5258.19","Sales last 4Q: 7075, 7676, 7379, 8050 Cr; Net Profit last 4Q: 512, 500, 526, 692 Cr","Debt: 3631 Cr","ROCE: 14%; EPS: 5258.19; NPM: 7.39%"
"AMARAJABAT","","","",""
"DIVGIITTS","Sales: 303 Cr (YoY +38.4%); NetProfit: 37 Cr (YoY +54.2%); EPS: 12.04","Sales last 4Q: 58, 72, 83, 91 Cr; Net Profit last 4Q: 5, 9, 11, 12 Cr","Debt: 1 Cr","ROCE: 6%; EPS: 12.04; NPM: 12.21%"
"ENDURANCE","Sales: 13473 Cr (YoY +16.5%); NetProfit: 920 Cr (YoY +10%); EPS: 65.44","Sales last 4Q: 2963, 3319, 3583, 3608 Cr; Net Profit last 4Q: 245, 226, 227, 222 Cr","Debt: 1229 Cr","ROCE: 22%; EPS: 65.44; NPM: 6.83%"
"FIEMIND","Sales: 2704 Cr (YoY +11.6%); NetProfit: 243 Cr (YoY +18.5%); EPS: 92.48","Sales last 4Q: 639, 659, 715, 690 Cr; Net Profit last 4Q: 59, 58, 64, 63 Cr","Debt: 62 Cr","ROCE: 28%; EPS: 92.48; NPM: 8.99%"
"GABRIEL","Sales: 4530 Cr (YoY +11.5%); NetProfit: 250 Cr (YoY +2%); EPS: 17.41","Sales last 4Q: 1073, 1098, 1180, 1179 Cr; Net Profit last 4Q: 64, 62, 69, 55 Cr","Debt: 104 Cr","ROCE: 26%; EPS: 17.41; NPM: 5.52%"
"GNA","Sales: 1445 Cr (YoY -6.2%); NetProfit: 112 Cr (YoY +4.7%); EPS: 26","Sales last 4Q: 378, 344, 348, 375 Cr; Net Profit last 4Q: 25, 23, 31, 32 Cr","Debt: 203 Cr","ROCE: 14%; EPS: 26; NPM: 7.75%"
"HARSHA","Sales: 1526 Cr (YoY +8.4%); NetProfit: 106 Cr (YoY +19.1%); EPS: 11.6","Sales last 4Q: 373, 365, 378, 409 Cr; Net Profit last 4Q: -2, 38, 36, 34 Cr","Debt: 317 Cr","ROCE: 13%; EPS: 11.6; NPM: 6.95%"
