SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE,FUND_NORM,TECH_NORM,RS_RANK,COMPOSITE_SCORE,PASS_FUND,PASS_RS,PASS_SCREEN
BHARATFORG,Forgings,1831.6,0.0490263459335624,0.2542628227076628,0.4641087130295762,0.49874546802009,0.5007855984281281,62.95993458708093,80.0,54.83,2026-04-15,54.83,80.0,95.74468085106383,73.08093617021277,False,True,False
UNOMINDA,Electrical,1100.1,0.0447293447293446,-0.0838607594936708,-0.164755903120492,-0.1301191481299782,-0.1280790177219402,52.18760938046901,60.0,49.36,2026-04-15,49.36,60.0,29.78723404255319,49.70144680851064,False,False,False
BOSCHLTD,Electrical,37080.0,0.209985315712188,-0.0217649386624455,-0.0586443259710586,-0.0240075709805448,-0.0219674405725067,79.23951048951048,70.0,53.48,2026-04-15,53.48,70.0,51.06382978723404,59.6047659574468,False,False,False
EXIDEIND,Battery,330.0,0.093077177873468,-0.0462427745664739,-0.1816491010539367,-0.1470123460634229,-0.1449722156553848,65.79129232895647,80.0,51.12,2026-04-15,51.12,80.0,23.404255319148938,57.128851063829785,False,False,False
MOTHERSON,Electrical,123.55,0.0666493999827333,0.0750021752371008,0.1023376159885796,0.1369743709790933,0.1390145013871314,64.21167484997272,80.0,51.57,2026-04-15,51.57,80.0,72.3404255319149,67.09608510638299,False,True,False
TIINDIA,Other,2755.0,0.1127266852457691,0.1540233736857537,-0.1659097789887981,-0.1312730239982843,-0.1292328935902462,57.68742058449809,80.0,48.73,2026-04-15,48.73,80.0,27.659574468085108,57.023914893617025,False,False,False
SONACOMS,Electrical,585.7,0.1665006970722964,0.2814790504321192,0.390055773110241,0.4246925281007547,0.4267326585087928,73.66911061523747,70.0,49.66,2026-04-15,49.66,70.0,91.48936170212765,66.16187234042553,False,True,False
APOLLOTYRE,Tyres,441.6,0.0465694987557767,-0.1515850144092219,-0.0970248440854718,-0.062388089094958,-0.06034795868692,67.10833982852691,60.0,53.44,2026-04-15,53.44,60.0,46.808510638297875,54.73770212765958,False,False,False
MRF,Tyres,137900.0,0.0387947269303201,-0.0664139191659332,-0.1156571648443262,-0.0810204098538124,-0.0789802794457743,68.81822496440437,80.0,49.41,2026-04-15,49.41,80.0,42.5531914893617,60.274638297872336,False,False,False
AMARAJABAT,Battery,604.15,-0.0511229778545626,-0.0378244943462334,-0.0042030657656173,0.0304336892248964,0.0324738196329345,27.605459057071897,20.0,10.0,2026-04-15,10.0,20.0,59.57446808510638,23.914893617021278,False,True,False
ASKAUTOLTD,Other,440.15,0.0841133004926106,-0.0548636461241142,-0.1780578898225957,-0.1434211348320819,-0.1413810044240439,45.52572706935123,80.0,71.28,2026-04-15,71.28,80.0,25.53191489361702,65.6183829787234,True,False,False
AUTOAXLES,Axles,1727.2,0.0046533271288971,-0.0945690920528412,-0.0475350170949597,-0.012898262104446,-0.0108581316964079,59.67254408060453,60.0,58.77,2026-04-15,58.77,60.0,55.319148936170215,58.571829787234044,False,False,False
BANCOINDIA,Other,596.9,0.0350268770591293,-0.0800647299067581,-0.2676972150656361,-0.2330604600751223,-0.2310203296670843,58.03869246164109,80.0,54.64,2026-04-15,54.64,80.0,8.51063829787234,55.55812765957447,False,False,False
BHARATGEAR,Gears,111.65,0.1548407116259826,0.0538984330753258,0.2647258722247394,0.2993626272152532,0.3014027576232913,71.96802646085999,70.0,51.91,2026-04-15,51.91,70.0,85.1063829787234,65.78527659574468,False,True,False
BHARATSE,Seating,184.81,0.1359641035097425,0.140098704503393,0.0944569465829681,0.1290937015734818,0.1311338319815199,69.71713810316139,80.0,52.61,2026-04-15,52.61,80.0,68.08510638297872,66.66102127659575,False,True,False
CRAFTSMAN,Castings,7433.5,0.0746711001879427,-0.0329148507122877,0.0924388272466749,0.1270755822371887,0.1291157126452268,66.53763440860214,80.0,54.65,2026-04-15,54.65,80.0,65.95744680851064,67.05148936170212,False,True,False
DIVGIITTS,Transmission,777.75,0.1547884187082404,0.3238297872340425,0.1768933948702429,0.2115301498607567,0.2135702802687947,65.57153965785382,80.0,49.92,2026-04-15,49.92,80.0,80.85106382978722,68.13821276595745,False,True,False
ENDURANCE,Engine/Parts,2412.4,0.0362097848030584,-0.0677795811113687,-0.153722023433663,-0.1190852684431492,-0.1170451380351111,57.90312936017543,60.0,51.27,2026-04-15,51.27,60.0,36.17021276595745,51.742042553191496,False,False,False
FIEMIND,Lighting,2241.3,0.1188598242811502,-0.0063838276366536,0.1097742127153893,0.1444109677059031,0.1464510981139412,62.86926717806433,80.0,49.06,2026-04-15,49.06,80.0,74.46808510638297,66.51761702127659,False,True,False
GABRIEL,Suspension,964.4,0.1425186589266673,0.0123871509552802,-0.2521132221791392,-0.2174764671886254,-0.2154363367805873,67.71787769017686,80.0,48.43,2026-04-15,48.43,80.0,12.76595744680851,53.9251914893617,False,False,False
GNA,Axles,443.7,0.136381098732232,0.2630230572160545,0.3515077672860187,0.3861445222765325,0.3881846526845706,65.84471842719094,80.0,54.47,2026-04-15,54.47,80.0,89.36170212765957,71.66034042553191,False,True,False
HARSHA,Forgings,381.25,0.1154183733177296,-0.0102544132917964,-0.096135609293504,-0.0614988543029902,-0.0594587238949522,73.2593340060545,70.0,49.7,2026-04-15,49.7,70.0,48.93617021276596,57.6672340425532,False,False,False
JAMNAAUTO,Suspension,123.81,0.034249436137332,-0.0727231875374476,0.1537601341906624,0.1883968891811762,0.1904370195892143,53.22314049586777,60.0,48.3,2026-04-15,48.3,60.0,78.72340425531915,59.064680851063834,False,True,False
JBMA,Other,628.15,0.2762088581877284,0.0336514727661674,-0.1490788404226497,-0.1144420854321359,-0.1124019550240978,66.04046242774567,80.0,56.91,2026-04-15,56.91,80.0,38.297872340425535,62.42357446808511,False,False,False
JTEKTINDIA,Steering/Bearings,133.18,0.0345684766565681,-0.0985515094084201,-0.2795629124743048,-0.2449261574837911,-0.242886027075753,60.82595870206488,60.0,51.54,2026-04-15,51.54,60.0,6.382978723404255,45.892595744680854,False,False,False
LUMAXIND,Lighting,5475.0,0.080307813733228,0.0004568296025582,0.1908905033279679,0.2255272583184817,0.2275673887265198,59.00292284784646,80.0,57.69,2026-04-15,57.69,80.0,82.97872340425532,71.67174468085106,False,True,False
LUMAXTECH,Lighting,1779.3,0.139043595160361,0.187228931740842,0.5124957497449845,0.5471325047354982,0.5491726351435363,64.161220043573,80.0,54.51,2026-04-15,54.51,80.0,97.87234042553192,73.37846808510639,False,True,False
MINDACORP,Electrical,515.05,0.0525186471850411,-0.1042608695652175,-0.0363891487371376,-0.0017523937466238,0.0002877366614142,38.693270735524216,50.0,49.42,2026-04-15,49.42,50.0,57.446808510638306,51.25736170212766,False,True,False
MENONBE,Bearings,127.71,0.0056697377746279,0.0069384215091066,-0.0556089625083191,-0.0209722075178053,-0.0189320771097672,70.28556727553382,70.0,52.38,2026-04-15,52.38,70.0,53.191489361702125,59.59029787234042,False,False,False
MSUMI,Electrical,39.02,0.0077479338842976,-0.1465441819772527,-0.1872526556967297,-0.152615900706216,-0.1505757702981779,56.467661691542325,60.0,48.99,2026-04-15,48.99,60.0,21.27659574468085,47.85131914893617,False,False,False
NDRAUTO,Other,753.0,0.1313950867703404,0.0088424437299035,-0.3045164865613744,-0.2698797315708606,-0.2678396011628225,63.78344741754824,80.0,47.86,2026-04-15,47.86,80.0,2.127659574468085,51.56953191489362,False,False,False
PRICOLLTD,Electrical,577.7,0.0994385764582739,-0.0760495801679327,0.0619485294117647,0.0965852844022785,0.0986254148103166,62.85714285714286,80.0,49.98,2026-04-15,49.98,80.0,61.702127659574465,64.3324255319149,False,True,False
RANEENGINE,Engine/Parts,317.75,0.1790352504638219,-0.156154561147258,-0.2401052253975846,-0.2054684704070708,-0.2034283399990327,63.3225806451613,80.0,50.88,2026-04-15,50.88,80.0,14.893617021276595,55.33072340425532,False,False,False
RICOAUTO,Castings,118.08,0.0816158285243198,-0.0780762023735166,0.1400984841170223,0.174735239107536,0.1767753695155741,63.529055690072624,80.0,49.07,2026-04-15,49.07,80.0,76.59574468085107,66.94714893617021,False,True,False
SANDHAR,Other,499.65,0.03974612423265,-0.1064115174818921,0.0966856892010534,0.1313224441915672,0.1333625745996053,65.71428571428571,80.0,47.8,2026-04-15,47.8,80.0,70.2127659574468,65.16255319148937,False,True,False
SANSERA,Forgings,2340.8,0.1235480464625131,0.2843191045758808,0.5624082232011749,0.5970449781916887,0.5990851085997267,69.86404833836862,80.0,48.59,2026-04-15,48.59,80.0,100.0,71.436,False,True,False
SHARDAMOTR,Transmission,847.3,0.0920925436617901,-0.0254198297676558,-0.2526900687952019,-0.2180533138046881,-0.2160131833966501,59.55303169078587,80.0,49.87,2026-04-15,49.87,80.0,10.638297872340425,54.075659574468084,False,False,False
SHRIPISTON,Engine/Parts,3645.0,0.2211873492361296,0.1967299231728938,0.400414937759336,0.4350516927498498,0.4370918231578878,79.90525504021156,70.0,48.69,2026-04-15,48.69,70.0,93.61702127659575,66.19940425531915,False,True,False
SSWL,Wheels,214.77,0.1859848694019548,0.0684543057559325,-0.1079127725856697,-0.073276017595156,-0.0712358871871179,74.23405323957812,70.0,45.44,2026-04-15,45.44,70.0,44.680851063829785,55.11217021276596,False,False,False
SUNDRMFAST,Fasteners,807.35,-0.0206817079087821,-0.130245084837059,-0.2162411416367342,-0.1816043866462204,-0.1795642562381824,52.45949926362298,60.0,48.05,2026-04-15,48.05,60.0,17.02127659574468,46.624255319148936,False,False,False
SUNDRMBRAK,Brakes,626.25,0.1777150916784202,-0.0336393796774939,-0.1942228512609367,-0.1595860962704229,-0.1575459658623849,69.21022510492179,80.0,47.66,2026-04-15,47.66,80.0,19.148936170212767,54.893787234042556,False,False,False
SUPRAJIT,Cables,415.75,0.0340753637607262,-0.0941279006427715,-0.1584008097165992,-0.1237640547260854,-0.1217239243180473,52.52621544327933,60.0,51.48,2026-04-15,51.48,60.0,31.914893617021278,50.974978723404256,False,False,False
TALBROAUTO,Gaskets,266.71,0.1354193273733501,0.0015396169733381,-0.141583521081429,-0.1069467660909152,-0.1049066356828771,82.84904323175053,60.0,47.2,2026-04-15,47.2,60.0,40.42553191489361,50.965106382978725,False,False,False
UCAL,Fuel Systems,99.71,0.0136220392396053,-0.0725513905683192,-0.3025809610407778,-0.267944206050264,-0.2659040756422259,60.13179571663922,60.0,59.6,2026-04-15,59.6,60.0,4.25531914893617,48.69106382978724,False,False,False
