SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE,FUND_NORM,TECH_NORM,RS_RANK,COMPOSITE_SCORE,PASS_FUND,PASS_RS,PASS_SCREEN
GNA,Axles,427.35,0.1980656013456687,0.1915516520284401,0.3633753389695326,0.3993618227788856,0.3747572833235064,57.28995057660628,80.0,54.47,2026-04-29,54.47,80.0,91.48936170212765,72.08587234042552,False,True,False
CRAFTSMAN,Castings,7750.5,0.1108642683101619,0.0592455924559245,0.1836438607208308,0.2196303445301838,0.1950258050748046,66.6829268292683,80.0,54.65,2026-04-29,54.65,80.0,78.72340425531915,69.60468085106383,False,True,False
SHRIPISTON,Engine/Parts,3446.2,0.1424498591082379,0.2913887431612081,0.2898420540459614,0.3258285378553144,0.3012239983999352,60.39816805308907,80.0,48.69,2026-04-29,48.69,80.0,89.36170212765957,69.34834042553192,False,True,False
MOTHERSON,Electrical,123.24,0.1728207080319757,0.0821917808219179,0.1838616714697407,0.2198481552790937,0.1952436158237145,58.11156601842373,80.0,51.57,2026-04-29,51.57,80.0,80.85106382978722,68.79821276595744,False,True,False
RICOAUTO,Castings,115.26,0.1469797989849737,-0.0140290846877673,0.2806666666666666,0.3166531504760196,0.2920486110206404,51.69104204753201,80.0,49.07,2026-04-29,49.07,80.0,85.1063829787234,68.64927659574468,False,True,False
SANSERA,Forgings,2556.7,0.2324415521812484,0.5080217057921432,0.7715493348115297,0.8075358186208826,0.7829312791655034,71.99942296595499,70.0,48.59,2026-04-29,48.59,70.0,100.0,67.436,False,True,False
DIVGIITTS,Transmission,733.55,0.1912146800909386,0.2293447293447292,0.1506666666666665,0.1866531504760195,0.1620486110206402,63.08302238805968,80.0,49.92,2026-04-29,49.92,80.0,76.59574468085107,67.28714893617021,False,True,False
BHARATGEAR,Gears,108.29,0.2559730920900025,-0.0254679625629949,0.1307298736556335,0.1667163574649864,0.1421118180096072,66.66666666666666,80.0,51.91,2026-04-29,51.91,80.0,72.3404255319149,67.23208510638298,False,True,False
SONACOMS,Electrical,599.7,0.2454828660436139,0.2138447525554094,0.3856284658040665,0.4216149496134195,0.3970104101580403,72.7921498661909,70.0,49.66,2026-04-29,49.66,70.0,95.74468085106383,67.01293617021277,False,True,False
PRICOLLTD,Electrical,595.65,0.1590776415645067,0.1074649065724644,0.1394548063127689,0.1754412901221219,0.1508367506667427,61.70625302956858,80.0,49.98,2026-04-29,49.98,80.0,74.46808510638297,66.8856170212766,False,True,False
ASKAUTOLTD,Other,437.7,-0.0158516020236088,-0.0084947332653754,-0.1137882162381048,-0.0778017324287518,-0.1024062718841311,49.3515850144092,80.0,71.28,2026-04-29,71.28,80.0,29.78723404255319,66.46944680851064,True,False,False
ZFCVINDIA,Brakes/Transmission,14727.0,0.0696542707728065,0.0320252277505255,0.1046354635463546,0.1406219473557076,0.1160174079003284,59.48514851485149,80.0,50.29,2026-04-29,50.29,80.0,68.08510638297872,65.73302127659575,False,True,False
FIEMIND,Lighting,2193.2,0.1477314354492647,0.0581877834603878,0.1291186161449751,0.1651050999543281,0.1405005604989488,54.19664268585133,80.0,49.06,2026-04-29,49.06,80.0,70.2127659574468,65.66655319148936,False,True,False
BHARATFORG,Forgings,1907.8,0.1392571360324854,0.3267960219764934,0.5637704918032787,0.5997569756126316,0.5751524361572524,80.57371096586782,60.0,54.83,2026-04-29,54.83,60.0,97.87234042553192,65.50646808510639,False,True,False
JBMA,Other,637.65,0.2375545851528384,0.1354166666666665,-0.0404785192987735,-0.0044920354894205,-0.0290965749447997,65.51233396584438,80.0,56.91,2026-04-29,56.91,80.0,51.06382978723404,64.9767659574468,False,False,False
