SYMBOL,SUBSECTOR,CURRENT_PRICE,RET_1M,RET_3M,RET_6M,RS_VS_NIFTY_AUTO_6M,RS_VS_NIFTY_500_6M,RSI,TECHNICAL_SCORE,FUND_SCORE,AS_OF_DATE,FUND_NORM,TECH_NORM,RS_RANK,COMPOSITE_SCORE,PASS_FUND,PASS_RS,PASS_SCREEN
TAINWALCHM,Plastics/Chemicals,202.05,0.1594078154587708,0.034562211981566726,-0.1000400873012337,-0.2350048350020797,-0.09617188103234686,68.13960934998401,80.0,63.24,2026-03-06,63.24,80.0,80.0,73.296,False,False,False
JINDALPOLY,Films,768.35,0.9049212842444527,0.3986529534904888,0.44399548956962964,0.30903074186878365,0.4478636958385165,86.00832562442183,60.0,64.1,2026-03-06,64.1,60.0,100.0,69.64,False,True,False
SUPREMEIND,Plastics,3947.7,0.05525260625501205,0.09100707495025429,-0.06448172899189542,-0.1994464766927414,-0.06061352272300857,64.16857986224989,80.0,46.85,2026-03-06,46.85,80.0,86.66666666666667,68.07333333333334,False,False,False
XPROINDIA,Packaging,916.4,-0.048884276076803346,-0.10959968907889628,-0.18917005839674395,-0.32413480609758993,-0.1853018521278571,48.55859228753275,60.0,56.93,2026-03-06,56.93,60.0,46.666666666666664,56.10533333333334,False,False,False
SHAILY,Engineering Plastics,1913.6,-0.07165381070198429,-0.29889352971349015,0.08850967007963595,-0.04645507762121004,0.09237787634852279,40.57728508680191,40.0,52.91,2026-03-06,52.91,40.0,93.33333333333333,55.83066666666667,False,True,False
VIPIND,Plastics/Luggage,366.4,-0.023193814982671368,-0.06267587618316706,-0.11272551156314325,-0.24769025926398924,-0.10885730529425641,36.65919282511208,30.0,61.02,2026-03-06,61.02,30.0,73.33333333333333,51.074666666666666,False,False,False
SAFARI,Plastics,1680.3,-0.19200807847663015,-0.26959356661595313,-0.16874443455031174,-0.3037091822511577,-0.1648762282814249,40.97571189279731,40.0,55.07,2026-03-06,55.07,40.0,53.333333333333336,48.69466666666668,False,False,False
POLYPLEX,Films/Packaging,831.9,-0.027472527472527486,-0.03609292624992755,-0.26575463371579877,-0.40071938141664476,-0.26188642744691193,45.663352759684614,40.0,66.8,2026-03-06,66.8,40.0,26.666666666666668,48.053333333333335,False,False,False
POLYMED,Medical Plastics,1356.1,-0.10618244133930932,-0.2860001053019534,-0.2946897591928018,-0.4296545068936478,-0.290821552923915,59.04298459042981,60.0,52.53,2026-03-06,52.53,60.0,6.666666666666667,46.345333333333336,False,False,False
EPL,Packaging,199.7,-0.04371977206340094,0.01908552765870586,-0.1369549245861965,-0.2719196722870425,-0.13308671831730967,31.346716854872454,30.0,50.44,2026-03-06,50.44,30.0,66.66666666666666,45.50933333333333,False,False,False
UFLEX,Flexible Packaging,460.7,-0.057584126010023606,-0.10820751064653511,-0.21822501272696415,-0.35318976042781014,-0.2143568064580773,46.646884272997006,40.0,50.67,2026-03-06,50.67,40.0,40.0,44.268,False,False,False
NILKAMAL,Plastics,1340.2,-0.05931073208394755,-0.09769070221504073,-0.1502662946994674,-0.2852310424003134,-0.14639808843058055,27.29124236252548,20.0,51.22,2026-03-06,51.22,20.0,60.0,40.488,False,False,False
TCPLPACK,Packaging,2568.2,-0.040212272965094664,-0.21107117623567728,-0.24391320988017784,-0.3788779575810238,-0.240045003611291,26.857811585722672,20.0,50.68,2026-03-06,50.68,20.0,33.33333333333333,34.93866666666667,False,False,False
AMNPLST,Plasticizers,152.09,-0.1287236480293309,-0.23264379414732583,-0.2908895934352853,-0.4258543411361313,-0.28702138716639847,20.0209277990931,20.0,59.22,2026-03-06,59.22,20.0,13.333333333333334,34.35466666666667,False,False,False
FINOPB,Plastics,179.79,-0.21636228915137523,-0.3682712579058328,-0.27122010539116337,-0.40618485309200936,-0.2673518991222765,22.83907238229095,20.0,52.98,2026-03-06,52.98,20.0,20.0,33.192,False,False,False
