SYMBOL,NAME,SOURCE,SUBSECTOR
SUPREMEIND,Supreme Industries,NSE/Curated,Plastics
FINOPB,Finolex Industries,NSE/Curated,Plastics
COSMOFILMS,Cosmo Films,NSE/Curated,Films
POLYPLEX,Polyplex Corporation,NSE/Curated,Films/Packaging
UFLEX,UFlex,NSE/Curated,Flexible Packaging
JINDALPOLY,Jindal Poly Films,NSE/Curated,Films
GARFAR,Garware Hi-Tech Films,NSE/Curated,Films
SAFARI,Safari Industries,NSE/Curated,Plastics
VIPIND,VIP Industries,NSE/Curated,Plastics/Luggage
NILKAMAL,Nilkamal,NSE/Curated,Plastics
EPL,EPL,NSE/Curated,Packaging
AGIGREEN,AGI Greenpac,NSE/Curated,Packaging
TCPLPACK,TCPL Packaging,NSE/Curated,Packaging
XPROINDIA,Xpro India,NSE/Curated,Packaging
SHAILY,Shaily Engineering Plastics,NSE/Curated,Engineering Plastics
ALLTIME,All Time Plastics,NSE/Curated,Plastics
AMNPLST,Amines & Plasticizers,NSE/Curated,Plasticizers
MEGAFLEX,Mega Flex Plastics,NSE/Curated,Plastics
TAINWALCHM,Tainwala Chemical and Plastic,NSE/Curated,Plastics/Chemicals
TULSI,Tulsi Extrusions,NSE/Curated,Plastics
MAHAPEX,Maharashtra Polybutenes,NSE/Curated,Plastics
POLYMED,Poly Medicure,NSE/Curated,Medical Plastics
NAHARIND,Nahar Industrial,NSE/Curated,Textiles/Plastics
