SYMBOL,NAME,SOURCE,SUBSECTOR
PAGEIND,Page Industries,NSE,Apparel
KPRMILL,KPR Mill,NSE,Yarn/Fabric
WELSPUNLIV,Welspun India,NSE,Home Textiles
ARVIND,Arvind,NSE,Denim/Fabric
VTL,Vardhman Textiles,NSE,Yarn/Fabric
TRIDENT,Trident,NSE,Home Textiles
ALOKINDS,Alok Industries,NSE,Polyester/Yarn
SOMATEX,Soma Textiles & Industries,NSE,Textiles
LOYALTEX,Loyal Textile Mills,NSE,Textiles
GOKEX,Gokaldas Exports,NSE,Apparel
INDOCOUNT,Indo Count Industries,NSE,Home Textiles
GARFIBRES,Garware Technical Fibres,NSE,Technical Textiles
KITEX,Kitex Garments,NSE,Apparel
BANSWARA,Banswara Syntex,NSE,Yarn/Fabric
GRPLTD,Grasim Industries,NSE,Viscose/Textiles
